Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
102.4,-1.17E-02,-0.130611515,-1.911219908
102.401,-1.17E-02,-0.131009758,-1.911114319
102.402,-1.17E-02,-0.131410387,-1.911007217
102.403,-1.17E-02,-0.131802008,-1.910898369
102.404,-0.011672487,-0.132201632,-1.910782652
102.405,-0.011655007,-0.132594534,-1.910660998
102.406,-1.16E-02,-0.13299151,-1.910540741
102.40701,-1.16E-02,-0.133390786,-1.910410821
102.408,-1.16E-02,-0.133785856,-1.910274266
102.409,-1.16E-02,-0.134182861,-1.910147374
102.41,-1.16E-02,-0.134578251,-1.910012681
102.411,-1.15E-02,-0.134971109,-1.909865299
102.412,-1.15E-02,-0.135367009,-1.909721759
102.413,-0.0115151,-0.135758819,-1.909575425
102.414,-1.15E-02,-0.136154034,-1.90941547
102.415,-1.15E-02,-0.136546849,-1.909264713
102.416,-1.15E-02,-0.136943883,-1.909112674
102.417,-1.14E-02,-0.137335635,-1.908943173
102.418,-1.14E-02,-0.137728945,-1.908769365
102.419,-1.14E-02,-0.138122239,-1.908603823
102.42,-1.14E-02,-0.138514981,-1.908431645
102.42101,-1.14E-02,-0.138910138,-1.908252016
102.422,-1.14E-02,-0.139298732,-1.908066683
102.423,-1.13E-02,-0.139692187,-1.907874597
102.424,-1.13E-02,-0.140084041,-1.907687169
102.425,-0.011304866,-0.140474847,-1.907494268
102.426,-1.13E-02,-0.140863311,-1.907299622
102.427,-0.011269886,-0.141254626,-1.907099271
102.428,-1.13E-02,-0.141643919,-1.906883321
102.429,-0.011234981,-0.142036457,-1.906686346
102.43,-1.12E-02,-0.142424498,-1.906468649
102.431,-1.12E-02,-0.142809935,-1.906251069
102.432,-1.12E-02,-0.143199708,-1.906010322
102.433,-1.12E-02,-0.143591649,-1.905811136
102.434,-0.011147479,-0.143977726,-1.905569108
102.43501,-1.11E-02,-0.144366786,-1.905338373
102.436,-1.11E-02,-0.144756355,-1.905103563
102.437,-1.11E-02,-0.145145212,-1.904873876
102.438,-1.11E-02,-0.145532147,-1.904626493
102.439,-1.11E-02,-0.145917569,-1.904374105
102.44,-1.10E-02,-0.146301565,-1.90411869
102.441,-1.10E-02,-0.146685517,-1.903869677
102.442,-1.10E-02,-0.14707142,-1.903611468
102.443,-1.10E-02,-0.147456289,-1.903342432
102.444,-1.10E-02,-0.147844083,-1.903080964
102.445,-1.10E-02,-0.148229199,-1.902815886
102.446,-1.09E-02,-0.148611594,-1.902552205
102.447,-1.09E-02,-0.148996027,-1.902263029
102.448,-1.09E-02,-0.149377083,-1.901981654
102.44901,-1.09E-02,-0.149762316,-1.901697367
102.45,-1.09E-02,-0.150146254,-1.901412732
102.451,-1.08E-02,-0.150527136,-1.901134034
102.452,-1.08E-02,-0.150905529,-1.900828094
102.453,-1.08E-02,-0.151287953,-1.900527743
102.454,-1.08E-02,-0.15167064,-1.90022646
102.455,-1.08E-02,-0.152050037,-1.899927738
102.456,-1.08E-02,-0.152430221,-1.899621333
102.457,-1.07E-02,-0.15280614,-1.89929828
102.458,-1.07E-02,-0.153183777,-1.898979885
102.459,-1.07E-02,-0.153565037,-1.898662886
102.46,-1.07E-02,-0.153938134,-1.89833378
102.461,-1.07E-02,-0.154314825,-1.89801096
102.462,-1.07E-02,-0.154691807,-1.897670096
102.46301,-1.06E-02,-0.15506809,-1.897323527
102.464,-1.06E-02,-0.155443631,-1.896985574
102.465,-1.06E-02,-0.155817994,-1.896649832
102.466,-1.06E-02,-0.156192735,-1.896307687
102.467,-1.06E-02,-0.156564158,-1.895950059
102.468,-1.06E-02,-0.15693919,-1.895604422
102.469,-1.05E-02,-0.157308576,-1.89523981
102.47,-1.05E-02,-0.157680304,-1.894878922
102.471,-1.05E-02,-0.158052761,-1.89453247
102.472,-0.010481465,-0.158416689,-1.894148765
102.473,-1.05E-02,-0.158784969,-1.893772511
102.474,-1.04E-02,-0.159152842,-1.893391949
102.475,-1.04E-02,-0.159519739,-1.893028268
102.476,-0.010411324,-0.159884075,-1.892650733
102.47701,-1.04E-02,-0.160251555,-1.892261556
102.478,-1.04E-02,-0.160614509,-1.891868073
102.479,-1.04E-02,-0.160976764,-1.891467022
102.48,-1.03E-02,-0.161337666,-1.891070278
102.481,-1.03E-02,-0.161698888,-1.89068506
102.482,-1.03E-02,-0.162055163,-1.890265848
102.483,-1.03E-02,-0.162412063,-1.889861072
102.484,-1.03E-02,-0.162769109,-1.889447914
102.485,-0.010253657,-0.163122924,-1.88904081
102.486,-1.02E-02,-0.163476783,-1.888624392
102.487,-1.02E-02,-0.163825986,-1.888195984
102.488,-1.02E-02,-0.164176672,-1.887775026
102.489,-1.02E-02,-0.1645257,-1.8873472
102.49,-1.02E-02,-0.164873112,-1.886921818
102.491,-1.01E-02,-0.165219331,-1.886489452
102.492,-0.010130743,-0.165562946,-1.886036946
102.493,-1.01E-02,-0.165903184,-1.885614707
102.494,-1.01E-02,-0.16624124,-1.885149162
102.495,-0.010078402,-0.166575759,-1.884709345
102.496,-1.01E-02,-0.166908008,-1.88424997
102.497,-1.00E-02,-0.167238613,-1.88380247
102.498,-1.00E-02,-0.167568913,-1.883345074
102.499,-1.00E-02,-0.16789425,-1.882874523
102.5,-9.99E-03,-0.168218481,-1.882420387
102.501,-9.97E-03,-0.168533428,-1.881948556
102.502,-9.96E-03,-0.16884967,-1.88147102
102.503,-9.94E-03,-0.169161372,-1.880989643
102.504,-9.92E-03,-0.169468782,-1.880509779
102.505,-9.90E-03,-0.169781139,-1.880024793
102.506,-9.89E-03,-0.170079904,-1.879539806
102.507,-9.87E-03,-0.170379266,-1.879056334
102.508,-9.85E-03,-0.170668296,-1.878554467
102.509,-9.83E-03,-0.170957777,-1.87805458
102.51,-9.82E-03,-0.17124135,-1.8775668
102.511,-9.80E-03,-0.171522101,-1.877072966
102.512,-9.78E-03,-0.171794134,-1.876562601
102.513,-9.76E-03,-0.172062835,-1.876060385
102.514,-9.75E-03,-0.172322296,-1.875541639
102.515,-9.73E-03,-0.172581364,-1.875035348
102.516,-9.71E-03,-0.172827218,-1.874519745
102.517,-9.69E-03,-0.173069973,-1.874000416
102.518,-9.68E-03,-0.173304463,-1.873475383
102.519,-9.66E-03,-0.173536973,-1.872947323
102.52,-9.64E-03,-0.173756518,-1.872428227
102.521,-9.62E-03,-0.173966881,-1.871894114
102.522,-9.60E-03,-0.17417116,-1.871366403
102.523,-9.59E-03,-0.174363231,-1.870829379
102.524,-9.57E-03,-0.174546891,-1.870284439
102.525,-9.55E-03,-0.174722489,-1.869743457
102.526,-9.54E-03,-0.174884728,-1.869210508
102.527,-9.52E-03,-0.175036665,-1.868657768
102.528,-9.50E-03,-0.175172972,-1.86810072
102.529,-9.48E-03,-0.175302033,-1.867542625
102.53,-9.47E-03,-0.175417401,-1.867006649
102.531,-9.45E-03,-0.175521098,-1.866458799
102.53201,-9.43E-03,-0.175609632,-1.865893835
102.533,-9.41E-03,-0.175677429,-1.865323982
102.534,-9.39E-03,-0.175736117,-1.864761696
102.535,-9.38E-03,-0.1757719,-1.864193822
102.536,-9.36E-03,-0.175792928,-1.863644226
102.537,-0.009342554,-0.175794397,-1.863068435
102.538,-9.33E-03,-0.17577727,-1.862513949
102.539,-9.31E-03,-0.175734414,-1.861922792
102.54,-9.29E-03,-0.175672947,-1.861361903
102.541,-9.27E-03,-0.175587542,-1.860787743
102.542,-9.26E-03,-0.175475652,-1.860214979
102.543,-9.24E-03,-0.1753369,-1.859641168
102.544,-9.22E-03,-0.17517271,-1.859063283
102.545,-9.20E-03,-0.174977991,-1.858489937
102.54601,-9.19E-03,-0.174749774,-1.857914496
102.547,-9.17E-03,-0.174487039,-1.857329975
102.548,-9.15E-03,-0.174187182,-1.856767805
102.549,-9.13E-03,-0.173842534,-1.856161747
102.55,-9.12E-03,-0.173461725,-1.855596318
102.551,-9.10E-03,-0.173031483,-1.855018898
102.552,-9.08E-03,-0.172552915,-1.854450558
