Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99.8,-4.68E-04
99.801,-4.70E-04
99.802,-4.72E-04
99.803,-4.74E-04
99.804,-4.76E-04
99.805,-4.77E-04
99.806,-4.79E-04
99.80701,-4.81E-04
99.80801,-4.83E-04
99.80901,-4.85E-04
99.81001,-4.87E-04
99.811,-4.89E-04
99.812,-4.90E-04
99.813,-4.92E-04
99.814,-4.94E-04
99.815,-4.96E-04
99.816,-4.98E-04
99.817,-5.00E-04
99.818,-5.01E-04
99.819,-5.03E-04
99.82,-5.05E-04
99.82101,-5.07E-04
99.82201,-5.09E-04
99.82301,-5.11E-04
99.82401,-5.13E-04
99.825,-5.14E-04
99.826,-5.16E-04
99.827,-5.18E-04
99.828,-5.20E-04
99.829,-5.22E-04
99.83,-5.24E-04
99.831,-5.25E-04
99.832,-5.27E-04
99.833,-5.29E-04
99.834,-5.31E-04
99.83501,-5.33E-04
99.83601,-5.35E-04
99.83701,-5.37E-04
99.83801,-5.38E-04
99.839,-5.40E-04
99.84,-5.42E-04
99.841,-5.44E-04
99.842,-5.46E-04
99.843,-5.48E-04
99.844,-5.49E-04
99.845,-5.51E-04
99.846,-5.53E-04
99.847,-5.55E-04
99.848,-5.57E-04
99.84901,-5.58E-04
99.85001,-5.60E-04
99.85101,-5.62E-04
99.85201,-5.64E-04
99.853,-5.66E-04
99.854,-5.68E-04
99.855,-5.69E-04
99.856,-5.71E-04
99.857,-5.73E-04
99.858,-5.75E-04
99.859,-5.77E-04
99.86,-5.78E-04
99.861,-5.80E-04
99.862,-5.82E-04
99.86301,-5.84E-04
99.86401,-5.86E-04
99.86501,-5.88E-04
99.866,-5.89E-04
99.867,-5.91E-04
99.868,-5.93E-04
99.869,-5.95E-04
99.87,-5.97E-04
99.871,-5.98E-04
99.872,-6.00E-04
99.873,-6.02E-04
99.874,-6.04E-04
99.875,-6.05E-04
99.876,-6.07E-04
99.87701,-6.09E-04
99.87801,-6.11E-04
99.87901,-6.13E-04
99.88,-6.14E-04
99.881,-6.16E-04
99.882,-6.18E-04
99.883,-6.20E-04
99.884,-6.21E-04
99.885,-6.23E-04
99.886,-6.25E-04
99.887,-6.27E-04
99.888,-6.28E-04
99.889,-6.30E-04
99.89,-6.32E-04
99.89101,-6.34E-04
99.89201,-6.35E-04
99.89301,-6.37E-04
99.894,-6.39E-04
99.895,-6.41E-04
99.896,-6.42E-04
99.897,-6.44E-04
99.898,-6.46E-04
99.899,-6.47E-04
99.9,-6.49E-04
99.901,-6.51E-04
99.902,-6.52E-04
99.903,-6.54E-04
99.904,-6.56E-04
99.90501,-6.57E-04
99.90601,-6.59E-04
99.90701,-6.61E-04
99.908,-6.62E-04
99.909,-6.64E-04
99.91,-6.65E-04
99.911,-6.67E-04
99.912,-6.69E-04
99.913,-6.70E-04
99.914,-6.72E-04
99.915,-6.73E-04
99.916,-6.75E-04
99.917,-6.76E-04
99.918,-6.78E-04
99.91901,-6.79E-04
99.92001,-6.81E-04
99.92101,-6.82E-04
99.922,-6.83E-04
99.923,-6.85E-04
99.924,-6.86E-04
99.925,-6.88E-04
99.926,-6.89E-04
99.927,-6.90E-04
99.928,-6.91E-04
99.929,-6.93E-04
99.93,-6.94E-04
99.931,-6.95E-04
99.93201,-6.96E-04
99.93301,-6.97E-04
99.93401,-6.98E-04
99.93501,-6.99E-04
99.936,-7.00E-04
99.937,-7.01E-04
99.938,-7.02E-04
99.939,-7.02E-04
99.94,-7.03E-04
99.941,-7.04E-04
99.942,-7.04E-04
99.943,-7.05E-04
99.944,-7.05E-04
99.945,-7.06E-04
99.94601,-7.06E-04
99.94701,-7.06E-04
99.94801,-7.06E-04
99.94901,-7.06E-04
99.95,-7.06E-04
99.951,-7.06E-04
99.952,-7.06E-04
99.953,-7.05E-04
99.954,-7.04E-04
99.955,-7.04E-04
99.956,-7.03E-04
99.957,-7.01E-04
99.958,-7.00E-04
99.959,-6.98E-04
99.96001,-6.96E-04
99.96101,-6.94E-04
99.96201,-6.91E-04
99.96301,-6.88E-04
99.964,-6.85E-04
99.965,-6.81E-04
99.966,-6.76E-04
99.967,-6.71E-04
99.968,-6.65E-04
99.969,-6.57E-04
99.97,-6.49E-04
99.971,-6.39E-04
99.972,-6.28E-04
99.973,-6.14E-04
99.97401,-5.97E-04
99.97501,-5.76E-04
99.97601,-5.49E-04
99.97701,-5.15E-04
99.978,-4.69E-04
99.979,-4.04E-04
99.98,-3.05E-04
99.981,-1.37E-04
99.982,2.10E-04
99.983,1.32E-03
99.984,4.53E-03
99.985,2.00E-03
99.986,1.38E-03
99.987,1.10E-03
99.98801,9.36E-04
99.98901,8.32E-04
99.99001,7.70E-04
99.991,7.37E-04
99.992,7.23E-04
99.993,7.21E-04
99.994,7.29E-04
99.995,7.44E-04
99.996,7.65E-04
99.997,7.91E-04
99.998,8.21E-04
99.999,8.54E-04
100,8.90E-04
100.001,9.29E-04
100.00201,9.68E-04
100.00301,1.00E-03
100.00401,1.02E-03
100.005,1.04E-03
100.006,1.05E-03
100.007,1.06E-03
100.008,1.06E-03
100.009,1.06E-03
100.01,1.05E-03
100.011,1.04E-03
100.012,1.03E-03
100.013,1.01E-03
100.014,9.92E-04
100.015,9.71E-04
100.01601,9.54E-04
100.01701,9.42E-04
100.01801,9.35E-04
100.019,9.31E-04
100.02,9.31E-04
100.021,9.34E-04
100.022,9.40E-04
100.023,9.49E-04
100.024,9.60E-04
100.025,9.72E-04
100.026,9.86E-04
100.027,1.00E-03
100.028,1.01E-03
100.029,1.02E-03
100.03001,1.03E-03
100.03101,1.03E-03
100.03201,1.03E-03
100.033,1.04E-03
100.034,1.04E-03
100.035,1.04E-03
100.036,1.04E-03
100.037,1.05E-03
100.038,1.06E-03
100.039,1.07E-03
100.04,1.08E-03
100.041,1.09E-03
100.042,1.10E-03
100.043,1.11E-03
100.04401,1.11E-03
100.04501,1.12E-03
100.04601,1.12E-03
100.047,1.12E-03
100.048,1.11E-03
100.049,1.09E-03
100.05,1.07E-03
100.051,1.04E-03
100.052,1.01E-03
100.053,9.85E-04
100.054,9.55E-04
100.055,9.24E-04
100.056,8.93E-04
100.05701,8.61E-04
100.05801,8.26E-04
100.05901,7.87E-04
100.06001,7.40E-04
100.061,6.74E-04
100.062,5.47E-04
100.063,-1.87E-04
100.064,-1.19E-03
100.065,-9.11E-04
100.066,-8.37E-04
100.067,-8.01E-04
100.068,-7.80E-04
100.069,-7.65E-04
100.07,-7.55E-04
100.07101,-7.46E-04
100.07201,-7.39E-04
100.07301,-7.33E-04
100.07401,-7.28E-04
100.075,-7.23E-04
100.076,-7.19E-04
100.077,-7.15E-04
100.078,-7.11E-04
100.079,-7.08E-04
100.08,-7.05E-04
100.081,-7.01E-04
100.082,-6.98E-04
100.083,-6.96E-04
100.084,-6.93E-04
100.08501,-6.90E-04
100.08601,-6.88E-04
100.08701,-6.85E-04
100.08801,-6.83E-04
100.089,-6.81E-04
100.09,-6.79E-04
100.091,-6.77E-04
100.092,-6.75E-04
100.093,-6.73E-04
100.094,-6.71E-04
100.095,-6.70E-04
100.096,-6.68E-04
100.097,-6.66E-04
100.098,-6.64E-04
100.09901,-6.62E-04
100.10001,-6.60E-04
100.10101,-6.57E-04
100.10201,-6.53E-04
100.103,-6.50E-04
100.104,-6.45E-04
100.105,-6.40E-04
100.106,-6.33E-04
100.107,-6.26E-04
100.108,-6.17E-04
100.109,-6.06E-04
100.11,-5.94E-04
100.111,-5.80E-04
100.112,-5.63E-04
100.11301,-5.44E-04
100.11401,-5.21E-04
100.11501,-4.94E-04
100.116,-4.63E-04
100.117,-4.26E-04
100.118,-3.81E-04
100.119,-3.28E-04
100.12,-2.62E-04
100.121,-1.79E-04
100.122,-7.12E-05
100.123,7.57E-05
100.124,2.90E-04
100.125,6.34E-04
100.126,1.29E-03
100.12701,2.98E-03
100.12801,6.42E-03
100.12901,3.27E-03
100.13,1.93E-03
100.131,1.37E-03
