Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99.9,-1.30E-03
99.901,-1.31E-03
99.902,-1.31E-03
99.903,-1.31E-03
99.904,-1.32E-03
99.905,-1.32E-03
99.906,-1.32E-03
99.90701,-1.33E-03
99.908,-1.33E-03
99.909,-1.34E-03
99.91,-1.34E-03
99.911,-1.34E-03
99.912,-1.35E-03
99.913,-1.35E-03
99.914,-1.35E-03
99.915,-1.36E-03
99.916,-1.36E-03
99.917,-1.37E-03
99.918,-1.37E-03
99.919,-1.37E-03
99.92,-1.38E-03
99.92101,-1.38E-03
99.922,-1.39E-03
99.923,-1.39E-03
99.924,-1.39E-03
99.925,-1.40E-03
99.926,-1.40E-03
99.927,-1.40E-03
99.928,-1.41E-03
99.929,-1.41E-03
99.93,-1.42E-03
99.931,-1.42E-03
99.932,-1.42E-03
99.933,-1.43E-03
99.934,-1.43E-03
99.93501,-1.43E-03
99.936,-0.001437884
99.937,-1.44E-03
99.938,-1.45E-03
99.939,-1.45E-03
99.94,-1.45E-03
99.941,-1.46E-03
99.942,-1.46E-03
99.943,-1.46E-03
99.944,-1.47E-03
99.945,-1.47E-03
99.946,-1.48E-03
99.947,-1.48E-03
99.948,-1.48E-03
99.94901,-1.49E-03
99.95,-1.49E-03
99.951,-1.49E-03
99.952,-1.50E-03
99.953,-1.50E-03
99.954,-1.51E-03
99.955,-1.51E-03
99.956,-1.51E-03
99.957,-1.52E-03
99.958,-1.52E-03
99.959,-1.52E-03
99.96,-1.53E-03
99.961,-1.53E-03
99.962,-1.53E-03
99.96301,-1.54E-03
99.964,-1.54E-03
99.965,-1.55E-03
99.966,-1.55E-03
99.967,-1.55E-03
99.968,-1.56E-03
99.969,-1.56E-03
99.97,-1.56E-03
99.971,-1.57E-03
99.972,-1.57E-03
99.973,-1.57E-03
99.974,-1.58E-03
99.975,-1.58E-03
99.976,-1.59E-03
99.97701,-1.59E-03
99.978,-0.001592823
99.979,-1.60E-03
99.98,-1.60E-03
99.981,-1.60E-03
99.982,-1.61E-03
99.983,-1.61E-03
99.984,-0.001614083
99.985,-1.62E-03
99.986,-1.62E-03
99.987,-1.62E-03
99.988,-1.63E-03
99.989,-1.63E-03
99.99,-1.63E-03
99.991,-1.64E-03
99.992,-1.64E-03
99.993,-1.65E-03
99.994,-1.65E-03
99.995,-1.65E-03
99.996,-1.66E-03
99.997,-1.66E-03
99.998,-1.66E-03
99.999,-1.67E-03
100,-1.67E-03
100.001,-1.67E-03
100.002,-1.67E-03
100.003,-1.68E-03
100.004,-1.68E-03
100.005,-1.68E-03
100.006,-1.69E-03
100.007,-1.69E-03
100.008,-1.69E-03
100.009,-1.70E-03
100.01,-1.70E-03
100.011,-1.70E-03
100.012,-1.70E-03
100.013,-1.71E-03
100.014,-1.71E-03
100.015,-1.71E-03
100.016,-1.72E-03
100.017,-1.72E-03
100.018,-1.72E-03
100.019,-1.72E-03
100.02,-1.72E-03
100.021,-1.73E-03
100.022,-1.73E-03
100.023,-0.001731057
100.024,-1.73E-03
100.025,-1.73E-03
100.026,-1.74E-03
100.027,-1.74E-03
100.028,-1.74E-03
100.029,-1.74E-03
100.03,-1.74E-03
100.031,-1.74E-03
100.03201,-1.74E-03
100.033,-1.75E-03
100.034,-1.75E-03
100.035,-1.75E-03
100.036,-1.75E-03
100.037,-1.75E-03
100.038,-1.75E-03
100.039,-1.75E-03
100.04,-1.75E-03
100.041,-1.75E-03
100.042,-1.74E-03
100.043,-1.74E-03
100.044,-1.74E-03
100.045,-1.74E-03
100.04601,-1.74E-03
100.047,-1.74E-03
100.048,-1.73E-03
100.049,-1.73E-03
100.05,-1.73E-03
100.051,-1.72E-03
100.052,-1.72E-03
100.053,-1.71E-03
100.054,-1.71E-03
100.055,-1.70E-03
100.056,-1.69E-03
100.057,-1.68E-03
100.058,-1.68E-03
100.059,-1.67E-03
100.06001,-1.66E-03
100.061,-1.64E-03
100.062,-1.63E-03
100.063,-1.62E-03
100.064,-1.60E-03
100.065,-1.58E-03
100.066,-1.56E-03
100.067,-1.54E-03
100.068,-1.51E-03
100.069,-1.48E-03
100.07,-1.44E-03
100.071,-1.40E-03
100.072,-1.35E-03
100.073,-1.30E-03
100.07401,-1.23E-03
100.075,-1.15E-03
100.076,-1.04E-03
100.077,-9.06E-04
100.078,-7.24E-04
100.079,-4.66E-04
100.08,-7.24E-05
100.081,6.05E-04
100.082,2.05E-03
100.083,7.05E-03
100.084,1.45E-02
100.085,6.08E-03
100.086,3.98E-03
100.087,3.00E-03
100.08801,2.41E-03
100.089,2.07E-03
100.09,1.89E-03
100.091,1.80E-03
100.092,1.77E-03
100.093,1.78E-03
100.094,1.83E-03
100.095,1.90E-03
100.096,1.99E-03
100.097,2.10E-03
100.098,2.21E-03
100.099,2.34E-03
100.1,0.002476662
100.101,2.58E-03
100.10201,2.66E-03
100.103,2.70E-03
100.104,2.73E-03
100.105,2.73E-03
100.106,2.72E-03
100.107,2.69E-03
100.108,2.65E-03
100.109,2.59E-03
100.11,2.53E-03
100.111,2.48E-03
100.112,2.45E-03
100.113,2.44E-03
100.114,2.44E-03
100.115,2.46E-03
100.116,2.49E-03
100.117,2.53E-03
100.118,2.58E-03
100.119,2.61E-03
100.12,2.64E-03
100.121,2.65E-03
100.122,2.65E-03
100.123,2.64E-03
100.124,2.63E-03
100.125,2.61E-03
100.126,2.60E-03
100.127,2.59E-03
100.128,2.60E-03
100.129,2.61E-03
100.13,2.62E-03
100.131,2.64E-03
100.132,2.64E-03
100.133,2.65E-03
100.134,2.66E-03
100.135,2.66E-03
100.136,2.67E-03
100.137,2.69E-03
100.138,2.70E-03
100.139,2.71E-03
100.14,2.72E-03
100.141,2.71E-03
100.142,2.70E-03
100.143,2.70E-03
100.144,2.70E-03
100.145,2.71E-03
100.146,2.73E-03
100.147,2.75E-03
100.148,2.75E-03
100.149,2.74E-03
100.15,2.73E-03
100.151,2.75E-03
100.152,2.77E-03
100.153,2.79E-03
100.154,2.78E-03
100.155,2.76E-03
100.156,2.74E-03
100.15701,2.75E-03
100.158,2.80E-03
100.159,2.89E-03
100.16,2.98E-03
100.161,3.07E-03
100.162,3.15E-03
100.163,3.15E-03
100.164,-3.39E-03
100.165,-3.34E-03
100.166,-3.33E-03
100.167,-3.33E-03
100.168,-3.33E-03
100.169,-3.32E-03
100.17,-3.32E-03
100.17101,-3.32E-03
100.172,-3.32E-03
100.173,-3.32E-03
100.174,-3.32E-03
100.175,-3.32E-03
100.176,-3.31E-03
100.177,-3.31E-03
100.178,-3.31E-03
100.179,-3.31E-03
100.18,-3.31E-03
100.181,-3.31E-03
100.182,-3.31E-03
100.183,-3.31E-03
100.184,-3.31E-03
100.18501,-3.31E-03
100.186,-3.31E-03
100.187,-3.31E-03
100.188,-3.31E-03
100.189,-3.31E-03
100.19,-3.31E-03
100.191,-3.31E-03
100.192,-3.31E-03
100.193,-3.31E-03
100.194,-3.32E-03
100.195,-3.32E-03
100.196,-3.32E-03
100.197,-3.32E-03
100.198,-3.32E-03
100.19901,-3.32E-03
100.2,-3.32E-03
100.201,-3.32E-03
100.202,-3.32E-03
100.203,-3.32E-03
100.204,-3.31E-03
100.205,-3.31E-03
100.206,-3.30E-03
100.207,-0.003290597
100.208,-3.28E-03
100.209,-3.26E-03
100.21,-3.24E-03
100.211,-3.22E-03
100.212,-3.19E-03
100.21301,-3.16E-03
100.214,-3.12E-03
100.215,-3.07E-03
100.216,-3.02E-03
100.217,-2.95E-03
100.218,-2.87E-03
100.219,-2.76E-03
100.22,-2.64E-03
100.221,-2.48E-03
100.222,-2.26E-03
100.223,-1.96E-03
100.224,-1.52E-03
100.225,-7.88E-04
100.226,6.98E-04
100.22701,5.33E-03
100.228,1.91E-02
100.229,8.23E-03
100.23,5.59E-03
100.231,4.52E-03
100.232,3.95E-03
100.233,3.60E-03
100.234,3.37E-03
100.235,3.22E-03
100.236,3.12E-03
100.237,3.05E-03
100.238,3.01E-03
