Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.9,8.85E-02
103.901,0.088460661
103.902,8.84E-02
103.903,8.83E-02
103.904,8.83E-02
103.905,8.82E-02
103.906,8.81E-02
103.90701,8.81E-02
103.908,8.80E-02
103.909,8.80E-02
103.91,8.79E-02
103.911,8.78E-02
103.912,8.78E-02
103.913,8.77E-02
103.914,8.76E-02
103.915,8.76E-02
103.916,8.75E-02
103.917,8.74E-02
103.918,8.74E-02
103.919,8.73E-02
103.92,8.72E-02
103.92101,8.72E-02
103.922,8.71E-02
103.923,8.70E-02
103.924,8.70E-02
103.925,8.69E-02
103.926,8.68E-02
103.927,8.68E-02
103.928,8.67E-02
103.929,8.66E-02
103.93,8.66E-02
103.931,8.65E-02
103.932,8.64E-02
103.933,8.64E-02
103.934,8.63E-02
103.93501,8.62E-02
103.936,8.62E-02
103.937,8.61E-02
103.938,8.60E-02
103.939,8.60E-02
103.94,8.59E-02
103.941,8.58E-02
103.942,8.58E-02
103.943,0.085685633
103.944,8.56E-02
103.945,8.55E-02
103.946,0.085475817
103.947,8.54E-02
103.948,0.085335411
103.94901,0.085264616
103.95,8.52E-02
103.951,0.085122824
103.952,8.51E-02
103.953,8.50E-02
103.954,8.49E-02
103.955,8.48E-02
103.956,8.48E-02
103.957,8.47E-02
103.958,8.46E-02
103.959,8.45E-02
103.96,8.45E-02
103.961,8.44E-02
103.962,8.43E-02
103.96301,8.43E-02
103.964,0.084185354
103.965,8.41E-02
103.966,8.40E-02
103.967,8.40E-02
103.968,8.39E-02
103.969,8.38E-02
103.97,8.37E-02
103.971,8.37E-02
103.972,8.36E-02
103.973,8.35E-02
103.974,8.34E-02
103.975,8.34E-02
103.976,8.33E-02
103.97701,8.32E-02
103.978,8.31E-02
103.979,8.31E-02
103.98,8.30E-02
103.981,8.29E-02
103.982,0.082839347
103.983,8.28E-02
103.984,8.27E-02
103.985,8.26E-02
103.986,8.25E-02
103.987,8.25E-02
103.988,8.24E-02
103.989,8.23E-02
103.99,8.22E-02
103.991,0.082146592
103.992,8.21E-02
103.993,8.20E-02
103.994,8.19E-02
103.995,8.18E-02
103.996,8.18E-02
103.997,8.17E-02
103.998,8.16E-02
103.999,8.15E-02
104,8.14E-02
104.001,8.14E-02
104.002,8.13E-02
104.003,8.12E-02
104.004,8.11E-02
104.005,8.10E-02
104.006,8.10E-02
104.007,8.09E-02
104.008,8.08E-02
104.009,0.080721915
104.01,8.06E-02
104.011,0.080560178
104.012,8.05E-02
104.013,8.04E-02
104.014,8.03E-02
104.015,8.02E-02
104.016,8.02E-02
104.017,0.08007282
104.018,8.00E-02
104.019,7.99E-02
104.02,7.98E-02
104.021,7.97E-02
104.022,7.97E-02
104.023,7.96E-02
104.024,7.95E-02
104.025,7.94E-02
104.026,7.93E-02
104.027,7.92E-02
104.028,0.079163522
104.029,7.91E-02
104.03,7.90E-02
104.031,7.89E-02
104.03201,7.88E-02
104.033,7.87E-02
104.034,7.87E-02
104.035,7.86E-02
104.036,7.85E-02
104.037,7.84E-02
104.038,7.83E-02
104.039,7.82E-02
104.04,7.82E-02
104.041,7.81E-02
104.042,7.80E-02
104.043,7.79E-02
104.044,7.78E-02
104.045,0.077726699
104.04601,7.76E-02
104.047,7.76E-02
104.048,7.75E-02
104.049,7.74E-02
104.05,0.077297106
104.051,0.07721097
104.052,7.71E-02
104.053,7.70E-02
104.054,7.70E-02
104.055,7.69E-02
104.056,7.68E-02
104.057,7.67E-02
104.058,7.66E-02
104.059,7.65E-02
104.06001,7.64E-02
104.061,7.63E-02
104.062,0.076259084
104.063,7.62E-02
104.064,7.61E-02
104.065,7.60E-02
104.066,7.59E-02
104.067,7.58E-02
104.068,7.57E-02
104.069,7.57E-02
104.07,7.56E-02
104.071,7.55E-02
104.072,7.54E-02
104.073,7.53E-02
104.07401,7.52E-02
104.075,7.51E-02
104.076,7.50E-02
104.077,7.50E-02
104.078,7.49E-02
104.079,7.47E-02
104.08,7.46E-02
104.081,7.43E-02
104.082,0.073165089
104.083,5.98E-02
104.084,-6.27E-02
104.085,-7.21E-02
104.086,-7.33E-02
104.087,-7.36E-02
104.08801,-7.37E-02
104.089,-7.37E-02
104.09,-7.36E-02
104.091,-7.36E-02
104.092,-7.35E-02
104.093,-7.34E-02
104.094,-7.33E-02
104.095,-7.32E-02
104.096,-7.30E-02
104.097,-7.29E-02
104.098,-7.28E-02
104.099,-7.27E-02
104.1,-7.26E-02
104.101,-7.24E-02
104.10201,-7.23E-02
104.103,-7.22E-02
104.104,-7.20E-02
104.105,-7.19E-02
104.106,-7.18E-02
104.107,-7.17E-02
104.108,-7.17E-02
104.109,-7.16E-02
104.11,-7.15E-02
104.111,-7.14E-02
104.112,-7.14E-02
104.113,-7.13E-02
104.114,-7.12E-02
104.115,-7.11E-02
104.116,-7.11E-02
104.117,-7.10E-02
104.118,-7.09E-02
104.119,-7.08E-02
104.12,-7.07E-02
104.121,-0.070560522
104.122,-7.04E-02
104.123,-7.03E-02
104.124,-7.02E-02
104.125,-7.01E-02
104.126,-7.00E-02
104.127,-0.06985385
104.128,-6.97E-02
104.129,-6.97E-02
104.13,-6.96E-02
104.131,-6.95E-02
104.132,-6.94E-02
104.133,-6.93E-02
104.134,-6.92E-02
104.135,-6.91E-02
104.136,-6.90E-02
104.137,-6.89E-02
104.138,-0.068815142
104.139,-6.87E-02
104.14,-6.86E-02
104.141,-6.85E-02
104.142,-6.84E-02
104.143,-6.82E-02
104.144,-6.81E-02
104.145,-6.80E-02
104.146,-6.79E-02
104.147,-6.78E-02
104.148,-0.067730725
104.149,-6.76E-02
104.15,-6.75E-02
104.151,-6.74E-02
104.152,-6.73E-02
104.153,-6.72E-02
104.154,-6.70E-02
104.155,-6.69E-02
104.156,-6.68E-02
104.15701,-0.066626251
104.158,-6.65E-02
104.159,-6.64E-02
104.16,-6.63E-02
104.161,-6.62E-02
104.162,-6.63E-02
104.163,-2.02E-03
104.164,6.50E-02
104.165,6.53E-02
104.166,6.53E-02
