Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99.9,1.43E-02
99.901,1.43E-02
99.902,1.43E-02
99.903,1.44E-02
99.904,1.44E-02
99.905,1.44E-02
99.906,1.45E-02
99.90701,1.45E-02
99.908,1.45E-02
99.909,1.45E-02
99.91,1.46E-02
99.911,1.46E-02
99.912,1.46E-02
99.913,1.46E-02
99.914,1.47E-02
99.915,1.47E-02
99.916,0.01471205
99.917,1.47E-02
99.918,1.48E-02
99.919,1.48E-02
99.92,1.48E-02
99.92101,1.48E-02
99.922,1.49E-02
99.923,1.49E-02
99.924,1.49E-02
99.925,1.49E-02
99.926,0.014969677
99.927,1.50E-02
99.928,1.50E-02
99.929,1.50E-02
99.93,1.51E-02
99.931,1.51E-02
99.932,1.51E-02
99.933,0.015147197
99.934,1.52E-02
99.93501,1.52E-02
99.936,1.52E-02
99.937,1.52E-02
99.938,1.53E-02
99.939,0.015298368
99.94,1.53E-02
99.941,1.53E-02
99.942,0.015373008
99.943,1.54E-02
99.944,1.54E-02
99.945,1.54E-02
99.946,1.55E-02
99.947,1.55E-02
99.948,1.55E-02
99.94901,1.55E-02
99.95,0.015570642
99.951,1.56E-02
99.952,1.56E-02
99.953,1.56E-02
99.954,0.015668387
99.955,1.57E-02
99.956,1.57E-02
99.957,1.57E-02
99.958,0.015765494
99.959,1.58E-02
99.96,0.015813572
99.961,1.58E-02
99.962,1.59E-02
99.96301,0.01588604
99.964,1.59E-02
99.965,1.59E-02
99.966,1.60E-02
99.967,1.60E-02
99.968,1.60E-02
99.969,1.60E-02
99.97,1.61E-02
99.971,0.016076211
99.972,1.61E-02
99.973,1.61E-02
99.974,1.61E-02
99.975,1.62E-02
99.976,1.62E-02
99.97701,1.62E-02
99.978,1.62E-02
99.979,1.63E-02
99.98,1.63E-02
99.981,1.63E-02
99.982,1.63E-02
99.983,1.64E-02
99.984,1.64E-02
99.985,1.64E-02
99.986,1.64E-02
99.987,1.64E-02
99.988,1.65E-02
99.989,1.65E-02
99.99,1.65E-02
99.991,1.65E-02
99.992,1.66E-02
99.993,1.66E-02
99.994,1.66E-02
99.995,1.66E-02
99.996,1.67E-02
99.997,1.67E-02
99.998,1.67E-02
99.999,1.67E-02
100,1.67E-02
100.001,1.68E-02
100.002,1.68E-02
100.003,1.68E-02
100.004,1.68E-02
100.005,1.69E-02
100.006,1.69E-02
100.007,1.69E-02
100.008,1.69E-02
100.009,1.69E-02
100.01,1.70E-02
100.011,1.70E-02
100.012,0.017006965
100.013,1.70E-02
100.014,1.71E-02
100.015,1.71E-02
100.016,1.71E-02
100.017,1.71E-02
100.018,1.71E-02
100.019,1.72E-02
100.02,1.72E-02
100.021,1.72E-02
100.022,1.72E-02
100.023,1.72E-02
100.024,1.73E-02
100.025,1.73E-02
100.026,1.73E-02
100.027,1.73E-02
100.028,1.74E-02
100.029,0.017372053
100.03,1.74E-02
100.031,1.74E-02
100.03201,1.74E-02
100.033,1.75E-02
100.034,1.75E-02
100.035,0.017498568
100.036,1.75E-02
100.037,1.75E-02
100.038,1.76E-02
100.039,1.76E-02
100.04,1.76E-02
100.041,1.76E-02
100.042,0.017644364
100.043,1.77E-02
100.044,0.017685616
100.045,1.77E-02
100.04601,1.77E-02
100.047,1.77E-02
100.048,1.78E-02
100.049,1.78E-02
100.05,1.78E-02
100.051,1.78E-02
100.052,1.79E-02
100.053,1.79E-02
100.054,1.79E-02
100.055,1.79E-02
100.056,1.79E-02
100.057,1.80E-02
100.058,1.80E-02
100.059,1.80E-02
100.06001,1.80E-02
100.061,1.80E-02
100.062,0.018056646
100.063,1.81E-02
100.064,1.81E-02
100.065,1.81E-02
100.066,1.81E-02
100.067,1.82E-02
100.068,1.82E-02
100.069,1.82E-02
100.07,1.82E-02
100.071,1.82E-02
100.072,1.83E-02
100.073,1.83E-02
100.07401,1.83E-02
100.075,0.018341227
100.076,0.018365977
100.077,1.84E-02
100.078,1.84E-02
100.079,1.84E-02
100.08,1.85E-02
100.081,1.85E-02
100.082,1.84E-02
100.083,1.71E-02
100.084,-1.16E-02
100.085,-0.017531244
100.086,-1.81E-02
100.087,-1.83E-02
100.08801,-1.84E-02
100.089,-1.85E-02
100.09,-1.85E-02
100.091,-1.86E-02
100.092,-1.86E-02
100.093,-1.86E-02
100.094,-1.86E-02
100.095,-1.86E-02
100.096,-1.86E-02
100.097,-1.86E-02
100.098,-0.018650047
100.099,-1.87E-02
100.1,-1.87E-02
100.101,-1.87E-02
100.10201,-1.87E-02
100.103,-1.87E-02
100.104,-1.87E-02
100.105,-1.87E-02
100.106,-1.87E-02
100.107,-1.88E-02
100.108,-1.88E-02
100.109,-0.018801287
100.11,-1.88E-02
100.111,-1.89E-02
100.112,-1.89E-02
100.113,-1.89E-02
100.114,-1.89E-02
100.115,-1.89E-02
100.116,-0.018936425
100.117,-1.89E-02
100.118,-1.90E-02
100.119,-1.90E-02
100.12,-1.90E-02
100.121,-1.90E-02
100.122,-1.90E-02
100.123,-1.90E-02
100.124,-0.019047387
100.125,-1.91E-02
100.126,-1.91E-02
100.127,-1.91E-02
100.128,-1.91E-02
100.129,-1.91E-02
100.13,-1.91E-02
100.131,-1.92E-02
100.132,-1.92E-02
100.133,-1.92E-02
100.134,-1.92E-02
100.135,-1.92E-02
100.136,-0.019231254
100.137,-1.93E-02
100.138,-1.93E-02
100.139,-1.93E-02
100.14,-1.93E-02
100.141,-1.93E-02
100.142,-1.93E-02
100.143,-0.019335488
100.144,-1.93E-02
100.145,-1.94E-02
100.146,-1.94E-02
100.147,-1.94E-02
100.148,-1.94E-02
100.149,-1.94E-02
100.15,-0.019432096
100.151,-1.94E-02
100.152,-1.95E-02
100.153,-1.95E-02
100.154,-1.95E-02
100.155,-1.95E-02
100.156,-1.95E-02
100.15701,-1.95E-02
100.158,-1.95E-02
100.159,-1.95E-02
100.16,-1.95E-02
100.161,-0.01953809
100.162,-1.95E-02
100.163,-1.95E-02
100.164,1.95E-02
100.165,1.95E-02
100.166,0.019536555
