Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.9,4.25E-03
103.901,4.26E-03
103.902,4.26E-03
103.903,4.27E-03
103.904,4.27E-03
103.905,4.28E-03
103.906,4.28E-03
103.90701,4.29E-03
103.908,4.29E-03
103.909,4.30E-03
103.91,4.30E-03
103.911,4.31E-03
103.912,4.31E-03
103.913,4.31E-03
103.914,4.32E-03
103.915,4.32E-03
103.916,4.33E-03
103.917,4.33E-03
103.918,4.34E-03
103.919,4.34E-03
103.92,4.35E-03
103.92101,4.35E-03
103.922,4.36E-03
103.923,4.36E-03
103.924,4.36E-03
103.925,4.37E-03
103.926,4.37E-03
103.927,4.38E-03
103.928,4.38E-03
103.929,4.39E-03
103.93,4.39E-03
103.931,4.40E-03
103.932,4.40E-03
103.933,4.41E-03
103.934,4.41E-03
103.93501,4.41E-03
103.936,4.42E-03
103.937,4.42E-03
103.938,4.43E-03
103.939,4.43E-03
103.94,4.44E-03
103.941,4.44E-03
103.942,4.44E-03
103.943,4.45E-03
103.944,4.45E-03
103.945,4.46E-03
103.946,4.46E-03
103.947,4.47E-03
103.948,4.47E-03
103.94901,4.48E-03
103.95,4.48E-03
103.951,4.48E-03
103.952,4.49E-03
103.953,4.49E-03
103.954,4.50E-03
103.955,0.004500737
103.956,4.50E-03
103.957,4.51E-03
103.958,4.51E-03
103.959,4.52E-03
103.96,4.52E-03
103.961,4.53E-03
103.962,4.53E-03
103.96301,4.53E-03
103.964,4.54E-03
103.965,4.54E-03
103.966,4.55E-03
103.967,4.55E-03
103.968,4.55E-03
103.969,4.56E-03
103.97,4.56E-03
103.971,4.57E-03
103.972,4.57E-03
103.973,4.58E-03
103.974,4.58E-03
103.975,4.58E-03
103.976,4.59E-03
103.97701,4.59E-03
103.978,4.60E-03
103.979,4.60E-03
103.98,4.60E-03
103.981,4.61E-03
103.982,4.61E-03
103.983,4.62E-03
103.984,4.62E-03
103.985,4.62E-03
103.986,4.63E-03
103.987,4.63E-03
103.988,4.64E-03
103.989,4.64E-03
103.99,4.64E-03
103.991,4.65E-03
103.992,4.65E-03
103.993,4.65E-03
103.994,4.66E-03
103.995,4.66E-03
103.996,4.67E-03
103.997,4.67E-03
103.998,4.67E-03
103.999,4.68E-03
104,4.68E-03
104.001,4.69E-03
104.002,4.69E-03
104.003,4.69E-03
104.004,4.70E-03
104.005,4.70E-03
104.006,4.70E-03
104.007,4.71E-03
104.008,4.71E-03
104.009,4.72E-03
104.01,4.72E-03
104.011,4.72E-03
104.012,4.73E-03
104.013,4.73E-03
104.014,4.73E-03
104.015,4.74E-03
104.016,4.74E-03
104.017,4.74E-03
104.018,4.75E-03
104.019,4.75E-03
104.02,4.76E-03
104.021,4.76E-03
104.022,4.76E-03
104.023,4.77E-03
104.024,4.77E-03
104.025,4.77E-03
104.026,4.78E-03
104.027,4.78E-03
104.028,4.78E-03
104.029,4.79E-03
104.03,4.79E-03
104.031,4.79E-03
104.03201,4.80E-03
104.033,4.80E-03
104.034,4.80E-03
104.035,4.81E-03
104.036,4.81E-03
104.037,4.81E-03
104.038,4.82E-03
104.039,4.82E-03
104.04,4.82E-03
104.041,4.83E-03
104.042,4.83E-03
104.043,4.83E-03
104.044,4.84E-03
104.045,4.84E-03
104.04601,4.84E-03
104.047,4.85E-03
104.048,4.85E-03
104.049,4.85E-03
104.05,4.86E-03
104.051,4.86E-03
104.052,4.86E-03
104.053,4.87E-03
104.054,4.87E-03
104.055,4.87E-03
104.056,4.88E-03
104.057,4.88E-03
104.058,4.88E-03
104.059,4.89E-03
104.06001,4.89E-03
104.061,4.89E-03
104.062,4.90E-03
104.063,4.90E-03
104.064,4.90E-03
104.065,4.90E-03
104.066,4.91E-03
104.067,4.91E-03
104.068,4.91E-03
104.069,4.92E-03
104.07,4.92E-03
104.071,4.92E-03
104.072,4.93E-03
104.073,4.93E-03
104.07401,4.93E-03
104.075,4.93E-03
104.076,4.94E-03
104.077,4.94E-03
104.078,4.94E-03
104.079,4.94E-03
104.08,4.95E-03
104.081,4.95E-03
104.082,4.95E-03
104.083,4.95E-03
104.084,4.96E-03
104.085,4.96E-03
104.086,4.96E-03
104.087,4.96E-03
104.08801,4.96E-03
104.089,4.97E-03
104.09,4.97E-03
104.091,4.97E-03
104.092,4.97E-03
104.093,4.97E-03
104.094,4.98E-03
104.095,4.98E-03
104.096,4.98E-03
104.097,4.99E-03
104.098,4.99E-03
104.099,5.00E-03
104.1,5.00E-03
104.101,5.00E-03
104.10201,5.01E-03
104.103,5.01E-03
104.104,5.01E-03
104.105,5.01E-03
104.106,5.02E-03
104.107,5.02E-03
104.108,5.02E-03
104.109,5.03E-03
104.11,5.03E-03
104.111,5.03E-03
104.112,5.04E-03
104.113,5.04E-03
104.114,5.04E-03
104.115,5.05E-03
104.116,5.05E-03
104.117,5.05E-03
104.118,5.06E-03
104.119,5.06E-03
104.12,5.06E-03
104.121,5.06E-03
104.122,5.07E-03
104.123,5.07E-03
104.124,5.07E-03
104.125,5.07E-03
104.126,5.07E-03
104.127,5.07E-03
104.128,5.07E-03
104.129,5.08E-03
104.13,5.08E-03
104.131,5.08E-03
104.132,5.09E-03
104.133,5.09E-03
104.134,5.10E-03
104.135,5.10E-03
104.136,5.10E-03
104.137,5.11E-03
104.138,5.11E-03
104.139,5.11E-03
104.14,5.11E-03
104.141,5.11E-03
104.142,5.11E-03
104.143,5.11E-03
104.144,5.11E-03
104.145,5.11E-03
104.146,5.12E-03
104.147,5.12E-03
104.148,5.12E-03
104.149,5.13E-03
104.15,5.13E-03
104.151,5.14E-03
104.152,5.14E-03
104.153,5.14E-03
104.154,5.15E-03
104.155,5.15E-03
104.156,5.15E-03
104.15701,5.15E-03
104.158,5.15E-03
104.159,5.16E-03
104.16,5.16E-03
104.161,5.16E-03
104.162,5.16E-03
104.163,5.16E-03
104.164,5.16E-03
104.165,5.17E-03
104.166,5.17E-03
104.167,5.17E-03
104.168,5.17E-03
104.169,5.18E-03
104.17,5.18E-03
104.17101,5.18E-03
104.172,5.19E-03
104.173,5.19E-03
104.174,5.19E-03
104.175,5.20E-03
104.176,5.20E-03
104.177,5.20E-03
104.178,5.20E-03
104.179,5.21E-03
104.18,5.21E-03
104.181,5.21E-03
104.182,5.22E-03
104.183,5.22E-03
104.184,5.22E-03
104.18501,5.23E-03
104.186,5.23E-03
104.187,5.23E-03
104.188,5.24E-03
104.189,5.24E-03
104.19,5.24E-03
104.191,5.24E-03
104.192,5.25E-03
104.193,5.25E-03
104.194,5.25E-03
104.195,5.25E-03
104.196,5.26E-03
104.197,5.26E-03
104.198,5.26E-03
104.19901,5.27E-03
104.2,5.27E-03
104.201,5.27E-03
104.202,5.27E-03
104.203,5.27E-03
104.204,5.28E-03
104.205,5.28E-03
104.206,5.28E-03
104.207,5.28E-03
104.208,5.28E-03
104.209,5.29E-03
104.21,5.29E-03
104.211,5.29E-03
104.212,5.29E-03
104.21301,5.29E-03
104.214,5.29E-03
104.215,5.29E-03
104.216,5.28E-03
104.217,5.28E-03
104.218,0.005280627
104.219,5.28E-03
104.22,5.27E-03
104.221,5.27E-03
104.222,5.26E-03
104.223,5.26E-03
104.224,5.25E-03
104.225,5.25E-03
104.226,5.24E-03
104.22701,5.24E-03
104.228,5.24E-03
104.229,5.24E-03
104.23,5.25E-03
104.231,5.25E-03
104.232,5.26E-03
104.233,5.26E-03
104.234,5.26E-03
104.235,5.27E-03
104.236,5.27E-03
104.237,5.27E-03
104.238,5.27E-03
104.239,5.27E-03
104.24,5.27E-03
104.241,5.27E-03
104.242,5.27E-03
104.243,5.26E-03
104.244,5.26E-03
104.245,5.25E-03
104.246,5.25E-03
104.247,5.24E-03
104.248,5.23E-03
104.249,5.22E-03
104.25,5.20E-03
104.251,5.19E-03
104.252,5.17E-03
104.253,5.16E-03
104.254,5.14E-03
104.255,5.12E-03
104.256,5.11E-03
104.257,5.09E-03
104.258,5.07E-03
104.259,5.06E-03
104.26,5.05E-03
104.261,5.05E-03
104.262,5.05E-03
104.263,5.06E-03
104.264,5.07E-03
104.265,5.09E-03
104.266,5.12E-03
104.267,5.15E-03
104.26801,5.19E-03
104.269,5.24E-03
104.27,5.30E-03
104.271,5.35E-03
104.272,5.40E-03
104.273,5.45E-03
104.274,5.49E-03
104.275,5.53E-03
104.276,5.56E-03
104.277,5.59E-03
104.278,5.62E-03
104.279,5.64E-03
104.28,5.65E-03
104.281,5.67E-03
104.28201,5.67E-03
104.283,5.68E-03
104.284,5.68E-03
104.285,5.68E-03
104.286,5.68E-03
104.287,5.67E-03
104.288,5.67E-03
104.289,5.66E-03
104.29,5.65E-03
104.291,5.64E-03
