Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²]
,
*Time (s),Line A (?s?
98.3,1.27E-02
98.301,0.012674768
98.302,1.27E-02
98.303,1.27E-02
98.304,1.27E-02
98.305,1.27E-02
98.306,1.27E-02
98.30701,0.012757683
98.30801,1.28E-02
98.30901,1.28E-02
98.31001,1.28E-02
98.311,1.28E-02
98.312,0.012826344
98.313,1.28E-02
98.314,1.29E-02
98.315,1.29E-02
98.316,1.29E-02
98.317,1.29E-02
98.318,1.29E-02
98.319,1.29E-02
98.32,1.29E-02
98.32101,1.29E-02
98.32201,1.30E-02
98.32301,1.30E-02
98.32401,1.30E-02
98.325,1.30E-02
98.326,1.30E-02
98.327,1.30E-02
98.328,1.30E-02
98.329,1.31E-02
98.33,1.31E-02
98.331,1.31E-02
98.332,1.31E-02
98.333,1.31E-02
98.334,1.31E-02
98.33501,1.31E-02
98.33601,1.32E-02
98.33701,1.32E-02
98.33801,1.32E-02
98.339,1.32E-02
98.34,1.32E-02
98.341,1.32E-02
98.342,1.32E-02
98.343,0.013245759
98.344,1.33E-02
98.345,1.33E-02
98.346,1.33E-02
98.347,1.33E-02
98.348,1.33E-02
98.34901,1.33E-02
98.35001,1.33E-02
98.35101,0.013352059
98.35201,1.34E-02
98.353,1.34E-02
98.354,1.34E-02
98.355,1.34E-02
98.356,1.34E-02
98.357,1.34E-02
98.358,1.34E-02
98.359,1.35E-02
98.36,0.01347072
98.361,1.35E-02
98.362,1.35E-02
98.36301,1.35E-02
98.36401,1.35E-02
98.36501,1.35E-02
98.366,0.013549443
98.367,1.36E-02
98.368,1.36E-02
98.369,1.36E-02
98.37,1.36E-02
98.371,1.36E-02
98.372,1.36E-02
98.373,1.36E-02
98.374,1.37E-02
98.375,1.37E-02
98.376,1.37E-02
98.37701,0.0136924
98.37801,0.013705263
98.37901,1.37E-02
98.38,1.37E-02
98.381,1.37E-02
98.382,0.0137568
98.383,1.38E-02
98.384,1.38E-02
98.385,1.38E-02
98.386,1.38E-02
98.387,1.38E-02
98.388,1.38E-02
98.389,1.38E-02
98.39,1.39E-02
98.39101,0.013872018
98.39201,1.39E-02
98.39301,0.013897511
98.394,1.39E-02
98.395,1.39E-02
98.396,1.39E-02
98.397,1.39E-02
98.398,0.013960944
98.399,1.40E-02
98.4,1.40E-02
98.401,1.40E-02
98.402,1.40E-02
98.403,1.40E-02
98.404,1.40E-02
98.40501,1.40E-02
98.40601,1.41E-02
98.40701,0.014074357
98.408,1.41E-02
98.409,1.41E-02
98.41,0.014111883
98.411,1.41E-02
98.412,1.41E-02
98.413,0.014149354
98.414,1.42E-02
98.415,1.42E-02
98.416,1.42E-02
98.417,0.014199068
98.418,1.42E-02
98.41901,1.42E-02
98.42001,1.42E-02
98.42101,1.42E-02
98.422,1.43E-02
98.423,1.43E-02
98.424,1.43E-02
98.425,1.43E-02
98.426,0.014310242
98.427,1.43E-02
98.428,1.43E-02
98.429,1.43E-02
98.43,0.014359244
98.431,1.44E-02
98.43201,1.44E-02
98.43301,1.44E-02
98.43401,1.44E-02
98.43501,1.44E-02
98.436,0.014432393
98.437,1.44E-02
98.438,1.45E-02
98.439,1.45E-02
98.44,1.45E-02
98.441,1.45E-02
98.442,1.45E-02
98.443,1.45E-02
98.444,1.45E-02
98.445,1.45E-02
98.44601,1.46E-02
98.44701,1.46E-02
98.44801,1.46E-02
98.44901,1.46E-02
98.45,1.46E-02
98.451,1.46E-02
98.452,1.46E-02
98.453,1.46E-02
98.454,1.46E-02
98.455,1.47E-02
98.456,0.014671148
98.457,1.47E-02
98.458,1.47E-02
98.459,1.47E-02
98.46001,0.014717836
98.46101,1.47E-02
98.46201,1.47E-02
98.46301,1.48E-02
98.464,1.48E-02
98.465,1.48E-02
98.466,1.48E-02
98.467,1.48E-02
98.468,1.48E-02
98.469,1.48E-02
98.47,1.48E-02
98.471,1.48E-02
98.472,1.49E-02
98.473,1.49E-02
98.47401,1.49E-02
98.47501,1.49E-02
98.47601,1.49E-02
98.47701,1.49E-02
98.478,1.49E-02
98.479,1.49E-02
98.48,1.49E-02
98.481,1.50E-02
98.482,0.014962968
98.483,1.50E-02
98.484,1.50E-02
98.485,1.50E-02
98.486,1.50E-02
98.487,1.50E-02
98.48801,1.50E-02
98.48901,1.50E-02
98.49001,1.50E-02
98.491,1.50E-02
98.492,1.50E-02
98.493,1.51E-02
98.494,1.51E-02
98.495,0.015083042
98.496,1.51E-02
98.497,1.51E-02
98.498,1.51E-02
98.499,1.51E-02
98.5,0.015146455
98.501,1.52E-02
98.50201,1.52E-02
98.50301,1.52E-02
98.50401,1.52E-02
98.505,1.52E-02
98.506,1.52E-02
98.507,1.52E-02
98.508,1.52E-02
98.509,1.53E-02
98.51,1.53E-02
98.511,1.53E-02
98.512,0.015292177
98.513,1.53E-02
98.514,1.53E-02
98.515,1.53E-02
98.51601,1.53E-02
98.51701,0.015356645
98.51801,1.54E-02
98.519,1.54E-02
98.52,1.54E-02
98.521,1.54E-02
98.522,1.54E-02
98.523,1.54E-02
98.524,1.54E-02
98.525,1.54E-02
98.526,1.54E-02
98.527,1.54E-02
98.528,1.54E-02
98.529,1.55E-02
98.53001,1.55E-02
98.53101,1.55E-02
98.53201,1.55E-02
98.533,1.55E-02
98.534,1.56E-02
98.535,1.56E-02
98.536,1.56E-02
98.537,1.56E-02
98.538,1.56E-02
98.539,1.56E-02
98.54,1.56E-02
98.541,1.56E-02
98.542,1.56E-02
98.543,0.01558969
98.54401,0.015602752
98.54501,1.56E-02
98.54601,1.56E-02
98.547,1.57E-02
98.548,1.57E-02
98.549,1.57E-02
98.55,1.57E-02
98.551,1.57E-02
98.552,1.58E-02
98.553,1.58E-02
98.554,1.58E-02
98.555,1.58E-02
98.556,1.58E-02
98.55701,1.58E-02
98.55801,1.58E-02
98.55901,1.58E-02
98.56001,1.58E-02
98.561,1.58E-02
98.562,1.58E-02
98.563,1.58E-02
98.564,1.58E-02
98.565,0.015800305
98.566,0.015813772
98.567,1.58E-02
98.568,1.58E-02
98.569,1.59E-02
98.57,1.59E-02
98.57101,1.59E-02
98.57201,1.59E-02
98.57301,1.59E-02
98.57401,1.59E-02
98.575,1.59E-02
98.576,1.60E-02
98.577,1.60E-02
98.578,1.60E-02
98.579,1.60E-02
98.58,1.60E-02
98.581,1.60E-02
98.582,1.60E-02
98.583,1.60E-02
98.584,1.61E-02
98.58501,1.61E-02
98.58601,1.61E-02
98.58701,1.61E-02
98.58801,1.61E-02
98.589,1.61E-02
98.59,1.61E-02
98.591,1.61E-02
98.592,1.62E-02
98.593,1.62E-02
98.594,1.62E-02
98.595,0.016196746
98.596,1.62E-02
98.597,1.62E-02
98.598,0.016231881
98.59901,1.62E-02
98.60001,1.63E-02
98.60101,1.63E-02
98.60201,1.63E-02
98.603,0.016292205
98.604,0.016304811
98.605,1.63E-02
98.606,0.016330823
98.607,0.016344341
98.608,1.64E-02
98.609,1.64E-02
98.61,1.64E-02
98.611,1.64E-02
98.612,1.64E-02
98.61301,1.64E-02
98.61401,1.65E-02
98.61501,1.65E-02
98.616,1.65E-02
98.617,1.65E-02
98.618,0.016520457
98.619,1.65E-02
98.62,1.66E-02
98.621,1.66E-02
98.622,1.66E-02
98.623,0.016605744
98.624,1.66E-02
98.625,1.66E-02
98.626,1.66E-02
98.62701,0.016631942
98.62801,1.66E-02
98.62901,1.66E-02
98.63,1.66E-02
98.631,0.016584113
98.632,1.66E-02
98.633,1.66E-02
98.634,1.66E-02
98.635,0.016541289
98.636,1.65E-02
98.637,1.65E-02
98.638,1.65E-02
98.639,1.65E-02
98.64,1.65E-02
98.64101,1.65E-02
98.64201,1.65E-02
98.64301,0.016538318
98.644,1.65E-02
98.645,0.016557191
98.646,1.66E-02
98.647,1.66E-02
98.648,1.66E-02
98.649,1.66E-02
98.65,1.66E-02
98.651,1.67E-02
98.652,0.016677214
98.653,1.67E-02
98.654,1.67E-02
98.65501,0.016749719
98.65601,1.68E-02
98.65701,1.68E-02
98.658,1.68E-02
98.659,1.69E-02
98.66,1.69E-02
98.661,1.69E-02
98.662,1.69E-02
98.663,0.016953832
98.664,1.70E-02
98.665,1.70E-02
98.666,1.70E-02
98.667,1.70E-02
98.668,1.70E-02
98.66901,1.70E-02
98.67001,1.70E-02
98.67101,1.70E-02
98.672,1.70E-02
98.673,1.70E-02
98.674,1.70E-02
98.675,1.70E-02
98.676,1.70E-02
98.677,0.016953919
98.678,0.016955903
98.679,1.70E-02
98.68,1.70E-02
98.681,1.70E-02
98.68201,1.70E-02
98.68301,1.70E-02
98.68401,1.70E-02
98.68501,1.70E-02
98.686,1.70E-02
98.687,1.70E-02
98.688,1.71E-02
98.689,1.71E-02
