Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
98.5,-0.433091656
98.501,-0.433125155
98.502,-0.433158595
98.503,-0.433191337
98.504,-0.433224515
98.505,-0.433254318
98.506,-0.433284324
98.507,-0.43331465
98.508,-0.433343026
98.509,-0.433372275
98.51,-0.433399575
98.511,-0.433427049
98.512,-0.433454697
98.513,-0.433479785
98.514,-0.433504552
98.515,-0.433528185
98.516,-0.433552777
98.517,-0.433575013
98.518,-0.433598005
98.519,-0.433620065
98.52,-0.433640816
98.521,-0.433661189
98.522,-0.433681271
98.523,-0.43370077
98.524,-0.433719717
98.525,-0.433736684
98.526,-0.433753914
98.527,-0.433770765
98.528,-0.433786481
98.529,-0.433801848
98.53,-0.433815119
98.531,-0.433829176
98.532,-0.43384303
98.533,-0.433856243
98.534,-0.433866575
98.535,-0.433878507
98.536,-0.433888694
98.537,-0.433899724
98.538,-0.433907437
98.539,-0.433915819
98.54,-0.433922745
98.541,-0.433931215
98.542,-0.433938345
98.543,-0.433943002
98.544,-0.433949142
98.545,-0.433952053
98.546,-0.433956768
98.547,-0.433960202
98.548,-0.433962326
98.549,-0.433964189
98.55,-0.433964713
98.551,-0.433965528
98.552,-0.433965499
98.553,-0.433963723
98.554,-0.433962909
98.555,-0.433959824
98.556,-0.433958165
98.557,-0.433953683
98.558,-0.433949346
98.559,-0.433944486
98.56,-0.433938636
98.561,-0.433933281
98.562,-0.43392618
98.563,-0.433917856
98.564,-0.433910114
98.565,-0.433902518
98.566,-0.433891197
98.567,-0.433882466
98.568,-0.433870737
98.569,-0.433858979
98.57,-0.433846144
98.571,-0.433833717
98.572,-0.433818932
98.573,-0.433805486
98.574,-0.433789886
98.575,-0.433775771
98.576,-0.43375988
98.577,-0.433742709
98.578,-0.433723588
98.579,-0.433706184
98.58,-0.433686451
98.581,-0.433668436
98.582,-0.433647045
98.583,-0.433625188
98.584,-0.433604961
98.585,-0.433582434
98.586,-0.433560577
98.587,-0.433534937
98.588,-0.433511363
98.589,-0.433486101
98.59,-0.433459878
98.591,-0.433433917
98.592,-0.433407404
98.593,-0.433379173
98.594,-0.433351408
98.595,-0.433321373
98.596,-0.433292356
98.597,-0.4332627
98.598,-0.433231267
98.599,-0.433201028
98.6,-0.433167384
98.601,-0.433134293
98.602,-0.433099311
98.603,-0.433066103
98.604,-0.43303048
98.605,-0.432996225
98.606,-0.432958797
98.607,-0.432922941
98.608,-0.432884
98.609,-0.432845729
98.61,-0.432806264
98.611,-0.432767643
98.612,-0.432726461
98.613,-0.432685454
98.614,-0.432645233
98.615,-0.432602013
98.616,-0.432558852
98.617,-0.432514469
98.618,-0.432471163
98.619,-0.432425819
98.62,-0.432380562
98.621,-0.432333007
98.622,-0.43228647
98.623,-0.432238419
98.624,-0.432191009
98.625,-0.432140165
98.626,-0.43209194
98.627,-0.432040455
98.628,-0.431989756
98.629,-0.431939436
98.63,-0.431885215
98.631,-0.431833556
98.632,-0.431778346
98.633,-0.431724417
98.634,-0.431668974
98.635,-0.431614375
98.636,-0.43155771
98.637,-0.431500288
98.638,-0.431442459
98.639,-0.431384513
98.64,-0.43132517
98.641,-0.431265682
98.642,-0.431204011
98.643,-0.43114365
98.644,-0.431081775
98.645,-0.43101958
98.646,-0.430955813
98.647,-0.430892716
98.648,-0.43082732
98.649,-0.430763786
98.65,-0.430696906
98.651,-0.430630869
98.652,-0.430564687
98.653,-0.430495274
98.654,-0.430428219
98.655,-0.430358108
98.656,-0.430288404
98.657,-0.430218206
98.658,-0.430146581
98.659,-0.430074608
98.66,-0.430002721
98.661,-0.429929292
98.662,-0.429854612
98.663,-0.429780455
98.664,-0.429706211
98.665,-0.429629232
98.666,-0.429553795
98.667,-0.429476349
98.668,-0.429398526
98.669,-0.429319916
98.67,-0.429240434
98.671,-0.429161417
98.672,-0.429078587
98.673,-0.428998988
98.674,-0.428916246
98.675,-0.428835338
98.676,-0.428750238
98.677,-0.428665429
98.678,-0.428581523
98.679,-0.428496831
98.68,-0.428410276
98.681,-0.428323547
98.682,-0.428235886
98.683,-0.428147468
98.684,-0.428058847
98.685,-0.427968684
98.686,-0.427877239
98.687,-0.42778533
98.688,-0.427690364
98.689,-0.42759857
98.69,-0.427504536
98.691,-0.427410065
98.692,-0.427316991
98.693,-0.427221967
98.694,-0.427128311
98.695,-0.42703154
98.696,-0.426935585
98.697,-0.42683963
98.698,-0.42674315
98.699,-0.426645944
98.7,-0.426548417
98.701,-0.426450162
98.702,-0.426349317
98.703,-0.426248531
98.704,-0.426147133
98.705,-0.426045095
98.706,-0.425942679
98.707,-0.425839302
98.708,-0.425735634
98.709,-0.425631762
98.71,-0.425525068
98.711,-0.425421167
98.712,-0.425314007
98.713,-0.425208418
98.714,-0.425098784
98.715,-0.424991624
98.716,-0.424879137
98.717,-0.42476831
98.718,-0.424655824
98.719,-0.424542523
98.72,-0.424428348
98.721,-0.424315833
98.722,-0.424204249
98.723,-0.424091326
98.724,-0.423978025
98.725,-0.423865189
98.726,-0.423752848
98.727,-0.423637626
98.728,-0.423520105
98.729,-0.423400459
98.73,-0.423278485
98.731,-0.423153921
98.732,-0.423030026
98.733,-0.422907295
98.734,-0.422787591
98.735,-0.422665966
98.736,-0.422548677
98.737,-0.422429293
98.738,-0.422310288
98.739,-0.422188983
98.74,-0.422060577
98.741,-0.421933451
98.742,-0.421801029
98.743,-0.421669945
98.744,-0.421536883
98.745,-0.421407254
98.746,-0.421279896
98.747,-0.421153556
98.748,-0.421026489
98.749,-0.42089718
98.75,-0.420766679
98.751,-0.420633471
98.752,-0.42049514
98.753,-0.420359225
98.754,-0.420220458
98.755,-0.42008431
98.756,-0.419948366
98.757,-0.419811986
98.758,-0.419676624
98.759,-0.419542193
98.76,-0.41940721
98.761,-0.419267919
98.762,-0.419128366
98.763,-0.418984273
98.764,-0.418840005
98.765,-0.418694661
98.766,-0.418549433
98.767,-0.418402604
98.768,-0.418257114
98.769,-0.418109616
98.77,-0.417963194
98.771,-0.417815056
98.772,-0.417666801
98.773,-0.417516596
98.774,-0.417370524
98.775,-0.417220028
98.776,-0.417072763
98.777,-0.416922383
98.778,-0.416770781
98.779,-0.416620664
98.78,-0.416467868
98.781,-0.416317693
98.782,-0.416163617
98.783,-0.416012481
98.784,-0.415856397
98.785,-0.415703427
98.786,-0.415546529
98.787,-0.415390939
98.788,-0.415234972
98.789,-0.415079441
98.79,-0.414921902
98.791,-0.414763927
98.792,-0.414605543
98.793,-0.414446491
98.794,-0.414286333
98.795,-0.414126873
98.796,-0.413965259
98.797,-0.413803733
98.798,-0.413642265
98.799,-0.413476519
98.8,-0.413314759
98.801,-0.413149392
98.802,-0.412986381
