na, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
103.5,-2.512712963
103.501,-2.515394008
103.502,-2.518084133
103.503,-2.520754468
103.504,-2.523435745
103.505,-2.526092576
103.506,-2.528755926
103.507,-2.531430451
103.508,-2.534083789
103.509,-2.536729211
103.51,-2.539366717
103.511,-2.542012371
103.512,-2.544646617
103.513,-2.547271317
103.514,-2.549902536
103.515,-2.552520949
103.516,-2.555132378
103.517,-2.557747765
103.518,-2.560347086
103.519,-2.562944079
103.52,-2.565547358
103.521,-2.568150638
103.522,-2.57073692
103.523,-2.573319245
103.524,-2.575888764
103.525,-2.578455955
103.526,-2.581030363
103.527,-2.583592432
103.528,-2.586144255
103.529,-2.588697011
103.53,-2.591246273
103.531,-2.593778539
103.532,-2.596323146
103.533,-2.598850522
103.534,-2.601385349
103.535,-2.603920875
103.536,-2.606430789
103.537,-2.608947223
103.538,-2.611448523
103.539,-2.613950288
103.54,-2.616435057
103.541,-2.618931932
103.542,-2.621430671
103.543,-2.623905195
103.544,-2.626393456
103.545,-2.628857037
103.546,-2.631329931
103.547,-2.633783733
103.548,-2.636241727
103.549,-2.638729755
103.55,-2.641159575
103.551,-2.643607557
103.552,-2.646052977
103.553,-2.648465103
103.554,-2.650902141
103.555,-2.653322881
103.556,-2.655740594
103.557,-2.658147365
103.558,-2.66056601
103.559,-2.662962535
103.56,-2.665354637
103.561,-2.667749068
103.562,-2.6701428
103.563,-2.672535833
103.564,-2.674912568
103.565,-2.677281387
103.566,-2.679642756
103.567,-2.682009712
103.568,-2.684372012
103.569,-2.686709631
103.57,-2.689060289
103.571,-2.691400237
103.572,-2.693731571
103.573,-2.696058946
103.574,-2.698399825
103.575,-2.700722078
103.576,-2.703028731
103.577,-2.705364954
103.578,-2.707670676
103.579,-2.709961031
103.58,-2.712255111
103.581,-2.714552684
103.582,-2.716834191
103.583,-2.719102893
103.584,-2.721379278
103.585,-2.723652404
103.586,-2.725912258
103.587,-2.728179563
103.588,-2.730416134
103.589,-2.732671332
103.59,-2.734936075
103.591,-2.737186616
103.592,-2.739416901
103.593,-2.741647884
103.594,-2.743865363
103.595,-2.746070502
103.596,-2.748285653
103.597,-2.750508022
103.598,-2.75269011
103.599,-2.754899673
103.6,-2.75709061
103.601,-2.759265015
103.602,-2.761447104
103.603,-2.763611497
103.604,-2.765786834
103.605,-2.767972182
103.606,-2.770134015
103.607,-2.772297245
103.608,-2.77443626
103.609,-2.776585752
103.61,-2.778721973
103.611,-2.780852607
103.612,-2.782988129
103.613,-2.785093384
103.614,-2.787210513
103.615,-2.789322287
103.616,-2.791437786
103.617,-2.79353559
103.618,-2.795630367
103.619,-2.797743306
103.62,-2.799831098
103.621,-2.801914467
103.622,-2.803983865
103.623,-2.806056058
103.624,-2.808124293
103.625,-2.810173668
103.626,-2.812231425
103.627,-2.814277541
103.628,-2.816321095
103.629,-2.818347188
103.63,-2.820381429
103.631,-2.822412644
103.632,-2.824454103
103.633,-2.826464362
103.634,-2.828482771
103.635,-2.830484416
103.636,-2.832476515
103.637,-2.834474202
103.638,-2.836465603
103.639,-2.838448389
103.64,-2.840432571
103.641,-2.842393937
103.642,-2.844359027
103.643,-2.846324816
103.644,-2.848273376
103.645,-2.85021984
103.646,-2.85219308
103.647,-2.854132326
103.648,-2.856061328
103.649,-2.857989864
103.65,-2.859924221
103.651,-2.861829009
103.652,-2.863742178
103.653,-2.865646034
103.654,-2.867552219
103.655,-2.86944746
103.656,-2.871330595
103.657,-2.873224206
103.658,-2.87510315
103.659,-2.876973711
103.66,-2.878863597
103.661,-2.880717162
103.662,-2.882592613
103.663,-2.884420333
103.664,-2.886280417
103.665,-2.8881256
103.666,-2.88994913
103.667,-2.891776152
103.668,-2.893602708
103.669,-2.895414596
103.67,-2.897233702
103.671,-2.899042098
103.672,-2.900835127
103.673,-2.902633743
103.674,-2.904435853
103.675,-2.906219801
103.676,-2.907987917
103.677,-2.909760224
103.678,-2.911532298
103.679,-2.913289238
103.68,-2.915041521
103.681,-2.916798927
103.682,-2.918523503
103.683,-2.920267871
103.684,-2.921988955
103.685,-2.923707245
103.686,-2.925418317
103.687,-2.927124035
103.688,-2.928828355
103.689,-2.930514282
103.69,-2.932209754
103.691,-2.933891024
103.692,-2.935574623
103.693,-2.937269863
103.694,-2.9389509
103.695,-2.940627513
103.696,-2.942287596
103.697,-2.9439684
103.698,-2.945625922
103.699,-2.947282512
103.7,-2.948951907
103.701,-2.950599417
103.702,-2.952249488
103.703,-2.953881631
103.704,-2.95550283
103.705,-2.95712403
103.706,-2.958733821
103.707,-2.960345708
103.708,-2.961960854
103.709,-2.963562496
103.71,-2.965153195
103.711,-2.966739703
103.712,-2.968332963
103.713,-2.96990783
103.714,-2.971471986
103.715,-2.973034978
103.716,-2.974578179
103.717,-2.976112999
103.718,-2.977638505
103.719,-2.97916308
103.72,-2.980682766
103.721,-2.982202685
103.722,-2.983725397
103.723,-2.985261846
103.724,-2.986795502
103.725,-2.988333814
103.726,-2.989868866
103.727,-2.991380868
103.728,-2.992892871
103.729,-2.994360402
103.73,-2.995832823
103.731,-2.99726543
103.732,-2.998674987
103.733,-3.000094788
103.734,-3.001524601
103.735,-3.002976766
103.736,-3.004432656
103.737,-3.00589879
103.738,-3.007395426
103.739,-3.00885574
103.74,-3.01029277
103.741,-3.011696273
103.742,-3.013056004
103.743,-3.014407121
103.744,-3.015723312
103.745,-3.017056966
103.746,-3.018398536
103.747,-3.019762458
103.748,-3.021142678
103.749,-3.022527089
103.75,-3.0239427
103.751,-3.025351092
103.752,-3.026775317
103.753,-3.028194653
103.754,-3.029564628
103.755,-3.030918539
103.756,-3.032235196
103.757,-3.03353928
103.758,-3.034807043
103.759,-3.036057577
103.76,-3.037284827
103.761,-3.038505791
103.762,-3.039713716
103.763,-3.040940966
103.764,-3.042169614
103.765,-3.043415956
103.766,-3.044654848
103.767,-3.045892343
103.768,-3.047135891
103.769,-3.048368264
103.77,-3.049592488
103.771,-3.050833475
103.772,-3.052059561
103.773,-3.053280758
103.774,-3.054492176
103.775,-3.055705922
103.776,-3.056915244
103.777,-3.058119444
103.778,-3.059313633
103.779,-3.060502466
103.78,-3.061690601
103.781,-3.06289224
103.782,-3.064055694
103.783,-3.065243596
103.784,-3.066416364
103.785,-3.067573765
103.786,-3.068724647
103.787,-3.069879487
103.788,-3.071024548
103.789,-3.072165186
103.79,-3.073291853
103.791,-3.074424341
103.792,-3.075534711
103.793,-3.076651366
103.794,-3.077760339
103.795,-3.078862093
103.796,-3.079964081
103.797,-3.081049072
103.798,-3.082144773
103.799,-3.083234187
103.8,-3.084316151
103.801,-3.085375996
103.802,-3.086446319
