Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
99.2,-0.951088208
99.201,-0.951769354
99.202,-0.952443981
99.203,-0.953115348
99.20399,-0.953784271
99.20499,-0.954450865
99.20599,-0.955120544
99.207,-0.955794414
99.208,-0.956461066
99.209,-0.957131095
99.21,-0.957789423
99.211,-0.958451128
99.212,-0.959110737
99.213,-0.959770929
99.214,-0.960431586
99.215,-0.961082813
99.216,-0.961740792
99.217,-0.962396269
99.21799,-0.963048195
99.21899,-0.963701168
99.21999,-0.964344363
99.221,-0.965001178
99.222,-0.96564542
99.223,-0.9662956
99.224,-0.966941065
99.225,-0.967581407
99.226,-0.968224078
99.227,-0.968856912
99.228,-0.969496614
99.229,-0.970136141
99.23,-0.97077043
99.231,-0.971406349
99.23199,-0.972041918
99.23299,-0.972668058
99.23399,-0.973301765
99.235,-0.973935763
99.236,-0.97456068
99.237,-0.975188392
99.238,-0.975812029
99.239,-0.976437877
99.24,-0.977056799
99.241,-0.977680902
99.242,-0.978296157
99.243,-0.978914672
99.244,-0.97953144
99.245,-0.980144716
99.24599,-0.980760786
99.24699,-0.981375808
99.24799,-0.981986057
99.249,-0.982595375
99.25,-0.983203645
99.251,-0.98381436
99.252,-0.984416925
99.253,-0.985024031
99.254,-0.985626946
99.255,-0.986224855
99.256,-0.986826373
99.257,-0.987424632
99.258,-0.988019863
99.259,-0.988614047
99.25999,-0.989208347
99.26099,-0.9898016
99.26199,-0.990393106
99.263,-0.990989152
99.264,-0.991575886
99.265,-0.992163783
99.266,-0.992746907
99.267,-0.993330032
99.268,-0.993913505
99.269,-0.994494651
99.27,-0.995073467
99.271,-0.995656708
99.272,-0.996230287
99.27299,-0.996810966
99.27399,-0.997385243
99.27499,-0.997956027
99.27599,-0.998528441
99.277,-0.999100273
99.278,-0.999671407
99.279,-1.000237186
99.28,-1.000807271
99.281,-1.001367811
99.282,-1.001929981
99.283,-1.002494246
99.284,-1.003050711
99.285,-1.003613463
99.286,-1.004173304
99.28699,-1.004726044
99.28799,-1.005278551
99.28899,-1.005836297
99.28999,-1.006379607
99.291,-1.006937586
99.292,-1.007487532
99.293,-1.008036546
99.294,-1.008579042
99.295,-1.009123051
99.296,-1.009671832
99.297,-1.010208158
99.298,-1.010749023
99.299,-1.011285814
99.3,-1.011825982
99.30099,-1.012365683
99.30199,-1.012899564
99.30299,-1.01343391
99.30399,-1.013962436
99.305,-1.014497597
99.306,-1.015025424
99.307,-1.015551621
99.308,-1.016081776
99.309,-1.016602153
99.31,-1.017128932
99.311,-1.017653383
99.312,-1.018171315
99.313,-1.018691459
99.314,-1.019203803
99.31499,-1.019722084
99.31599,-1.020238502
99.31699,-1.020747353
99.31799,-1.021258999
99.319,-1.021774369
99.32,-1.022285083
99.321,-1.022789162
99.322,-1.023295918
99.323,-1.023805817
99.324,-1.024302794
99.325,-1.024805824
99.326,-1.025304548
99.327,-1.025802107
99.328,-1.02630083
99.32899,-1.026794082
99.32999,-1.027291059
99.33099,-1.027786871
99.332,-1.028279192
99.333,-1.028768136
99.334,-1.029259525
99.335,-1.029750099
99.336,-1.030230662
99.337,-1.030715415
99.338,-1.031201216
99.339,-1.031678403
99.34,-1.032161992
99.341,-1.032637898
99.342,-1.033115899
99.34299,-1.033591805
99.34399,-1.034062821
99.34499,-1.034534536
99.346,-1.035011024
99.347,-1.035484136
99.348,-1.035947469
99.349,-1.036416157
99.35,-1.03688403
99.351,-1.037346316
99.352,-1.03780895
99.353,-1.038268907
99.354,-1.038726419
99.355,-1.039183582
99.356,-1.039640163
99.35699,-1.040095347
99.35799,-1.040549949
99.35899,-1.041001524
99.36,-1.041454612
99.361,-1.041905605
99.362,-1.042352291
99.363,-1.042800024
99.364,-1.043242868
99.365,-1.043688506
99.366,-1.044127275
99.367,-1.044567325
99.368,-1.045006327
99.369,-1.045441488
99.37,-1.045878511
99.37099,-1.046308898
99.37199,-1.046743477
99.37299,-1.04717596
99.374,-1.04760949
99.375,-1.048036967
99.376,-1.048460021
99.377,-1.048887265
99.378,-1.049308921
99.379,-1.049732673
99.38,-1.050154679
99.381,-1.050572144
99.382,-1.050991006
99.383,-1.051402185
99.384,-1.051812898
99.38499,-1.052221982
99.38599,-1.052630018
99.38699,-1.053032698
99.388,-1.053443877
99.389,-1.053840737
99.39,-1.054241904
99.391,-1.054645749
99.392,-1.055046567
99.393,-1.055450295
99.394,-1.055850065
99.395,-1.056255191
99.396,-1.056652749
99.397,-1.057051937
99.39799,-1.057446818
99.39899,-1.057847519
99.39999,-1.058242167
99.40099,-1.058635651
99.402,-1.059032278
99.403,-1.059416216
99.404,-1.059809816
99.405,-1.060190611
99.406,-1.060575829
99.407,-1.060959301
99.408,-1.061336021
99.409,-1.061717863
99.41,-1.062100404
99.411,-1.062480267
99.41199,-1.062859199
99.41299,-1.063241856
99.41399,-1.063614385
99.41499,-1.063992851
99.416,-1.064369571
99.417,-1.064739772
99.418,-1.065104501
99.419,-1.065463293
99.42,-1.065819524
99.421,-1.066174475
99.422,-1.066524652
99.423,-1.066860394
99.424,-1.067205914
99.425,-1.067552133
99.42599,-1.067894395
99.42699,-1.068247831
99.42799,-1.068597543
99.42899,-1.068957848
99.43,-1.069317106
99.431,-1.069684862
99.432,-1.070059719
99.433,-1.070424682
99.434,-1.070775092
99.435,-1.071101753
99.436,-1.07143668
99.437,-1.071777777
99.438,-1.072124112
99.439,-1.072468353
99.43999,-1.072768238
99.44099,-1.073069405
99.44199,-1.073366031
99.44299,-1.073665451
99.444,-1.073980937
99.445,-1.074289321
99.446,-1.074610394
99.447,-1.074931584
99.448,-1.075259876
99.449,-1.075602137
99.45,-1.075934269
99.451,-1.076279907
99.452,-1.076631364
99.453,-1.076967106
99.45399,-1.077305758
99.45499,-1.077624271
99.45599,-1.077939058
99.457,-1.078246511
99.458,-1.078545349
99.459,-1.078836969
99.46,-1.079117181
99.461,-1.079394133
99.462,-1.079661422
99.463,-1.079929061
99.464,-1.080199843
99.465,-1.080467831
99.466,-1.080742222
99.467,-1.081013354
99.46799,-1.081288327
99.46899,-1.081562717
99.46999,-1.08183187
99.471,-1.082115108
99.472,-1.08238426
99.473,-1.082660398
99.474,-1.082943287
99.475,-1.083213836
99.476,-1.083489158
99.477,-1.083757379
99.478,-1.084031304
99.479,-1.084308606
99.48,-1.084576594
99.481,-1.084846561
99.48199,-1.08512037
99.48299,-1.085386612
99.48399,-1.085655647
99.485,-1.085921191
99.486,-1.086187549
99.487,-1.086453325
99.488,-1.086715609
99.489,-1.086978591
99.49,-1.08723517
99.491,-1.08749629
99.492,-1.087749493
99.493,-1.088011544
99.494,-1.088265679
99.495,-1.088517602
