Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]

*Time (s),Line A (mm/s²),Line B (°/s²)
98.7,-6.86646020039916,-.252476632595062
98.701,-6.86930678784847,-.252511262893677
98.702,-6.87213474884629,-.25254562497139
98.703,-6.87493989244103,-.252579241991043
98.70399,-6.87777437269688,-.25261265039444
98.70499,-6.88056508079171,-.252645373344421
98.70599,-6.88334088772535,-.252677291631699
98.707,-6.88616698607802,-.25270938873291
98.708,-6.88892602920532,-.252740740776062
98.709,-6.89166877418756,-.252770632505417
98.71,-6.8944189697504,-.252800494432449
98.711,-6.89718266949058,-.252829790115356
98.712,-6.89991377294064,-.252858549356461
98.713,-6.90264627337456,-.252886414527893
98.714,-6.90534943714738,-.252912998199463
98.715,-6.90805353224277,-.252939611673355
98.716,-6.91075110808015,-.252964824438095
98.717,-6.91345054656267,-.252989709377289
98.71799,-6.91613042727113,-.25301331281662
98.71899,-6.91878842189908,-.253035873174667
98.71999,-6.92146271467209,-.253058016300201
98.721,-6.92413561046124,-.253079146146774
98.722,-6.92677730694413,-.253099024295807
98.723,-6.9293943233788,-.253117442131042
98.724,-6.93203322589397,-.253135561943054
98.725,-6.93462882190943,-.253151774406433
98.726,-6.93725561723113,-.253167480230331
98.727,-6.93985866382718,-.253181844949722
98.728,-6.94242166355252,-.253194570541382
98.729,-6.94499630481005,-.253206372261047
98.73,-6.94758025929332,-.253217071294785
98.731,-6.95015816017985,-.25322699546814
98.73199,-6.95269368588924,-.253234595060349
98.73299,-6.95521524176002,-.253240585327148
98.73399,-6.95775309577584,-.253245830535889
98.735,-6.96029420942068,-.253249764442444
98.736,-6.96279527619481,-.253251731395721
98.737,-6.9652977399528,-.253252685070038
98.738,-6.96778343990445,-.253251403570175
98.739,-6.97030825540423,-.253249704837799
98.74,-6.9727567024529,-.253245264291763
98.741,-6.97524799033999,-.253239750862122
