Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]

*Time (s),Line A (mm/s²)
98.3,-9.53347771428525E-02
98.301,-9.53432099777274E-02
98.302,-9.53522248892114E-02
98.303,-9.53609269345179E-02
98.304,-9.53689814195968E-02
98.305,-9.53764174482785E-02
98.306,-.095384348242078
98.30701,-9.53922644839622E-02
98.30801,-9.53999333432876E-02
98.30901,-9.54054194153287E-02
98.31001,-9.54134666244499E-02
98.311,-9.54196075326763E-02
98.312,-9.54270508373156E-02
98.313,-9.54326096689329E-02
98.314,-9.54390779952519E-02
98.315,-9.54445713432506E-02
98.316,-9.54497663769871E-02
98.317,-9.54564311541617E-02
98.318,-9.54607021412812E-02
98.319,-9.54661300056614E-02
98.32,-9.54704592004418E-02
98.32101,-9.54749702941626E-02
98.32201,-9.54802890191786E-02
98.32301,-9.54834467847832E-02
98.32401,-9.54874558374286E-02
98.325,-9.54908246058039E-02
98.326,-9.54945862758905E-02
98.327,-9.54978677327745E-02
98.328,-.095501214673277
98.329,-9.55040013650432E-02
98.33,-9.55062132561579E-02
98.331,-9.55086943577044E-02
98.332,-9.55113428062759E-02
98.333,-9.55132927629165E-02
98.334,-9.55142604652792E-02
98.33501,-9.55155264819041E-02
98.33601,-9.55169889493845E-02
98.33701,-9.55180803430267E-02
98.33801,-9.55194191192277E-02
98.339,-9.55208888626657E-02
98.34,-9.55200885073282E-02
98.341,-9.55210853135213E-02
98.342,-9.55207287915982E-02
98.343,-9.55210853135213E-02
98.344,-9.55199138843454E-02
98.345,-.095519601018168
98.346,-9.55183786572888E-02
98.347,-9.55177383730188E-02
98.348,-9.55162977334112E-02
98.34901,-9.55147843342274E-02
98.35001,-9.55131545197219E-02
98.35101,-9.55112336669117E-02
98.35201,-9.55095383687876E-02
98.353,-9.55069408519194E-02
98.354,-.095504816272296
98.355,-9.55011710175313E-02
98.356,-9.54978095251136E-02
98.357,-.095495255663991
98.358,-9.54912029555999E-02
98.359,-9.54880379140377E-02
98.36,-9.54832721618004E-02
98.361,-9.54795395955443E-02
98.362,-9.54749484662898E-02
98.36301,-9.54706847551279E-02
98.36401,-9.54651841311716E-02
98.36501,-9.54603092395701E-02
98.366,-9.54546121647581E-02
98.367,-9.54499773797579E-02
98.368,-9.54440038185567E-02
98.369,-9.54387651290745E-02
98.37,-9.54316928982735E-02
98.371,-9.54254064708948E-02
98.372,-9.54190691118129E-02
98.373,-9.54124334384687E-02
98.374,-9.54047645791434E-02
98.375,-9.53976486925967E-02
98.376,-9.53900089371018E-02
98.37701,-9.53833878156729E-02
98.37801,-9.53747512539849E-02
98.37901,-9.53668059082702E-02
98.38,-9.53580820350908E-02
98.381,-9.53499038587324E-02
98.382,-9.53410271904431E-02
98.383,-.09533222328173
98.384,-9.53227499849163E-02
98.385,-9.53134367591701E-02
98.386,-9.53025446506217E-02
98.387,-9.52940245042555E-02
98.388,-9.52835762291215E-02
98.389,-9.52730551944114E-02
98.39,-.095261748356279
98.39101,-.095251489256043
98.39201,-9.52403570408933E-02
98.39301,-9.52294722083025E-02
98.394,-9.52181435422972E-02
98.395,-9.52058762777597E-02
98.396,-9.51933689066209E-02
98.397,-.095182353106793
98.398,-9.51690890360624E-02
98.399,-9.51574547798373E-02
98.4,-9.51432084548287E-02
