Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99.8,2.35E-03
99.801,2.36E-03
99.802,2.38E-03
99.803,2.39E-03
99.804,2.41E-03
99.805,2.42E-03
99.806,2.44E-03
99.80701,2.45E-03
99.80801,2.47E-03
99.80901,2.48E-03
99.81001,2.49E-03
99.811,2.51E-03
99.812,2.52E-03
99.813,2.54E-03
99.814,2.55E-03
99.815,2.57E-03
99.816,2.58E-03
99.817,2.59E-03
99.818,2.61E-03
99.819,2.62E-03
99.82,2.64E-03
99.82101,2.65E-03
99.82201,2.67E-03
99.82301,2.68E-03
99.82401,2.70E-03
99.825,2.71E-03
99.826,2.72E-03
99.827,2.74E-03
99.828,2.75E-03
99.829,2.77E-03
99.83,2.78E-03
99.831,2.80E-03
99.832,2.81E-03
99.833,2.82E-03
99.834,2.84E-03
99.83501,2.85E-03
99.83601,2.87E-03
99.83701,2.88E-03
99.83801,2.89E-03
99.839,2.91E-03
99.84,2.92E-03
99.841,2.94E-03
99.842,2.95E-03
99.843,2.97E-03
99.844,2.98E-03
99.845,2.99E-03
99.846,3.01E-03
99.847,3.02E-03
99.848,3.04E-03
99.84901,3.05E-03
99.85001,3.06E-03
99.85101,3.08E-03
99.85201,3.09E-03
99.853,3.11E-03
99.854,3.12E-03
99.855,3.13E-03
99.856,3.15E-03
99.857,3.16E-03
99.858,3.18E-03
99.859,3.19E-03
99.86,3.20E-03
99.861,3.22E-03
99.862,3.23E-03
99.86301,3.25E-03
99.86401,3.26E-03
99.86501,3.27E-03
99.866,3.29E-03
99.867,3.30E-03
99.868,3.32E-03
99.869,3.33E-03
99.87,3.34E-03
99.871,3.36E-03
99.872,3.37E-03
99.873,3.38E-03
99.874,3.40E-03
99.875,3.41E-03
99.876,3.43E-03
99.87701,3.44E-03
99.87801,3.45E-03
99.87901,3.47E-03
99.88,3.48E-03
99.881,3.49E-03
99.882,3.51E-03
99.883,3.52E-03
99.884,3.54E-03
99.885,3.55E-03
99.886,0.003562918
99.887,3.58E-03
99.888,3.59E-03
99.889,0.003603684
99.89,3.62E-03
99.89101,3.63E-03
99.89201,3.64E-03
99.89301,3.66E-03
99.894,3.67E-03
99.895,3.69E-03
99.896,3.70E-03
99.897,3.71E-03
99.898,3.73E-03
99.899,3.74E-03
99.9,3.75E-03
99.901,0.003766397
99.902,3.78E-03
99.903,3.79E-03
99.904,3.81E-03
99.90501,3.82E-03
99.90601,3.83E-03
99.90701,3.85E-03
99.908,3.86E-03
99.909,3.87E-03
99.91,3.89E-03
99.911,3.90E-03
99.912,3.91E-03
99.913,3.93E-03
99.914,3.94E-03
99.915,3.95E-03
99.916,3.97E-03
99.917,3.98E-03
99.918,3.99E-03
99.91901,4.01E-03
99.92001,4.02E-03
99.92101,4.03E-03
99.922,4.05E-03
99.923,4.06E-03
99.924,4.07E-03
99.925,4.09E-03
99.926,4.10E-03
99.927,4.11E-03
99.928,4.13E-03
99.929,4.14E-03
99.93,4.15E-03
99.931,4.17E-03
99.93201,4.18E-03
99.93301,4.19E-03
99.93401,4.21E-03
99.93501,4.22E-03
99.936,4.23E-03
99.937,4.25E-03
99.938,4.26E-03
99.939,4.27E-03
99.94,4.28E-03
99.941,4.30E-03
99.942,4.31E-03
99.943,4.32E-03
99.944,4.34E-03
99.945,4.35E-03
99.94601,4.36E-03
99.94701,4.38E-03
99.94801,4.39E-03
99.94901,4.40E-03
99.95,4.42E-03
99.951,4.43E-03
99.952,4.44E-03
99.953,4.45E-03
99.954,4.47E-03
99.955,4.48E-03
99.956,4.49E-03
99.957,4.51E-03
99.958,4.52E-03
99.959,4.53E-03
99.96001,4.55E-03
99.96101,4.56E-03
99.96201,4.57E-03
99.96301,4.59E-03
99.964,4.60E-03
99.965,4.61E-03
99.966,4.63E-03
99.967,0.00464051
99.968,0.004654034
99.969,4.67E-03
99.97,4.68E-03
99.971,4.70E-03
99.972,4.71E-03
99.973,4.72E-03
99.97401,4.74E-03
99.97501,4.75E-03
99.97601,4.77E-03
99.97701,4.79E-03
99.978,4.80E-03
99.979,4.82E-03
99.98,4.84E-03
99.981,4.86E-03
99.982,4.87E-03
99.983,4.71E-03
99.984,-1.86E-03
99.985,-4.48E-03
99.986,-4.73E-03
99.987,-4.81E-03
99.98801,-4.86E-03
99.98901,-4.89E-03
99.99001,-4.91E-03
99.991,-4.93E-03
99.992,-4.94E-03
99.993,-4.95E-03
99.994,-4.96E-03
99.995,-4.97E-03
99.996,-4.98E-03
99.997,-4.99E-03
99.998,-5.00E-03
99.999,-5.01E-03
100,-5.01E-03
100.001,-5.02E-03
100.00201,-5.02E-03
100.00301,-5.03E-03
100.00401,-5.04E-03
100.005,-5.05E-03
100.006,-5.06E-03
100.007,-5.07E-03
100.008,-5.08E-03
100.009,-5.09E-03
100.01,-5.11E-03
100.011,-5.12E-03
100.012,-5.14E-03
100.013,-5.15E-03
100.014,-5.17E-03
100.015,-5.19E-03
100.01601,-5.20E-03
100.01701,-5.22E-03
100.01801,-5.23E-03
100.019,-5.25E-03
100.02,-5.26E-03
100.021,-5.27E-03
100.022,-5.28E-03
100.023,-5.29E-03
100.024,-5.30E-03
100.025,-5.30E-03
100.026,-5.31E-03
100.027,-5.32E-03
100.028,-5.32E-03
100.029,-5.33E-03
100.03001,-5.34E-03
100.03101,-5.35E-03
100.03201,-5.36E-03
100.033,-5.37E-03
100.034,-5.38E-03
100.035,-5.40E-03
100.036,-5.41E-03
100.037,-5.42E-03
100.038,-5.44E-03
100.039,-5.46E-03
100.04,-5.47E-03
100.041,-5.47E-03
100.042,-5.48E-03
100.043,-5.49E-03
100.04401,-5.50E-03
100.04501,-5.51E-03
100.04601,-5.52E-03
100.047,-5.54E-03
100.048,-5.55E-03
100.049,-5.57E-03
100.05,-5.58E-03
100.051,-5.59E-03
100.052,-5.60E-03
100.053,-5.61E-03
100.054,-5.62E-03
100.055,-5.64E-03
100.056,-5.65E-03
100.05701,-5.67E-03
100.05801,-5.68E-03
100.05901,-5.70E-03
100.06001,-5.72E-03
