Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
103.1,2.69E-02,-3.86E-02,-2.840664936
103.101,2.69E-02,-3.83E-02,-2.840627218
103.102,2.70E-02,-3.80E-02,-2.840574831
103.103,2.70E-02,-3.77E-02,-2.840528497
103.104,2.70E-02,-3.74E-02,-2.840460977
103.105,2.70E-02,-3.71E-02,-2.840388101
103.106,0.027036915,-3.68E-02,-2.840301488
103.107,0.027057309,-3.65E-02,-2.84022023
103.108,2.71E-02,-3.62E-02,-2.840129426
103.109,2.71E-02,-3.59E-02,-2.840017434
103.11,2.71E-02,-0.035568493,-2.839892404
103.111,2.71E-02,-3.53E-02,-2.839782275
103.112,2.72E-02,-3.50E-02,-2.839657478
103.113,2.72E-02,-3.47E-02,-2.839519409
103.114,2.72E-02,-3.44E-02,-2.839375054
103.115,2.72E-02,-3.41E-02,-2.839207416
103.116,2.72E-02,-3.38E-02,-2.839040244
103.117,2.73E-02,-3.35E-02,-2.838857472
103.118,2.73E-02,-3.32E-02,-2.838685876
103.119,2.73E-02,-3.29E-02,-2.838509157
103.12,2.73E-02,-3.26E-02,-2.838304965
103.121,2.73E-02,-3.22E-02,-2.838105662
103.122,2.74E-02,-3.19E-02,-2.83789984
103.123,2.74E-02,-3.16E-02,-2.837681677
103.124,0.027390206,-3.13E-02,-2.837451175
103.125,2.74E-02,-3.10E-02,-2.837212523
103.126,2.74E-02,-3.07E-02,-2.836970147
103.127,2.74E-02,-3.04E-02,-2.836708678
103.128,2.75E-02,-3.01E-02,-2.836455591
103.129,2.75E-02,-2.98E-02,-2.836185507
103.13,2.75E-02,-2.95E-02,-2.835902153
103.131,2.75E-02,-2.92E-02,-2.835624851
103.132,2.75E-02,-0.028903396,-2.835335443
103.133,2.76E-02,-2.86E-02,-2.835036954
103.134,2.76E-02,-2.83E-02,-2.834723797
103.135,2.76E-02,-2.80E-02,-2.834388288
103.136,2.76E-02,-2.77E-02,-2.834074432
103.137,2.76E-02,-2.74E-02,-2.833725652
103.138,2.77E-02,-2.71E-02,-2.833398292
103.139,2.77E-02,-2.67E-02,-2.833043458
103.14,2.77E-02,-2.64E-02,-2.832683967
103.141,2.77E-02,-2.61E-02,-2.832322847
103.142,2.77E-02,-2.58E-02,-2.831935417
103.143,2.77E-02,-2.55E-02,-2.831558697
103.144,2.78E-02,-2.52E-02,-2.831167309
103.145,2.78E-02,-0.02488577,-2.830757294
103.146,0.027803823,-2.46E-02,-2.830339829
103.147,2.78E-02,-2.43E-02,-2.829928184
103.14799,2.78E-02,-0.023955023,-2.829510951
103.149,2.79E-02,-2.36E-02,-2.829078119
103.15,2.79E-02,-2.33E-02,-2.828642959
103.151,0.027895438,-2.30E-02,-2.82818405
103.152,2.79E-02,-2.27E-02,-2.827713732
103.153,2.79E-02,-2.24E-02,-2.82726204
103.154,2.79E-02,-2.21E-02,-2.826767974
103.155,0.027967719,-2.18E-02,-2.826303476
103.156,2.80E-02,-2.14E-02,-2.825805219
103.157,2.80E-02,-2.11E-02,-2.825319069
103.158,2.80E-02,-2.08E-02,-2.824807772
103.159,2.80E-02,-2.05E-02,-2.824299503
103.16,2.81E-02,-2.02E-02,-2.823768649
103.161,2.81E-02,-1.98E-02,-2.823236166
103.16199,2.81E-02,-1.95E-02,-2.822699025
103.163,2.81E-02,-1.92E-02,-2.822150476
103.164,2.81E-02,-1.89E-02,-2.821571892
103.165,2.81E-02,-0.018564597,-2.821033122
103.166,2.82E-02,-1.82E-02,-2.820448251
103.167,2.82E-02,-1.79E-02,-2.819879213
103.168,2.82E-02,-1.76E-02,-2.819289453
103.169,2.82E-02,-1.73E-02,-2.818685258
103.17,2.82E-02,-0.016941729,-2.818082459
103.171,2.83E-02,-1.66E-02,-2.817453584
103.172,2.83E-02,-1.63E-02,-2.816834953
103.173,2.83E-02,-1.60E-02,-2.816202817
103.174,2.83E-02,-1.56E-02,-2.815570449
103.175,2.83E-02,-1.53E-02,-2.814908978
103.17599,2.83E-02,-1.50E-02,-2.814268693
103.177,2.84E-02,-1.46E-02,-2.813587897
103.178,2.84E-02,-1.43E-02,-2.812921535
103.179,2.84E-02,-1.40E-02,-2.812239109
103.18,2.84E-02,-1.36E-02,-2.811555518
103.181,2.84E-02,-1.33E-02,-2.810852136
103.182,2.84E-02,-1.29E-02,-2.810158534
103.183,2.85E-02,-1.26E-02,-2.809454454
103.184,2.85E-02,-1.22E-02,-2.808724996
103.185,2.85E-02,-1.19E-02,-2.807997167
103.186,2.85E-02,-1.16E-02,-2.807258861
103.187,2.85E-02,-1.12E-02,-2.80651846
103.188,2.85E-02,-1.08E-02,-2.805763157
103.189,2.86E-02,-1.05E-02,-2.805002965
103.18999,2.86E-02,-1.01E-02,-2.804232063
103.191,2.86E-02,-9.77E-03,-2.803438809
103.192,2.86E-02,-9.41E-03,-2.802669071
103.193,2.86E-02,-9.04E-03,-2.801865339
103.194,2.86E-02,-8.67E-03,-2.801054856
103.195,2.87E-02,-8.30E-03,-2.800238552
103.196,2.87E-02,-7.93E-03,-2.799418289
103.197,2.87E-02,-7.55E-03,-2.798596397
103.198,2.87E-02,-7.17E-03,-2.797750756
103.199,2.87E-02,-6.78E-03,-2.796908841
103.2,2.87E-02,-6.39E-03,-2.796052257
103.201,2.88E-02,-6.00E-03,-2.795199631
103.202,2.88E-02,-5.60E-03,-2.794327214
103.203,2.88E-02,-5.20E-03,-2.793467138
103.20399,2.88E-02,-4.79E-03,-2.792564221
103.205,2.88E-02,-4.37E-03,-2.791670151
103.206,2.88E-02,-3.95E-03,-2.790763974
103.207,2.88E-02,-3.53E-03,-2.78985803
103.208,2.89E-02,-3.10E-03,-2.788930899
103.209,2.89E-02,-2.66E-03,-2.788005397
103.21,2.89E-02,-2.22E-03,-2.787080361
103.211,2.89E-02,-1.77E-03,-2.78613274
103.212,2.89E-02,-1.31E-03,-2.78518023
103.213,2.89E-02,-8.49E-04,-2.784222132
103.214,2.90E-02,-3.74E-04,-2.783253323
103.215,0.028972752,1.08E-04,-2.782268915
103.216,2.90E-02,5.99E-04,-2.781283576
103.217,2.90E-02,1.10E-03,-2.780291252
103.21799,2.90E-02,1.61E-03,-2.779292408
103.219,0.029034324,2.13E-03,-2.778291702
103.22,2.90E-02,2.66E-03,-2.777263755
103.221,2.91E-02,3.20E-03,-2.776247682
103.222,2.91E-02,3.76E-03,-2.775204601
103.223,2.91E-02,4.33E-03,-2.774167107
103.224,2.91E-02,4.91E-03,-2.773111919
103.225,0.029125053,5.51E-03,-2.772050677
103.226,2.91E-02,6.12E-03,-2.770981984
103.227,2.92E-02,6.74E-03,-2.769895829
103.228,2.92E-02,7.38E-03,-2.768823411
103.229,2.92E-02,8.05E-03,-2.76771374
103.23,2.92E-02,8.72E-03,-2.766611753
103.231,0.02921376,9.42E-03,-2.765495563
103.232,0.029228687,1.01E-02,-2.764387522
103.233,2.92E-02,0.010874053,-2.763247117
103.234,2.93E-02,1.16E-02,-2.762114396
103.235,2.93E-02,1.24E-02,-2.760969335
103.236,2.93E-02,0.013229275,-2.759821247
103.237,0.029300969,1.41E-02,-2.758664778
103.238,2.93E-02,1.49E-02,-2.757490613
103.239,2.93E-02,1.58E-02,-2.756307833
103.24,2.93E-02,1.67E-02,-2.755122026
103.241,2.94E-02,1.77E-02,-2.753929235
103.242,2.94E-02,1.87E-02,-2.752721077
103.243,2.94E-02,0.019727117,-2.751496388
103.244,2.94E-02,2.08E-02,-2.750277985
103.245,2.94E-02,2.19E-02,-2.749042353
103.246,2.94E-02,2.31E-02,-2.747779479
103.247,2.94E-02,2.43E-02,-2.746520564
103.248,2.95E-02,2.55E-02,-2.745256759
103.249,2.95E-02,2.68E-02,-2.743981779
103.25,2.95E-02,2.82E-02,-2.742697718
103.251,2.95E-02,2.97E-02,-2.74140574
103.252,2.95E-02,0.031161806,-2.740108175
103.253,2.95E-02,3.27E-02,-2.738800133
103.254,2.95E-02,3.44E-02,-2.737456001
