Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.9,-3.60E-03
103.901,-3.60E-03
103.902,-3.61E-03
103.903,-3.61E-03
103.904,-3.62E-03
103.905,-3.62E-03
103.906,-3.63E-03
103.90701,-3.63E-03
103.908,-3.64E-03
103.909,-3.64E-03
103.91,-3.64E-03
103.911,-3.65E-03
103.912,-3.65E-03
103.913,-3.66E-03
103.914,-3.66E-03
103.915,-3.66E-03
103.916,-3.67E-03
103.917,-3.67E-03
103.918,-3.68E-03
103.919,-3.68E-03
103.92,-3.69E-03
103.92101,-3.69E-03
103.922,-3.69E-03
103.923,-3.70E-03
103.924,-3.70E-03
103.925,-3.71E-03
103.926,-3.71E-03
103.927,-3.71E-03
103.928,-3.72E-03
103.929,-3.72E-03
103.93,-3.73E-03
103.931,-3.73E-03
103.932,-3.74E-03
103.933,-3.74E-03
103.934,-3.74E-03
103.93501,-3.75E-03
103.936,-3.75E-03
103.937,-3.76E-03
103.938,-3.76E-03
103.939,-3.76E-03
103.94,-3.77E-03
103.941,-3.77E-03
103.942,-3.78E-03
103.943,-3.78E-03
103.944,-3.78E-03
103.945,-3.79E-03
103.946,-3.79E-03
103.947,-3.79E-03
103.948,-3.80E-03
103.94901,-3.80E-03
103.95,-3.81E-03
103.951,-3.81E-03
103.952,-3.81E-03
103.953,-3.82E-03
103.954,-3.82E-03
103.955,-3.83E-03
103.956,-3.83E-03
103.957,-3.83E-03
103.958,-3.84E-03
103.959,-3.84E-03
103.96,-3.84E-03
103.961,-3.85E-03
103.962,-3.85E-03
103.96301,-3.85E-03
103.964,-3.86E-03
103.965,-3.86E-03
103.966,-3.87E-03
103.967,-3.87E-03
103.968,-3.87E-03
103.969,-0.003875419
103.97,-3.88E-03
103.971,-3.88E-03
103.972,-3.89E-03
103.973,-3.89E-03
103.974,-3.89E-03
103.975,-3.90E-03
103.976,-3.90E-03
103.97701,-3.90E-03
103.978,-3.90E-03
103.979,-3.91E-03
103.98,-3.91E-03
103.981,-3.91E-03
103.982,-3.92E-03
103.983,-3.92E-03
103.984,-3.92E-03
103.985,-3.93E-03
103.986,-3.93E-03
103.987,-3.93E-03
103.988,-3.93E-03
103.989,-3.94E-03
103.99,-3.94E-03
103.991,-3.94E-03
103.992,-3.94E-03
103.993,-3.94E-03
103.994,-3.95E-03
103.995,-3.95E-03
103.996,-3.95E-03
103.997,-3.95E-03
103.998,-3.95E-03
103.999,-3.96E-03
104,-3.96E-03
104.001,-3.96E-03
104.002,-3.96E-03
104.003,-3.96E-03
104.004,-3.96E-03
104.005,-3.96E-03
104.006,-3.96E-03
104.007,-3.96E-03
104.008,-3.96E-03
104.009,-3.96E-03
104.01,-3.96E-03
104.011,-3.96E-03
104.012,-3.96E-03
104.013,-3.96E-03
104.014,-3.96E-03
104.015,-3.96E-03
104.016,-3.96E-03
104.017,-3.96E-03
104.018,-3.96E-03
104.019,-3.95E-03
104.02,-3.95E-03
104.021,-3.95E-03
104.022,-3.94E-03
104.023,-3.94E-03
104.024,-3.94E-03
104.025,-3.93E-03
104.026,-3.93E-03
104.027,-3.92E-03
104.028,-3.91E-03
104.029,-3.91E-03
104.03,-3.90E-03
104.031,-3.89E-03
104.03201,-3.89E-03
104.033,-3.88E-03
104.034,-3.87E-03
104.035,-3.86E-03
104.036,-3.85E-03
104.037,-3.84E-03
104.038,-3.82E-03
104.039,-3.81E-03
104.04,-3.80E-03
104.041,-3.78E-03
104.042,-3.77E-03
104.043,-3.75E-03
104.044,-3.73E-03
104.045,-3.71E-03
104.04601,-3.69E-03
104.047,-3.67E-03
104.048,-3.64E-03
104.049,-3.62E-03
104.05,-3.59E-03
104.051,-3.56E-03
104.052,-3.53E-03
104.053,-3.50E-03
104.054,-3.46E-03
104.055,-3.42E-03
104.056,-3.38E-03
104.057,-3.34E-03
104.058,-3.29E-03
104.059,-3.24E-03
104.06001,-3.19E-03
104.061,-3.13E-03
104.062,-3.06E-03
104.063,-2.99E-03
104.064,-2.91E-03
104.065,-2.82E-03
104.066,-2.73E-03
104.067,-2.62E-03
104.068,-2.50E-03
104.069,-2.36E-03
104.07,-2.21E-03
104.071,-2.03E-03
104.072,-1.82E-03
104.073,-1.58E-03
104.07401,-1.29E-03
104.075,-9.32E-04
104.076,-4.85E-04
104.077,9.36E-05
104.078,8.75E-04
104.079,1.99E-03
104.08,3.73E-03
104.081,6.84E-03
104.082,1.40E-02
104.083,4.42E-02
104.084,3.98E-02
104.085,1.75E-02
104.086,1.09E-02
104.087,7.51E-03
104.08801,5.37E-03
104.089,4.13E-03
104.09,0.003449738
104.091,3.12E-03
104.092,3.01E-03
104.093,3.07E-03
104.094,3.25E-03
104.095,3.52E-03
104.096,3.86E-03
104.097,0.004267952
104.098,4.72E-03
104.099,5.21E-03
104.1,5.75E-03
104.101,6.28E-03
104.10201,6.71E-03
104.103,7.02E-03
104.104,7.23E-03
104.105,7.35E-03
104.106,7.39E-03
104.107,7.37E-03
104.108,7.28E-03
104.109,7.14E-03
104.11,6.96E-03
104.111,6.72E-03
104.112,6.46E-03
104.113,6.17E-03
104.114,5.91E-03
104.115,5.70E-03
104.116,5.55E-03
104.117,5.46E-03
104.118,5.43E-03
104.119,5.44E-03
104.12,5.48E-03
104.121,5.57E-03
104.122,5.68E-03
104.123,5.81E-03
104.124,5.95E-03
104.125,6.05E-03
104.126,6.12E-03
104.127,6.16E-03
104.128,6.17E-03
104.129,6.17E-03
104.13,6.17E-03
104.131,6.16E-03
104.132,6.16E-03
104.133,6.17E-03
104.134,6.19E-03
104.135,6.22E-03
104.136,6.24E-03
104.137,6.24E-03
104.138,6.22E-03
104.139,6.16E-03
104.14,6.07E-03
104.141,5.94E-03
104.142,5.81E-03
104.143,5.71E-03
104.144,5.64E-03
104.145,5.61E-03
104.146,5.62E-03
104.147,5.69E-03
104.148,5.82E-03
104.149,6.03E-03
104.15,6.31E-03
104.151,6.68E-03
104.152,0.007052441
104.153,7.40E-03
104.154,7.71E-03
104.155,8.00E-03
104.156,8.25E-03
104.15701,8.46E-03
104.158,8.61E-03
104.159,8.67E-03
104.16,8.57E-03
104.161,8.09E-03
104.162,6.16E-03
104.163,-6.64E-02
104.164,-1.28E-02
104.165,-1.07E-02
104.166,-9.94E-03
104.167,-9.54E-03
104.168,-9.28E-03
104.169,-9.09E-03
104.17,-8.94E-03
104.17101,-8.82E-03
104.172,-8.72E-03
104.173,-8.64E-03
104.174,-8.56E-03
104.175,-8.50E-03
104.176,-8.43E-03
104.177,-8.38E-03
104.178,-8.33E-03
104.179,-8.28E-03
104.18,-8.23E-03
104.181,-8.19E-03
104.182,-8.15E-03
104.183,-8.12E-03
104.184,-8.08E-03
104.18501,-8.05E-03
104.186,-8.02E-03
104.187,-7.99E-03
104.188,-7.96E-03
104.189,-7.93E-03
104.19,-7.90E-03
104.191,-7.88E-03
104.192,-7.86E-03
104.193,-7.83E-03
104.194,-7.81E-03
104.195,-7.79E-03
104.196,-7.76E-03
104.197,-7.74E-03
104.198,-7.71E-03
104.19901,-7.68E-03
104.2,-7.65E-03
104.201,-7.62E-03
104.202,-7.58E-03
104.203,-7.54E-03
104.204,-7.50E-03
104.205,-7.44E-03
104.206,-7.39E-03
104.207,-7.32E-03
104.208,-7.24E-03
104.209,-7.15E-03
104.21,-7.05E-03
104.211,-6.93E-03
104.212,-6.80E-03
104.21301,-6.64E-03
104.214,-6.46E-03
104.215,-6.25E-03
104.216,-6.00E-03
104.217,-5.70E-03
104.218,-5.34E-03
104.219,-4.88E-03
104.22,-4.30E-03
104.221,-3.51E-03
104.222,-2.41E-03
104.223,-7.30E-04
104.224,2.20E-03
104.225,0.008664945
104.226,3.27E-02
104.22701,4.07E-02
104.228,2.00E-02
104.229,1.38E-02
104.23,1.09E-02
104.231,9.29E-03
104.232,8.24E-03
104.233,7.54E-03
104.234,7.04E-03
104.235,6.69E-03
104.236,6.45E-03
104.237,6.29E-03
104.238,6.20E-03
