Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99.2,-4.41E-03
99.201,-4.42E-03
99.202,-4.43E-03
99.203,-4.44E-03
99.20399,-4.45E-03
99.20499,-4.47E-03
99.20599,-4.48E-03
99.207,-4.49E-03
99.208,-4.50E-03
99.209,-4.51E-03
99.21,-4.52E-03
99.211,-4.53E-03
99.212,-4.55E-03
99.213,-4.56E-03
99.214,-4.57E-03
99.215,-4.58E-03
99.216,-4.59E-03
99.217,-4.60E-03
99.21799,-4.61E-03
99.21899,-4.63E-03
99.21999,-4.64E-03
99.221,-4.65E-03
99.222,-4.66E-03
99.223,-4.67E-03
99.224,-4.68E-03
99.225,-4.69E-03
99.226,-4.71E-03
99.227,-4.72E-03
99.228,-4.73E-03
99.229,-4.74E-03
99.23,-4.75E-03
99.231,-4.76E-03
99.23199,-4.77E-03
99.23299,-4.78E-03
99.23399,-4.80E-03
99.235,-4.81E-03
99.236,-4.82E-03
99.237,-4.83E-03
99.238,-4.84E-03
99.239,-4.85E-03
99.24,-4.86E-03
99.241,-4.88E-03
99.242,-4.89E-03
99.243,-4.90E-03
99.244,-4.91E-03
99.245,-4.92E-03
99.24599,-4.93E-03
99.24699,-4.94E-03
99.24799,-4.95E-03
99.249,-4.97E-03
99.25,-4.98E-03
99.251,-4.99E-03
99.252,-5.00E-03
99.253,-5.01E-03
99.254,-5.02E-03
99.255,-0.005032854
99.256,-5.04E-03
99.257,-5.06E-03
99.258,-5.07E-03
99.259,-5.08E-03
99.25999,-5.09E-03
99.26099,-5.10E-03
99.26199,-5.11E-03
99.263,-5.12E-03
99.264,-5.13E-03
99.265,-5.14E-03
99.266,-5.16E-03
99.267,-5.17E-03
99.268,-5.18E-03
99.269,-5.19E-03
99.27,-5.20E-03
99.271,-5.21E-03
99.272,-5.22E-03
99.27299,-5.23E-03
99.27399,-5.24E-03
99.27499,-5.25E-03
99.27599,-5.26E-03
99.277,-5.28E-03
99.278,-5.29E-03
99.279,-5.30E-03
99.28,-5.31E-03
99.281,-5.32E-03
99.282,-5.33E-03
99.283,-5.34E-03
99.284,-5.35E-03
99.285,-5.36E-03
99.286,-5.37E-03
99.28699,-5.38E-03
99.28799,-5.39E-03
99.28899,-5.40E-03
99.28999,-5.41E-03
99.291,-5.42E-03
99.292,-5.43E-03
99.293,-5.44E-03
99.294,-5.45E-03
99.295,-5.46E-03
99.296,-5.47E-03
99.297,-5.48E-03
99.298,-5.49E-03
99.299,-5.50E-03
99.3,-5.51E-03
99.30099,-5.52E-03
99.30199,-5.53E-03
99.30299,-5.54E-03
99.30399,-5.55E-03
99.305,-5.56E-03
99.306,-5.57E-03
99.307,-5.58E-03
99.308,-5.58E-03
99.309,-5.59E-03
99.31,-5.60E-03
99.311,-5.61E-03
99.312,-5.62E-03
99.313,-5.62E-03
99.314,-5.63E-03
99.31499,-5.64E-03
99.31599,-5.65E-03
99.31699,-5.65E-03
99.31799,-5.66E-03
99.319,-5.67E-03
99.32,-5.67E-03
99.321,-5.68E-03
99.322,-5.69E-03
99.323,-5.69E-03
99.324,-5.70E-03
99.325,-5.70E-03
99.326,-5.71E-03
99.327,-5.71E-03
99.328,-5.71E-03
99.32899,-5.72E-03
99.32999,-5.72E-03
99.33099,-5.72E-03
99.332,-5.72E-03
99.333,-5.72E-03
99.334,-5.73E-03
99.335,-5.73E-03
99.336,-5.73E-03
99.337,-5.72E-03
99.338,-5.72E-03
99.339,-5.72E-03
99.34,-5.72E-03
99.341,-5.71E-03
99.342,-5.71E-03
99.34299,-5.70E-03
99.34399,-5.70E-03
99.34499,-5.69E-03
99.346,-5.68E-03
99.347,-5.67E-03
99.348,-5.66E-03
99.349,-5.65E-03
99.35,-5.63E-03
99.351,-5.62E-03
99.352,-5.60E-03
99.353,-5.58E-03
99.354,-5.56E-03
99.355,-5.54E-03
99.356,-5.51E-03
99.35699,-5.49E-03
99.35799,-5.45E-03
99.35899,-5.42E-03
99.36,-5.38E-03
99.361,-5.34E-03
99.362,-5.30E-03
99.363,-5.24E-03
99.364,-0.005186568
99.365,-5.12E-03
99.366,-5.05E-03
99.367,-4.97E-03
99.368,-4.88E-03
99.369,-4.77E-03
99.37,-4.65E-03
99.37099,-4.51E-03
99.37199,-4.34E-03
99.37299,-4.15E-03
99.374,-3.91E-03
99.375,-3.62E-03
99.376,-3.25E-03
99.377,-2.76E-03
99.378,-2.10E-03
99.379,-1.15E-03
99.38,3.59E-04
99.381,3.10E-03
99.382,9.66E-03
99.383,4.01E-02
99.384,0.032882597
99.38499,1.68E-02
99.38599,1.17E-02
99.38699,9.01E-03
99.388,7.28E-03
99.389,6.27E-03
99.39,5.72E-03
99.391,5.46E-03
99.392,5.39E-03
99.393,5.45E-03
99.394,5.61E-03
99.395,5.85E-03
99.396,6.15E-03
99.397,6.51E-03
99.39799,6.90E-03
99.39899,7.33E-03
99.39999,7.80E-03
99.40099,8.26E-03
99.402,8.64E-03
99.403,8.91E-03
99.404,9.11E-03
99.405,9.22E-03
99.406,9.27E-03
99.407,9.26E-03
99.408,9.20E-03
99.409,9.09E-03
99.41,8.94E-03
99.411,8.76E-03
99.41199,8.53E-03
99.41299,8.30E-03
99.41399,8.11E-03
99.41499,7.98E-03
99.416,7.90E-03
99.417,7.87E-03
99.418,7.88E-03
99.419,7.93E-03
99.42,8.01E-03
99.421,8.12E-03
99.422,8.26E-03
99.423,8.40E-03
99.424,8.51E-03
99.425,8.59E-03
99.42599,8.64E-03
99.42699,8.66E-03
99.42799,8.67E-03
99.42899,8.67E-03
99.43,8.66E-03
99.431,8.65E-03
99.432,8.64E-03
99.433,8.66E-03
99.434,8.68E-03
99.435,8.71E-03
99.436,8.73E-03
99.437,8.75E-03
99.438,8.74E-03
99.439,8.71E-03
99.43999,8.65E-03
99.44099,8.56E-03
99.44199,8.45E-03
99.44299,8.34E-03
99.444,8.25E-03
99.445,0.008196747
99.446,8.17E-03
99.447,8.19E-03
99.448,8.25E-03
99.449,8.37E-03
99.45,8.55E-03
99.451,8.82E-03
99.452,9.16E-03
99.453,9.50E-03
99.45399,9.84E-03
99.45499,1.02E-02
99.45599,1.05E-02
99.457,1.07E-02
99.458,0.010989704
99.459,0.011212551
99.46,1.14E-02
99.461,1.14E-02
99.462,1.10E-02
99.463,-2.18E-02
99.464,-1.31E-02
99.465,-1.26E-02
99.466,-1.24E-02
99.467,-1.23E-02
99.46799,-1.22E-02
99.46899,-1.22E-02
99.46999,-1.21E-02
99.471,-1.21E-02
99.472,-1.21E-02
99.473,-1.21E-02
99.474,-1.20E-02
99.475,-1.20E-02
99.476,-1.20E-02
99.477,-1.20E-02
99.478,-1.20E-02
99.479,-1.20E-02
99.48,-1.19E-02
99.481,-0.011927712
99.48199,-1.19E-02
99.48299,-1.19E-02
99.48399,-1.19E-02
99.485,-1.19E-02
99.486,-1.19E-02
99.487,-1.19E-02
99.488,-1.19E-02
99.489,-1.19E-02
99.49,-1.18E-02
99.491,-1.18E-02
99.492,-1.18E-02
99.493,-1.18E-02
99.494,-1.18E-02
99.495,-0.011808893
99.49599,-1.18E-02
99.49699,-0.011789633
99.49799,-1.18E-02
99.499,-1.18E-02
99.5,-0.011747227
99.501,-1.17E-02
99.502,-1.17E-02
99.503,-1.17E-02
99.504,-1.16E-02
99.505,-1.16E-02
99.506,-0.011556402
99.507,-1.15E-02
99.508,-1.14E-02
99.509,-1.14E-02
99.50999,-1.13E-02
99.51099,-1.12E-02
99.51199,-1.10E-02
99.513,-1.09E-02
99.514,-0.010731722
99.515,-1.05E-02
99.516,-1.03E-02
99.517,-9.98E-03
99.518,-9.60E-03
99.519,-9.12E-03
99.52,-8.47E-03
99.521,-7.54E-03
99.522,-6.12E-03
99.52299,-3.62E-03
99.52399,2.05E-03
99.52499,2.60E-02
99.52599,3.87E-02
99.527,2.16E-02
99.528,1.66E-02
99.529,1.43E-02
99.53,1.30E-02
99.531,1.22E-02
99.532,1.17E-02
99.533,1.13E-02
