Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.3,0.121987551
103.301,0.122017421
103.302,0.122046627
103.303,0.12207596
103.304,0.122104511
103.305,0.122133359
103.306,0.122160897
103.30701,0.12218827
103.30801,0.12221574
103.30901,0.122242406
103.31001,0.122269489
103.311,0.122295178
103.312,0.122321323
103.313,0.122346535
103.314,0.122371458
103.315,0.122396648
103.316,0.122420721
103.317,0.122444324
103.318,0.122468121
103.319,0.122491255
103.32,0.12251436
103.32101,0.122536182
103.32201,0.12255834
103.32301,0.122580312
103.32401,0.122601241
103.325,0.122622028
103.326,0.122642197
103.327,0.12266238
103.328,0.122682139
103.329,0.122701518
103.33,0.122720666
103.331,0.122739464
103.332,0.122757338
103.333,0.12277557
103.334,0.12279281
103.33501,0.122810088
103.33601,0.122826748
103.33701,0.122843325
103.33801,0.122858979
103.339,0.122875035
103.34,0.122890122
103.341,0.122905001
103.342,0.122919567
103.343,0.122933589
103.344,0.122947171
103.345,0.122960269
103.346,0.122973166
103.347,0.12298587
103.348,0.122997902
103.34901,0.123010628
103.35001,0.123021714
103.35101,0.123032883
103.35201,0.123043701
103.353,0.123053558
103.354,0.123063572
103.355,0.123072729
103.356,0.123082034
103.357,0.123090699
103.358,0.123099327
103.359,0.123107396
103.36,0.123115562
103.361,0.123122603
103.362,0.123129584
103.36301,0.12313588
103.36401,0.123142146
103.36501,0.123147875
103.366,0.12315321
103.367,0.12315809
103.368,0.12316329
103.369,0.123167671
103.37,0.123171113
103.371,0.123174489
103.372,0.123177461
103.373,0.123180181
103.374,0.123182863
103.375,0.123184785
103.376,0.123186678
103.37701,0.123188078
103.37801,0.123188704
103.37901,0.123189144
103.38,0.123188987
103.381,0.123188786
103.382,0.123187892
103.383,0.123187602
103.384,0.123185664
103.385,0.123184316
103.386,0.123182207
103.387,0.123179913
103.388,0.123176672
103.389,0.123173393
103.39,0.123169787
103.39101,0.123166025
103.39201,0.123161532
103.39301,0.123157144
103.394,0.123152129
103.395,0.123146921
103.396,0.123140372
103.397,0.123133957
103.398,0.123127498
103.399,0.123120643
103.4,0.123113431
103.401,0.123105854
103.402,0.123097472
103.403,0.123089574
103.404,0.123080514
103.40501,0.12307135
103.40601,0.123061731
103.40701,0.123052195
103.408,0.123042151
103.409,0.123031102
103.41,0.123020656
103.411,0.123008877
103.412,0.122997366
103.413,0.122985765
103.414,0.122973233
103.415,0.122960865
103.416,0.122947849
103.417,0.122933388
103.418,0.122919939
103.41901,0.122905776
103.42001,0.122891434
103.42101,0.122876495
103.422,0.122861564
103.423,0.122846
103.424,0.122830413
103.425,0.122814432
103.426,0.122797959
103.427,0.122781083
103.428,0.122764103
103.429,0.122746691
103.43,0.122729041
103.431,0.122711197
103.43201,0.12269228
103.43301,0.122673504
103.43401,0.122654378
103.43501,0.122634687
103.436,0.122614741
103.437,0.122595184
103.438,0.122574694
103.439,0.122554816
103.44,0.122533932
103.441,0.122512661
103.442,0.12249165
103.443,0.122470066
103.444,0.12244834
103.445,0.122426257
103.44601,0.122403555
103.44701,0.122381382
103.44801,0.122358315
103.44901,0.122335643
103.45,0.122311704
103.451,0.122288123
103.452,0.122263886
103.453,0.122240029
103.454,0.122216016
103.455,0.12219198
103.456,0.122167245
103.457,0.122142971
103.458,0.122118518
103.459,0.122093745
103.46001,0.122069076
103.46101,0.122044839
103.46201,0.122020081
103.46301,0.12199533
103.464,0.121971413
103.465,0.121947117
103.466,0.121923484
103.467,0.121899791
103.468,0.12187662
103.469,0.121854149
103.47,0.1218317
103.471,0.121810302
103.472,0.121790521
103.473,0.121771283
103.47401,0.121754102
103.47501,0.121737041
103.47601,0.121721819
103.47701,0.12170586
103.478,0.121687077
103.479,0.121655464
103.48,0.121583983
103.481,0.121369317
103.482,0.120475665
103.483,0.112743989
103.484,-6.80E-02
103.485,-0.115327038
103.486,-0.119140327
103.487,-0.120201513
103.48801,-0.120628677
103.48901,-0.120789602
103.49001,-0.120838083
103.491,-0.120835118
103.492,-0.120803826
103.493,-0.120755732
103.494,-0.120693482
103.495,-0.120620623
103.496,-0.120536275
103.497,-0.120442063
103.498,-0.120336972
103.499,-0.120220259
103.5,-0.120096028
103.501,-0.119984455
103.50201,-0.119889989
103.50301,-0.119813234
103.50401,-0.119750842
103.505,-0.119703896
103.506,-0.119669572
103.507,-0.119647264
103.508,-0.119634472
103.509,-0.119630352
103.51,-0.11962983
103.511,-0.119624563
103.512,-0.119608246
103.513,-0.119579054
103.514,-0.119538307
103.515,-0.119486384
103.51601,-0.119423248
103.51701,-0.119349726
103.51801,-0.11926648
103.519,-0.11917536
103.52,-0.119092181
103.521,-0.119019158
103.522,-0.118957311
103.523,-0.118904524
103.524,-0.118862033
103.525,-0.118829727
103.526,-0.118802644
103.527,-0.118767336
103.528,-0.118720427
103.529,-0.118662238
103.53001,-0.118592761
103.53101,-0.118513122
103.53201,-0.118427597
103.533,-0.11834766
103.534,-0.118278347
103.535,-0.118216552
103.536,-0.118163675
103.537,-0.118117727
103.538,-0.118075334
103.539,-0.118025415
103.54,-0.117966704
103.541,-0.117901221
103.542,-0.117829584
103.543,-0.117754973
103.54401,-0.117684014
103.54501,-0.117617182
103.54601,-0.1175524
103.547,-0.117488123
103.548,-0.117421575
103.549,-0.117351852
103.55,-0.117278591
103.551,-0.117207289
103.552,-0.117138788
103.553,-0.11707665
103.554,-0.117022596
103.555,-0.116972543
103.556,-0.116922498
103.55701,-0.116872437
103.55801,-0.116819806
103.55901,-0.116760135
103.56001,-0.116680793
103.561,-0.116550565
103.562,-0.116243578
103.563,-0.114385769
103.564,0.116991058
103.565,0.116737768
103.566,0.116563648
103.567,0.116440438
103.568,0.116339065
103.569,0.116248474
103.57,0.116164327
103.57101,0.116082668
103.57201,0.116004586
103.57301,0.115927629
103.57401,0.115852177
103.575,0.115776613
103.576,0.115702756
103.577,0.11562822
103.578,0.115554862
103.579,0.115480848
103.58,0.115407482
103.581,0.115333758
103.582,0.115260534
103.583,0.11518655
103.584,0.115113087
