Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.6,0.265684366
103.601,0.26568976
103.602,0.265690446
103.603,0.26569435
103.604,0.265692562
103.605,0.265695035
103.606,0.265693992
103.607,0.265692711
103.608,0.2656928
103.609,0.265690565
103.61,0.265688211
103.611,0.265683502
103.612,0.265681058
103.613,0.265675843
103.614,0.265671909
103.615,0.265664965
103.616,0.265660107
103.617,0.265651524
103.618,0.26564467
103.619,0.265635997
103.62,0.265628904
103.621,0.265618414
103.622,0.265609473
103.623,0.265598357
103.624,0.265588701
103.625,0.26557532
103.626,0.265562773
103.627,0.265548438
103.628,0.265535444
103.629,0.265522301
103.63,0.265505075
103.631,0.265491903
103.632,0.265475035
103.633,0.265457988
103.634,0.265439987
103.635,0.265424073
103.636,0.265403688
103.637,0.265384525
103.638,0.265363663
103.639,0.265344799
103.64,0.265322775
103.641,0.265299916
103.642,0.265276432
103.643,0.265253365
103.644,0.265230983
103.645,0.265205324
103.646,0.265182197
103.647,0.26515466
103.64799,0.265128464
103.649,0.26510033
103.65,0.265075028
103.651,0.265045077
103.652,0.26501739
103.653,0.264985323
103.654,0.264958501
103.655,0.264927089
103.656,0.264895618
103.657,0.264861465
103.658,0.264831156
103.659,0.264796644
103.66,0.264763236
103.661,0.264729291
103.66199,0.264692575
103.663,0.264657199
103.664,0.264619052
103.665,0.264582604
103.666,0.264544964
103.667,0.26450637
103.668,0.264467061
103.669,0.264428973
103.67,0.264386803
103.671,0.264346451
103.672,0.264303476
103.673,0.264262229
103.674,0.264218271
103.675,0.26417616
103.67599,0.264131874
103.677,0.264085054
103.678,0.264040351
103.679,0.263992488
103.68,0.26394558
103.681,0.263899475
103.682,0.263851523
103.683,0.263801426
103.684,0.263753891
103.685,0.263704032
103.686,0.263652921
103.687,0.263600051
103.688,0.263550729
103.689,0.263496339
103.68999,0.263444573
103.691,0.263388574
103.692,0.263335913
103.693,0.263279319
103.694,0.263222814
103.695,0.263166338
103.696,0.263110489
103.697,0.263053566
103.698,0.262992084
103.699,0.26293543
103.7,0.262874782
103.701,0.262815922
103.702,0.262753993
103.703,0.262693912
103.70399,0.262630165
103.705,0.262567997
103.706,0.262503505
103.707,0.262441605
103.708,0.262375653
103.709,0.262311369
103.71,0.262243092
103.711,0.262178242
103.712,0.262111932
103.713,0.262043327
103.714,0.26197654
103.715,0.261906832
103.716,0.261838824
103.717,0.261767477
103.71799,0.261698514
103.719,0.261625588
103.72,0.261554301
103.721,0.261481017
103.722,0.261410534
103.723,0.261335433
103.724,0.261262536
103.725,0.261186928
103.726,0.261112571
103.727,0.261036783
103.728,0.260960281
103.729,0.260883778
103.73,0.260805666
103.731,0.260728836
103.732,0.260650605
103.733,0.260570854
103.734,0.260492653
103.735,0.260413527
103.736,0.260332614
103.737,0.260254025
103.738,0.260172337
103.739,0.260091364
103.74,0.26000753
103.741,0.259927303
103.742,0.259844363
103.743,0.259761304
103.744,0.25967899
103.745,0.259595841
103.746,0.259510368
103.747,0.25942561
103.748,0.259342223
103.749,0.259257108
103.75,0.259173334
103.751,0.259087235
103.752,0.259003788
103.753,0.25891903
103.754,0.258833528
103.755,0.258745492
103.756,0.258664012
103.757,0.258578122
103.758,0.25849399
103.759,0.258410186
103.76,0.258327544
103.761,0.258244574
103.762,0.258162409
103.763,0.258082628
103.764,0.258004129
103.765,0.257926583
103.766,0.257851094
103.767,0.257780015
103.768,0.257709742
103.769,0.257644206
103.77,0.257584393
103.771,0.25753051
103.772,0.257482648
103.77299,0.257447481
103.774,0.257420599
103.775,0.257415295
103.776,0.257428765
103.777,0.257471502
103.778,0.257540464
103.779,0.25760141
103.78,0.257318109
103.781,0.251709849
103.782,-0.127306044
103.783,-0.245235547
103.784,-0.252047539
103.785,-0.254000515
103.786,-0.254833788
103.78699,-0.255142748
103.788,-0.255213797
103.789,-0.255163521
103.79,-0.255046457
103.791,-0.254876733
103.792,-0.254672498
103.793,-0.254436672
103.794,-0.254172027
103.795,-0.253874481
103.796,-0.253550351
103.797,-0.253195912
103.798,-0.252823025
103.799,-0.252492219
103.8,-0.252210677
103.80099,-0.251981676
103.802,-0.251794994
103.803,-0.251651078
103.804,-0.251544654
103.805,-0.251473814
103.806,-0.251429349
103.807,-0.251413792
103.808,-0.251418799
103.809,-0.251447469
103.81,-0.251481056
103.811,-0.251479417
103.812,-0.251440495
103.813,-0.251368284
103.814,-0.251261204
103.81499,-0.251123399
103.816,-0.250957549
103.817,-0.250764906
103.818,-0.250542492
103.819,-0.250294536
103.82,-0.250027269
103.821,-0.249760032
103.822,-0.24951385
103.823,-0.249296039
103.824,-0.249108016
103.825,-0.248945057
103.826,-0.248808026
103.827,-0.248692259
103.828,-0.248601332
103.82899,-0.248528704
103.83,-0.248466805
103.831,-0.248400509
103.832,-0.248234585
103.833,-0.248041704
103.834,-0.247868523
103.835,-0.247722536
103.836,-0.247606531
103.837,-0.247508481
103.838,-0.247296259
103.839,-0.247084156
103.84,-0.246882603
103.841,-0.246697307
103.842,-0.246524721
103.84299,-0.246360958
103.844,-0.246199593
103.845,-0.246040463
103.846,-0.245876357
103.847,-0.245702803
103.848,-0.245508462
103.849,-0.245284453
103.85,-0.245045051
103.851,-0.244722828
103.852,-0.244390368
103.853,-0.244104505
103.854,-0.243875235
103.855,-0.243707284
103.856,-0.243559927
103.857,-0.243432432
103.858,-0.243433729
103.859,-0.243637174
103.86,-0.244177774
103.861,-0.245343924
103.862,-0.153366268
103.863,0.234826177
103.864,0.239177197
103.865,0.240226746
103.866,0.240625486
103.867,0.240793392
103.868,0.240851209
103.869,0.240853816
103.87,0.240818992
103.871,0.240761027
103.872,0.24068661
103.873,0.24060452
103.874,0.240509212
103.875,0.240410283
103.876,0.240306333
103.877,0.240198433
103.878,0.24008444
103.879,0.239970371
103.88,0.23985146
103.881,0.239729345
103.882,0.239605978
103.883,0.239477456
103.884,0.239349678
103.885,0.239215538
103.886,0.23908101
103.887,0.238943979
103.888,0.238807082
103.889,0.238663644
103.89,0.238519996
