Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.4,6.16E-03
103.401,6.18E-03
103.402,6.19E-03
103.403,6.21E-03
103.404,6.22E-03
103.405,6.24E-03
103.406,6.25E-03
103.40701,6.27E-03
103.408,6.28E-03
103.409,6.30E-03
103.41,6.31E-03
103.411,6.33E-03
103.412,6.34E-03
103.413,6.35E-03
103.414,6.37E-03
103.415,6.38E-03
103.416,6.40E-03
103.417,6.41E-03
103.418,6.43E-03
103.419,6.44E-03
103.42,6.46E-03
103.42101,6.47E-03
103.422,6.49E-03
103.423,6.50E-03
103.424,6.51E-03
103.425,6.53E-03
103.426,6.54E-03
103.427,6.56E-03
103.428,6.57E-03
103.429,6.59E-03
103.43,6.60E-03
103.431,6.62E-03
103.432,6.63E-03
103.433,6.64E-03
103.434,6.66E-03
103.43501,6.67E-03
103.436,6.69E-03
103.437,0.00670176
103.438,6.72E-03
103.439,6.73E-03
103.44,0.006744759
103.441,6.76E-03
103.442,6.77E-03
103.443,6.79E-03
103.444,6.80E-03
103.445,6.82E-03
103.446,6.83E-03
103.447,6.84E-03
103.448,6.86E-03
103.44901,6.87E-03
103.45,6.89E-03
103.451,6.90E-03
103.452,6.92E-03
103.453,6.93E-03
103.454,6.94E-03
103.455,6.96E-03
103.456,6.97E-03
103.457,6.99E-03
103.458,7.00E-03
103.459,7.01E-03
103.46,7.03E-03
103.461,7.04E-03
103.462,7.06E-03
103.46301,7.07E-03
103.464,7.09E-03
103.465,7.10E-03
103.466,7.11E-03
103.467,7.13E-03
103.468,7.14E-03
103.469,7.16E-03
103.47,7.17E-03
103.471,7.18E-03
103.472,7.20E-03
103.473,7.21E-03
103.474,7.23E-03
103.475,7.24E-03
103.476,7.25E-03
103.47701,7.27E-03
103.478,7.28E-03
103.479,7.29E-03
103.48,7.31E-03
103.481,7.32E-03
103.482,7.34E-03
103.483,7.35E-03
103.484,7.36E-03
103.485,7.38E-03
103.486,7.39E-03
103.487,7.41E-03
103.488,7.42E-03
103.489,7.43E-03
103.49,7.45E-03
103.491,7.46E-03
103.492,7.47E-03
103.493,7.49E-03
103.494,7.50E-03
103.495,7.52E-03
103.496,7.53E-03
103.497,7.54E-03
103.498,7.56E-03
103.499,7.57E-03
103.5,7.58E-03
103.501,7.60E-03
103.502,7.61E-03
103.503,7.62E-03
103.504,7.64E-03
103.505,7.65E-03
103.506,7.67E-03
103.507,7.68E-03
103.508,7.69E-03
103.509,7.71E-03
103.51,7.72E-03
103.511,7.73E-03
103.512,7.75E-03
103.513,7.76E-03
103.514,7.77E-03
103.515,7.79E-03
103.516,7.80E-03
103.517,7.81E-03
103.518,7.83E-03
103.519,7.84E-03
103.52,7.85E-03
103.521,7.87E-03
103.522,7.88E-03
103.523,7.89E-03
103.524,7.91E-03
103.525,7.92E-03
103.526,7.93E-03
103.527,7.95E-03
103.528,7.96E-03
103.529,7.97E-03
103.53,7.99E-03
103.531,8.00E-03
103.53201,8.01E-03
103.533,8.03E-03
103.534,8.04E-03
103.535,8.05E-03
103.536,8.07E-03
103.537,8.08E-03
103.538,8.09E-03
103.539,8.11E-03
103.54,8.12E-03
103.541,8.13E-03
103.542,0.008146065
103.543,8.16E-03
103.544,8.17E-03
103.545,8.19E-03
103.54601,8.20E-03
103.547,8.21E-03
103.548,8.22E-03
103.549,8.24E-03
103.55,8.25E-03
103.551,8.26E-03
103.552,8.28E-03
103.553,8.29E-03
103.554,8.30E-03
103.555,8.31E-03
103.556,8.33E-03
103.557,8.34E-03
103.558,8.35E-03
103.559,8.36E-03
103.56001,8.38E-03
103.561,8.39E-03
103.562,8.40E-03
103.563,8.41E-03
103.564,8.43E-03
103.565,8.44E-03
103.566,8.45E-03
103.567,8.46E-03
103.568,8.47E-03
103.569,8.49E-03
103.57,8.50E-03
103.571,8.51E-03
103.572,8.52E-03
103.573,8.53E-03
103.57401,8.54E-03
103.575,8.56E-03
103.576,8.57E-03
103.577,8.58E-03
103.578,8.59E-03
103.579,8.60E-03
103.58,8.61E-03
103.581,8.62E-03
103.582,8.63E-03
103.583,8.64E-03
103.584,8.65E-03
103.585,8.66E-03
103.586,8.67E-03
103.587,8.67E-03
103.58801,8.68E-03
103.589,8.68E-03
103.59,8.69E-03
103.591,8.70E-03
103.592,8.71E-03
103.593,8.72E-03
103.594,8.73E-03
103.595,8.75E-03
103.596,8.76E-03
103.597,8.77E-03
103.598,8.79E-03
103.599,8.81E-03
103.6,8.82E-03
103.601,8.84E-03
103.60201,8.85E-03
103.603,8.87E-03
103.604,8.88E-03
103.605,8.89E-03
103.606,8.90E-03
103.607,8.92E-03
103.608,8.93E-03
103.609,8.94E-03
103.61,8.96E-03
103.611,8.97E-03
103.612,8.99E-03
103.613,9.01E-03
103.614,9.03E-03
103.615,9.05E-03
103.616,9.06E-03
103.617,9.08E-03
103.618,9.09E-03
103.619,9.10E-03
103.62,9.10E-03
103.621,9.11E-03
103.622,9.11E-03
103.623,9.10E-03
103.624,9.10E-03
103.625,9.10E-03
103.626,9.11E-03
103.627,9.11E-03
103.628,9.13E-03
103.629,9.15E-03
103.63,9.17E-03
103.631,9.20E-03
103.632,9.24E-03
103.633,9.28E-03
103.634,9.31E-03
103.635,9.33E-03
103.636,9.35E-03
103.637,9.36E-03
103.638,9.36E-03
103.639,9.36E-03
103.64,9.34E-03
103.641,9.32E-03
103.642,9.30E-03
103.643,9.28E-03
103.644,9.27E-03
103.645,9.27E-03
103.646,9.28E-03
103.647,9.29E-03
103.648,9.31E-03
103.649,9.34E-03
103.65,9.37E-03
103.651,9.41E-03
103.652,9.45E-03
103.653,9.49E-03
103.654,9.52E-03
103.655,9.54E-03
103.656,9.56E-03
103.65701,9.57E-03
103.658,9.57E-03
103.659,9.57E-03
103.66,9.56E-03
103.661,9.55E-03
103.662,9.53E-03
103.663,9.51E-03
103.664,9.49E-03
103.665,9.47E-03
103.666,9.46E-03
103.667,9.45E-03
103.668,9.44E-03
103.669,9.43E-03
103.67,9.42E-03
103.67101,9.42E-03
103.672,9.42E-03
103.673,9.42E-03
103.674,9.42E-03
103.675,9.42E-03
103.676,9.42E-03
103.677,9.43E-03
103.678,9.43E-03
103.679,9.44E-03
103.68,9.45E-03
103.681,9.46E-03
103.682,9.47E-03
103.683,9.48E-03
103.684,9.49E-03
103.68501,9.50E-03
103.686,9.51E-03
103.687,9.52E-03
103.688,9.53E-03
103.689,9.55E-03
103.69,9.56E-03
103.691,9.57E-03
103.692,9.58E-03
103.693,9.60E-03
103.694,9.61E-03
103.695,9.62E-03
103.696,9.64E-03
103.697,9.65E-03
103.698,9.67E-03
103.69901,9.68E-03
103.7,9.70E-03
103.701,9.71E-03
103.702,9.73E-03
103.703,9.74E-03
103.704,9.76E-03
103.705,9.78E-03
103.706,9.80E-03
103.707,9.82E-03
103.708,9.84E-03
103.709,9.86E-03
103.71,9.88E-03
103.711,9.91E-03
103.712,9.93E-03
103.71301,9.96E-03
103.714,9.99E-03
103.715,1.00E-02
103.716,1.01E-02
103.717,1.01E-02
103.718,1.01E-02
103.719,1.02E-02
103.72,1.02E-02
103.721,1.03E-02
103.722,0.010300875
103.723,1.03E-02
103.724,1.04E-02
103.725,1.04E-02
103.726,1.05E-02
103.72701,1.05E-02
103.728,1.05E-02
103.729,1.05E-02
103.73,1.05E-02
103.731,1.05E-02
103.732,0.010502259
103.733,1.05E-02
103.734,1.05E-02
103.735,1.05E-02
103.736,0.010533326
103.737,1.05E-02
103.738,0.010563769
103.739,1.06E-02
103.74,1.06E-02
103.741,0.01063072
103.742,1.07E-02
103.743,1.07E-02
103.744,1.07E-02
103.745,1.08E-02
103.746,1.08E-02
103.747,1.08E-02
103.748,1.09E-02
103.749,1.09E-02
103.75,1.10E-02
103.751,1.10E-02
103.752,0.011068151
103.753,1.11E-02
103.754,0.011165103
103.755,1.12E-02
103.756,1.12E-02
103.757,1.13E-02
103.758,1.13E-02
103.759,0.011274648
103.76,1.13E-02
103.761,1.13E-02
103.762,1.12E-02
103.763,1.12E-02
103.764,1.12E-02
103.765,1.11E-02
103.766,1.11E-02
103.767,1.10E-02
103.76801,1.10E-02
103.769,1.09E-02
103.77,1.08E-02
103.771,1.07E-02
103.772,0.010625834
103.773,0.010547187
103.774,1.05E-02
103.775,1.04E-02
103.776,1.03E-02
103.777,1.03E-02
103.778,1.02E-02
103.779,1.02E-02
103.78,1.01E-02
103.781,1.00E-02
103.78201,1.00E-02
103.783,9.95E-03
103.784,9.91E-03
103.785,9.87E-03
103.786,9.84E-03
103.787,9.81E-03
103.788,9.78E-03
103.789,9.77E-03
103.79,9.76E-03
103.791,9.75E-03
103.792,9.76E-03
