Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99.9,1.82E-03
99.901,1.83E-03
99.902,1.83E-03
99.903,1.84E-03
99.904,1.84E-03
99.905,1.85E-03
99.906,1.85E-03
99.90701,1.86E-03
99.908,1.86E-03
99.909,1.87E-03
99.91,1.87E-03
99.911,1.88E-03
99.912,1.88E-03
99.913,1.89E-03
99.914,1.89E-03
99.915,1.90E-03
99.916,1.90E-03
99.917,1.91E-03
99.918,1.91E-03
99.919,1.92E-03
99.92,1.92E-03
99.92101,1.93E-03
99.922,1.93E-03
99.923,1.94E-03
99.924,1.95E-03
99.925,1.95E-03
99.926,1.96E-03
99.927,1.96E-03
99.928,1.97E-03
99.929,1.97E-03
99.93,1.98E-03
99.931,1.98E-03
99.932,1.99E-03
99.933,1.99E-03
99.934,2.00E-03
99.93501,2.00E-03
99.936,2.01E-03
99.937,2.01E-03
99.938,2.02E-03
99.939,2.02E-03
99.94,2.03E-03
99.941,2.03E-03
99.942,2.04E-03
99.943,2.04E-03
99.944,2.05E-03
99.945,2.05E-03
99.946,2.06E-03
99.947,2.06E-03
99.948,2.07E-03
99.94901,2.07E-03
99.95,2.08E-03
99.951,2.08E-03
99.952,2.09E-03
99.953,2.09E-03
99.954,2.10E-03
99.955,2.10E-03
99.956,2.11E-03
99.957,2.11E-03
99.958,2.12E-03
99.959,2.12E-03
99.96,2.13E-03
99.961,2.13E-03
99.962,2.14E-03
99.96301,2.14E-03
99.964,2.15E-03
99.965,2.15E-03
99.966,2.16E-03
99.967,2.16E-03
99.968,2.17E-03
99.969,2.17E-03
99.97,2.18E-03
99.971,2.18E-03
99.972,2.19E-03
99.973,2.19E-03
99.974,2.20E-03
99.975,2.20E-03
99.976,2.21E-03
99.97701,2.21E-03
99.978,2.22E-03
99.979,2.22E-03
99.98,2.23E-03
99.981,2.23E-03
99.982,2.24E-03
99.983,2.24E-03
99.984,2.25E-03
99.985,2.25E-03
99.986,2.26E-03
99.987,2.26E-03
99.988,2.27E-03
99.989,2.27E-03
99.99,2.28E-03
99.991,2.28E-03
99.992,2.29E-03
99.993,2.29E-03
99.994,2.30E-03
99.995,2.30E-03
99.996,2.31E-03
99.997,2.31E-03
99.998,2.32E-03
99.999,2.32E-03
100,2.33E-03
100.001,2.33E-03
100.002,2.34E-03
100.003,2.34E-03
100.004,2.35E-03
100.005,2.35E-03
100.006,2.36E-03
100.007,2.36E-03
100.008,2.37E-03
100.009,2.37E-03
100.01,2.38E-03
100.011,2.38E-03
100.012,2.39E-03
100.013,2.39E-03
100.014,2.40E-03
100.015,2.40E-03
100.016,2.41E-03
100.017,2.41E-03
100.018,2.42E-03
100.019,0.002424311
100.02,2.43E-03
100.021,2.43E-03
100.022,2.44E-03
100.023,2.44E-03
100.024,2.45E-03
100.025,2.45E-03
100.026,2.46E-03
100.027,2.46E-03
100.028,0.002469128
100.029,2.47E-03
100.03,2.48E-03
100.031,2.48E-03
100.03201,2.49E-03
100.033,2.49E-03
100.034,2.50E-03
100.035,2.50E-03
100.036,2.51E-03
100.037,2.51E-03
100.038,2.52E-03
100.039,2.52E-03
100.04,2.53E-03
100.041,2.53E-03
100.042,2.54E-03
100.043,2.54E-03
100.044,2.55E-03
100.045,2.55E-03
100.04601,2.56E-03
100.047,2.56E-03
100.048,2.57E-03
100.049,2.57E-03
100.05,2.58E-03
100.051,2.58E-03
100.052,2.59E-03
100.053,0.002593286
100.054,2.60E-03
100.055,2.60E-03
100.056,2.61E-03
100.057,2.61E-03
100.058,2.62E-03
100.059,2.62E-03
100.06001,2.63E-03
100.061,2.63E-03
100.062,2.64E-03
100.063,2.64E-03
100.064,2.65E-03
100.065,2.65E-03
100.066,2.66E-03
100.067,2.66E-03
100.068,2.67E-03
100.069,2.67E-03
100.07,2.68E-03
100.071,2.68E-03
100.072,2.69E-03
100.073,2.69E-03
100.07401,2.70E-03
100.075,2.70E-03
100.076,2.71E-03
100.077,2.71E-03
100.078,2.72E-03
100.079,2.72E-03
100.08,2.73E-03
100.081,2.73E-03
100.082,2.74E-03
100.083,2.74E-03
100.084,2.75E-03
100.085,2.75E-03
100.086,2.76E-03
100.087,2.76E-03
100.08801,2.77E-03
100.089,2.77E-03
100.09,2.78E-03
100.091,2.78E-03
100.092,2.79E-03
100.093,2.79E-03
100.094,2.80E-03
100.095,2.80E-03
100.096,2.81E-03
100.097,2.81E-03
100.098,2.82E-03
100.099,2.82E-03
100.1,2.83E-03
100.101,2.83E-03
100.10201,2.84E-03
100.103,2.84E-03
100.104,2.85E-03
100.105,2.85E-03
100.106,2.86E-03
100.107,2.86E-03
100.108,2.87E-03
100.109,2.87E-03
100.11,2.87E-03
100.111,2.88E-03
100.112,2.88E-03
100.113,2.89E-03
100.114,2.89E-03
100.115,2.90E-03
100.116,2.90E-03
100.117,2.91E-03
100.118,2.91E-03
100.119,2.92E-03
100.12,2.92E-03
100.121,2.93E-03
100.122,2.93E-03
100.123,2.94E-03
100.124,2.94E-03
100.125,2.95E-03
100.126,2.95E-03
100.127,2.96E-03
100.128,2.96E-03
100.129,2.97E-03
100.13,2.97E-03
100.131,2.98E-03
100.132,2.98E-03
100.133,2.99E-03
100.134,2.99E-03
100.135,3.00E-03
100.136,3.00E-03
100.137,3.01E-03
100.138,3.01E-03
100.139,3.02E-03
100.14,3.02E-03
100.141,3.03E-03
100.142,3.03E-03
100.143,3.04E-03
100.144,3.04E-03
100.145,3.05E-03
100.146,3.05E-03
100.147,3.06E-03
100.148,3.06E-03
100.149,3.07E-03
100.15,3.07E-03
100.151,3.08E-03
100.152,3.08E-03
100.153,3.09E-03
100.154,3.09E-03
100.155,3.10E-03
100.156,3.10E-03
100.15701,3.11E-03
100.158,3.11E-03
100.159,3.12E-03
100.16,3.12E-03
100.161,3.13E-03
100.162,3.13E-03
100.163,3.14E-03
100.164,3.14E-03
100.165,3.15E-03
100.166,3.16E-03
100.167,3.16E-03
100.168,3.17E-03
100.169,3.17E-03
100.17,3.18E-03
100.17101,3.18E-03
100.172,3.19E-03
100.173,3.20E-03
100.174,3.20E-03
100.175,3.21E-03
100.176,3.21E-03
100.177,3.22E-03
100.178,3.22E-03
100.179,3.23E-03
100.18,3.23E-03
100.181,3.24E-03
100.182,3.24E-03
100.183,0.00324747
100.184,3.25E-03
100.18501,3.26E-03
100.186,3.26E-03
100.187,0.003267468
100.188,3.27E-03
100.189,3.28E-03
100.19,3.28E-03
100.191,3.29E-03
100.192,3.29E-03
100.193,3.30E-03
100.194,3.30E-03
100.195,3.31E-03
100.196,3.31E-03
100.197,3.32E-03
100.198,3.32E-03
100.19901,3.33E-03
100.2,3.33E-03
100.201,3.34E-03
100.202,0.003340756
100.203,3.35E-03
100.204,3.35E-03
100.205,3.35E-03
100.206,3.36E-03
100.207,3.36E-03
100.208,3.37E-03
100.209,3.37E-03
100.21,3.38E-03
100.211,3.38E-03
100.212,3.39E-03
100.21301,3.39E-03
100.214,3.39E-03
100.215,3.40E-03
100.216,3.40E-03
100.217,3.40E-03
100.218,3.41E-03
100.219,3.41E-03
100.22,3.41E-03
100.221,3.41E-03
100.222,3.42E-03
100.223,3.42E-03
100.224,3.42E-03
100.225,3.42E-03
100.226,3.42E-03
100.22701,3.42E-03
100.228,3.43E-03
100.229,3.43E-03
100.23,3.44E-03
100.231,3.44E-03
100.232,3.45E-03
100.233,3.45E-03
100.234,3.46E-03
100.235,3.46E-03
100.236,3.47E-03
100.237,3.47E-03
100.238,3.48E-03
100.239,3.48E-03
100.24,3.49E-03
100.241,3.49E-03
100.242,3.49E-03
100.243,3.50E-03
100.244,3.50E-03
100.245,3.50E-03
100.246,3.50E-03
100.247,3.50E-03
100.248,3.51E-03
100.249,3.51E-03
100.25,3.51E-03
100.251,3.51E-03
100.252,3.51E-03
100.253,3.51E-03
100.254,3.51E-03
100.255,3.50E-03
100.256,3.50E-03
100.257,3.50E-03
100.258,3.50E-03
100.259,3.50E-03
100.26,3.51E-03
100.261,3.51E-03
100.262,3.52E-03
100.263,3.52E-03
100.264,3.53E-03
100.265,3.54E-03
100.266,3.56E-03
100.267,3.57E-03
100.26801,3.59E-03
100.269,3.60E-03
100.27,3.62E-03
100.271,3.64E-03
100.272,3.66E-03
100.273,3.68E-03
100.274,3.70E-03
100.275,3.71E-03
100.276,3.73E-03
100.277,3.74E-03
100.278,3.75E-03
100.279,3.76E-03
100.28,3.76E-03
100.281,3.77E-03
100.28201,3.77E-03
100.283,3.78E-03
100.284,3.78E-03
100.285,3.78E-03
100.286,3.78E-03
100.287,3.79E-03
100.288,3.79E-03
100.289,3.79E-03
100.29,3.79E-03
100.291,3.79E-03
100.292,3.79E-03
