Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99,2.50E-03
99.001,2.50E-03
99.002,2.50E-03
99.003,2.50E-03
99.004,2.50E-03
99.005,2.51E-03
99.006,2.51E-03
99.007,2.51E-03
99.008,2.51E-03
99.009,2.51E-03
99.01,2.51E-03
99.011,2.52E-03
99.012,2.52E-03
99.013,2.52E-03
99.014,2.52E-03
99.015,2.52E-03
99.016,2.52E-03
99.017,2.52E-03
99.018,2.53E-03
99.019,2.53E-03
99.02,2.53E-03
99.021,2.53E-03
99.022,2.53E-03
99.023,2.53E-03
99.024,2.53E-03
99.025,0.002535006
99.026,2.54E-03
99.027,2.54E-03
99.028,2.54E-03
99.029,2.54E-03
99.03,2.54E-03
99.031,2.54E-03
99.032,2.54E-03
99.033,2.55E-03
99.034,2.55E-03
99.035,2.55E-03
99.036,2.55E-03
99.037,2.55E-03
99.038,2.55E-03
99.039,2.55E-03
99.04,2.56E-03
99.041,2.56E-03
99.042,2.56E-03
99.043,2.56E-03
99.044,2.56E-03
99.045,2.56E-03
99.046,2.56E-03
99.047,2.56E-03
99.048,2.57E-03
99.049,2.57E-03
99.05,2.57E-03
99.051,2.57E-03
99.052,2.57E-03
99.053,2.57E-03
99.054,2.57E-03
99.055,2.58E-03
99.056,2.58E-03
99.057,2.58E-03
99.058,2.58E-03
99.059,2.58E-03
99.06,2.58E-03
99.061,2.58E-03
99.062,2.58E-03
99.063,2.59E-03
99.064,2.59E-03
99.065,2.59E-03
99.066,0.002589465
99.067,2.59E-03
99.068,2.59E-03
99.069,2.59E-03
99.07,2.59E-03
99.071,2.60E-03
99.072,2.60E-03
99.073,2.60E-03
99.074,2.60E-03
99.075,2.60E-03
99.076,2.60E-03
99.077,2.60E-03
99.078,2.60E-03
99.079,2.61E-03
99.08,2.61E-03
99.081,2.61E-03
99.082,2.61E-03
99.083,2.61E-03
99.084,2.61E-03
99.085,2.61E-03
99.086,2.61E-03
99.087,2.62E-03
99.088,2.62E-03
99.089,2.62E-03
99.09,2.62E-03
99.091,2.62E-03
99.092,2.62E-03
99.093,2.62E-03
99.094,2.62E-03
99.095,2.62E-03
99.096,2.63E-03
99.097,2.63E-03
99.098,2.63E-03
99.099,2.63E-03
99.1,2.63E-03
99.101,2.63E-03
99.102,2.63E-03
99.103,2.63E-03
99.104,2.63E-03
99.105,2.64E-03
99.106,2.64E-03
99.107,2.64E-03
99.108,2.64E-03
99.109,2.64E-03
99.11,2.64E-03
99.111,2.64E-03
99.112,2.64E-03
99.113,2.64E-03
99.114,2.65E-03
99.115,2.65E-03
99.116,2.65E-03
99.117,2.65E-03
99.118,2.65E-03
99.119,2.65E-03
99.12,2.65E-03
99.121,2.65E-03
99.122,2.65E-03
99.123,2.66E-03
99.124,2.66E-03
99.125,2.66E-03
99.126,2.66E-03
99.127,2.66E-03
99.128,2.66E-03
99.129,2.66E-03
99.13,2.66E-03
99.131,2.66E-03
99.132,2.67E-03
99.133,2.67E-03
99.134,2.67E-03
99.135,2.67E-03
99.136,2.67E-03
99.137,2.67E-03
99.138,2.67E-03
99.139,2.67E-03
99.14,2.67E-03
99.141,2.67E-03
99.142,2.68E-03
99.143,2.68E-03
99.144,2.68E-03
99.145,2.68E-03
99.146,2.68E-03
99.147,2.68E-03
99.148,2.68E-03
99.149,2.68E-03
99.15,2.68E-03
99.151,2.68E-03
99.152,2.68E-03
99.153,2.69E-03
99.154,2.69E-03
99.155,2.69E-03
99.156,2.69E-03
99.157,2.69E-03
99.158,2.69E-03
99.159,2.69E-03
99.16,2.69E-03
99.161,2.69E-03
99.162,2.69E-03
99.163,2.69E-03
99.164,2.70E-03
99.165,2.70E-03
99.166,2.70E-03
99.167,2.70E-03
99.168,2.70E-03
99.169,2.70E-03
99.17,2.70E-03
99.171,2.70E-03
99.172,2.70E-03
99.173,2.70E-03
99.174,2.70E-03
99.175,2.70E-03
99.176,2.70E-03
99.177,2.71E-03
99.178,2.71E-03
99.179,2.71E-03
99.18,2.71E-03
99.181,2.71E-03
99.182,2.71E-03
99.183,2.71E-03
99.184,2.71E-03
99.185,2.71E-03
99.186,2.71E-03
99.187,2.71E-03
99.188,2.71E-03
99.189,2.71E-03
99.19,2.71E-03
99.191,2.71E-03
99.192,2.71E-03
99.193,2.71E-03
99.194,2.71E-03
99.195,2.71E-03
99.196,2.72E-03
99.197,2.72E-03
99.198,2.72E-03
99.199,2.72E-03
99.2,2.72E-03
99.201,2.72E-03
99.202,2.72E-03
99.203,2.72E-03
99.204,2.72E-03
99.205,2.72E-03
99.206,2.73E-03
99.207,2.73E-03
99.208,2.73E-03
99.209,2.73E-03
99.21,2.73E-03
99.211,2.73E-03
99.212,2.73E-03
99.213,2.73E-03
99.214,2.73E-03
99.215,2.73E-03
99.216,2.73E-03
99.217,2.73E-03
99.218,2.73E-03
99.219,2.73E-03
99.22,2.73E-03
99.221,2.74E-03
99.222,2.74E-03
99.223,2.74E-03
99.224,2.74E-03
99.225,2.74E-03
99.226,2.74E-03
99.227,2.74E-03
99.228,2.74E-03
99.229,2.74E-03
99.23,2.74E-03
99.231,2.74E-03
99.232,2.74E-03
99.233,0.002742198
99.234,2.74E-03
99.235,2.74E-03
99.236,2.75E-03
99.237,2.75E-03
99.238,2.75E-03
99.239,2.75E-03
99.24,2.75E-03
99.241,2.75E-03
99.242,2.75E-03
99.243,2.75E-03
99.244,2.75E-03
99.245,2.75E-03
99.246,2.75E-03
99.247,2.75E-03
99.248,2.75E-03
99.249,2.76E-03
99.25,2.76E-03
99.251,2.76E-03
99.252,2.76E-03
99.253,2.75E-03
99.254,2.75E-03
99.255,2.75E-03
99.256,2.75E-03
99.257,2.76E-03
99.258,2.76E-03
99.259,2.76E-03
99.26,2.76E-03
99.261,2.76E-03
99.262,2.76E-03
99.263,2.76E-03
99.264,2.76E-03
99.265,2.76E-03
99.266,2.76E-03
99.267,2.76E-03
99.268,2.76E-03
99.269,2.76E-03
99.27,2.76E-03
99.271,2.76E-03
99.272,2.76E-03
99.273,2.76E-03
99.274,2.76E-03
99.275,2.76E-03
99.276,2.76E-03
99.277,2.76E-03
99.278,2.76E-03
99.279,2.76E-03
99.28,2.76E-03
99.281,2.76E-03
99.282,2.76E-03
99.283,2.76E-03
99.284,2.76E-03
99.285,2.76E-03
99.286,2.76E-03
99.287,2.76E-03
99.288,2.76E-03
99.289,2.76E-03
99.29,2.76E-03
99.291,2.76E-03
99.292,2.76E-03
99.293,2.77E-03
99.294,2.77E-03
99.295,2.77E-03
99.296,2.77E-03
99.297,2.77E-03
99.298,2.77E-03
99.299,2.77E-03
99.3,2.77E-03
99.301,2.77E-03
99.302,2.77E-03
99.303,2.77E-03
99.304,2.77E-03
99.305,2.77E-03
99.306,2.77E-03
99.307,2.78E-03
99.308,2.78E-03
99.309,2.78E-03
99.31,2.78E-03
99.311,2.78E-03
99.312,2.78E-03
99.313,2.78E-03
99.314,2.78E-03
99.315,2.78E-03
99.316,2.79E-03
99.317,2.79E-03
99.318,2.79E-03
99.319,2.79E-03
99.32,2.79E-03
99.321,2.79E-03
99.322,2.79E-03
99.323,2.80E-03
99.324,2.80E-03
99.325,2.80E-03
99.326,2.80E-03
99.327,2.80E-03
99.328,2.80E-03
99.329,2.80E-03
99.33,2.80E-03
99.331,2.80E-03
99.332,2.80E-03
99.333,2.80E-03
99.334,2.80E-03
99.335,2.80E-03
99.336,2.80E-03
99.337,2.80E-03
99.338,2.80E-03
99.339,2.80E-03
99.34,2.80E-03
99.341,2.80E-03
99.342,2.80E-03
99.343,2.81E-03
99.344,2.81E-03
99.345,2.81E-03
99.346,2.81E-03
99.347,2.81E-03
99.348,2.81E-03
99.349,2.81E-03
99.35,2.81E-03
99.351,2.81E-03
99.352,2.81E-03
99.353,2.81E-03
99.354,2.82E-03
99.355,2.82E-03
99.356,2.82E-03
99.357,2.82E-03
99.358,2.82E-03
99.359,2.82E-03
99.36,2.82E-03
99.361,2.82E-03
99.362,2.81E-03
99.363,2.81E-03
99.364,2.81E-03
99.365,2.81E-03
99.366,2.81E-03
99.367,2.81E-03
99.368,2.81E-03
99.369,2.81E-03
99.37,2.81E-03
99.371,2.81E-03
99.372,2.81E-03
99.373,2.81E-03
99.374,2.81E-03
99.375,2.81E-03
99.376,2.81E-03
99.377,0.002807553
99.378,2.81E-03
99.379,2.81E-03
99.38,2.81E-03
99.381,2.81E-03
99.382,2.81E-03
99.383,2.81E-03
99.384,2.81E-03
99.385,2.81E-03
99.386,2.81E-03
99.387,2.81E-03
99.388,2.81E-03
99.389,2.81E-03
99.39,2.81E-03
99.391,2.81E-03
99.392,2.81E-03
99.393,2.81E-03
