Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
95,-0.1173739
95.001,-0.117481613
95.002,-0.11758726
95.003,-0.117694261
95.004,-0.117800621
95.005,-0.117906653
95.006,-0.118011456
95.007,-0.118117903
95.008,-0.118222459
95.009,-0.118327727
95.01,-0.118431395
95.011,-0.118536045
95.012,-0.118638818
95.013,-0.118741977
95.014,-0.11884539
95.015,-0.118948461
95.016,-0.119050557
95.017,-0.119152115
95.018,-0.119253971
95.019,-0.119355587
95.02,-0.119456294
95.021,-0.119558543
95.022,-0.119658696
95.023,-0.119758071
95.024,-0.119857912
95.025,-0.119957294
95.026,-0.120056618
95.027,-0.120154793
95.028,-0.120253455
95.029,-0.120351811
95.03,-0.120449302
95.031,-0.120547476
95.032,-0.120643272
95.033,-0.120740944
95.034,-0.12083711
95.035,-0.120934077
95.036,-0.121030229
95.037,-0.12112617
95.038,-0.121219971
95.039,-0.121315788
95.04,-0.121409823
95.041,-0.121504701
95.042,-0.121597623
95.043,-0.121691926
95.044,-0.12178476
95.045,-0.121878169
95.046,-0.121970785
95.047,-0.122062535
95.048,-0.122154815
95.049,-0.122246929
95.05,-0.122338373
95.051,-0.122429992
95.052,-0.122520432
95.053,-0.12261048
95.054,-0.122700905
95.055,-0.122790472
95.056,-0.122879734
95.057,-0.122968602
95.058,-0.123057354
95.059,-0.123145786
95.06,-0.123234116
95.061,-0.123321908
95.062,-0.123409234
95.063,-0.123496517
95.064,-0.123583886
95.065,-0.123670063
95.066,-0.123756778
95.067,-0.123842357
95.068,-0.123927326
95.069,-0.124012455
95.07,-0.124097933
95.071,-0.124182348
95.072,-0.124267142
95.073,-0.124350394
95.074,-0.124433951
95.075,-0.12451665
95.076,-0.12460009
95.077,-0.124683414
95.078,-0.124765342
95.079,-0.124846949
95.08,-0.12492924
95.081,-0.125010512
95.082,-0.12509161
95.083,-0.125171806
95.084,-0.12525222
95.085,-0.12533195
95.086,-0.125412043
95.087,-0.125491701
95.088,-0.125570281
95.089,-0.125648556
95.09,-0.125727558
95.091,-0.125806662
95.092,-0.1258837
95.093,-0.125960723
95.094,-0.126037892
95.095,-0.12611493
95.096,-0.126191284
95.097,-0.126268002
95.098,-0.126342915
95.099,-0.126418701
95.1,-0.126493847
95.101,-0.126568732
95.102,-0.126642844
95.103,-0.126717074
95.104,-0.126790954
95.105,-0.126864732
95.106,-0.126938205
95.107,-0.127011415
95.108,-0.127083302
95.109,-0.127155683
95.11,-0.127227395
95.111,-0.127299354
95.112,-0.127370382
95.113,-0.127441133
95.114,-0.127511667
95.115,-0.127582651
95.116,-0.127652384
95.117,-0.127722247
95.118,-0.127790816
95.119,-0.127860287
95.12,-0.127929219
95.121,-0.127998064
95.122,-0.128065964
95.123,-0.128133106
95.124,-0.128200772
95.125,-0.128267828
95.126,-0.128334403
95.127,-0.128401443
95.128,-0.128466825
95.129,-0.128532745
95.13,-0.128598054
95.131,-0.128663407
95.132,-0.128728847
95.133,-0.128792817
95.134,-0.128856569
95.135,-0.128920714
95.136,-0.128984844
95.137,-0.129047432
95.138,-0.129110791
95.139,-0.129173073
95.14,-0.129234802
95.141,-0.129296954
95.142,-0.12935893
95.143,-0.129419641
95.144,-0.129480482
95.145,-0.129541208
95.146,-0.129602151
95.147,-0.129661974
95.148,-0.129721913
95.149,-0.129780121
95.15,-0.129839376
95.151,-0.129897904
95.152,-0.129956767
95.153,-0.130014741
95.154,-0.130071814
95.155,-0.130128799
95.156,-0.13018641
95.157,-0.130242857
95.158,-0.130298693
95.159,-0.130355009
95.16,-0.130411514
95.161,-0.130466142
95.162,-0.130521934
95.163,-0.130576882
95.164,-0.130630389
95.165,-0.130684391
95.166,-0.130738379
95.167,-0.130791697
95.168,-0.130845408
95.169,-0.130897606
95.17,-0.130950008
95.171,-0.131001594
95.172,-0.131053603
95.173,-0.131104563
95.174,-0.131155524
95.175,-0.131206762
95.176,-0.1312573
95.177,-0.131307141
95.178,-0.131357141
95.179,-0.131405832
95.18,-0.131455061
95.181,-0.131503708
95.182,-0.131552268
95.183,-0.131600187
95.184,-0.131646651
95.185,-0.131694193
95.186,-0.131740017
95.187,-0.131785739
95.188,-0.131830544
95.189,-0.13187452
95.19,-0.131918947
95.191,-0.131963578
95.192,-0.132008281
95.193,-0.132053494
95.194,-0.132096917
95.195,-0.132141839
95.196,-0.132186309
95.197,-0.13223046
95.198,-0.132274581
95.199,-0.132318033
95.2,-0.132362053
95.201,-0.132405359
95.202,-0.132448869
95.203,-0.132491288
95.204,-0.132533518
95.205,-0.132574642
95.206,-0.13261578
95.207,-0.132656904
95.208,-0.132697387
95.209,-0.132737332
95.21,-0.132777146
95.211,-0.132817135
95.212,-0.132857152
95.213,-0.132897039
95.214,-0.132936504
95.215,-0.132976784
95.216,-0.133017311
95.217,-0.133057445
95.218,-0.133096633
95.219,-0.133134992
95.22,-0.133172274
95.221,-0.133208901
95.222,-0.133244801
95.223,-0.133279158
95.224,-0.133311667
95.225,-0.133343608
95.226,-0.133373178
95.227,-0.133402224
95.228,-0.133431313
95.229,-0.133460984
95.23,-0.133491543
95.231,-0.133522975
95.232,-0.133555863
95.233,-0.133589812
95.234,-0.133625028
95.235,-0.133661641
95.236,-0.133699912
95.237,-0.133739843
95.238,-0.133777838
95.239,-0.133812835
95.24,-0.133840644
95.241,-0.133869791
95.242,-0.133901034
95.243,-0.133931782
95.244,-0.133955531
95.245,-0.133976166
95.246,-0.133996014
95.247,-0.134016824
95.248,-0.13403919
95.249,-0.134063244
95.25,-0.134087881
95.251,-0.134114394
95.252,-0.134142843
95.253,-0.13417138
95.254,-0.134201327
95.255,-0.134232701
95.256,-0.134264308
95.257,-0.134294576
95.258,-0.134323345
95.259,-0.134349437
95.26,-0.134373506
95.261,-0.134396294
95.262,-0.134417423
95.263,-0.134435584
95.264,-0.134453352
95.265,-0.134469024
95.266,-0.134485817
95.267,-0.134502538
95.268,-0.134519054
95.269,-0.134535716
95.27,-0.134552698
95.271,-0.134570131
95.272,-0.134586968
95.273,-0.134604226
95.274,-0.13462163
95.275,-0.134637899
95.276,-0.134654911
95.277,-0.134672286
95.278,-0.134689646
95.279,-0.134705915
95.28,-0.134721951
95.281,-0.134738948
95.282,-0.134755552
95.283,-0.134771617
95.284,-0.134787988
95.285,-0.134804141
95.286,-0.134818547
95.287,-0.134834248
95.288,-0.134849397
95.289,-0.134864604
95.29,-0.134878894
95.291,-0.134893198
95.292,-0.134907605
95.293,-0.134921589
95.294,-0.134935224
95.295,-0.13494835
95.296,-0.134961359
95.297,-0.134974282
95.298,-0.134986592
95.299,-0.134999253
95.3,-0.135011447
95.301,-0.135022754
95.302,-0.135034308
