Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
100.6,-1.579790958
100.601,-1.581811928
100.602,-1.583828358
100.603,-1.585837686
100.604,-1.587838866
100.605,-1.589841093
100.606,-1.591847977
100.607,-1.593863126
100.608,-1.595854061
100.609,-1.597845345
100.61,-1.599831041
100.611,-1.60181406
100.612,-1.603792072
100.613,-1.605771133
100.614,-1.607741928
100.615,-1.609717263
100.616,-1.611681539
100.617,-1.613658387
100.618,-1.615614281
100.619,-1.617568778
100.62,-1.619528397
100.621,-1.621481963
100.622,-1.623440883
100.623,-1.625379315
100.624,-1.627317979
100.625,-1.629250706
100.626,-1.631183317
100.627,-1.633116975
100.628,-1.63504167
100.629,-1.63696683
100.63,-1.638883958
100.631,-1.640801434
100.632,-1.642713323
100.633,-1.644619973
100.634,-1.646524295
100.635,-1.64844864
100.636,-1.650343882
100.637,-1.652235747
100.638,-1.654128078
100.639,-1.656015054
100.64,-1.657901099
100.641,-1.659778645
100.642,-1.66166015
100.643,-1.663537463
100.644,-1.665411633
100.645,-1.667277305
100.646,-1.669143443
100.647,-1.671006903
100.64799,-1.672856626
100.649,-1.674726023
100.65,-1.676569111
100.651,-1.678425353
100.652,-1.680269605
100.653,-1.682110014
100.654,-1.68394309
100.655,-1.685779542
100.656,-1.687606331
100.657,-1.689435914
100.658,-1.69125502
100.659,-1.693070051
100.66,-1.694886596
100.661,-1.696696971
100.66199,-1.698502689
100.663,-1.700326684
100.664,-1.702127862
100.665,-1.703924383
100.666,-1.7057152
100.667,-1.707513235
100.668,-1.709293807
100.669,-1.711079152
100.67,-1.712856581
100.671,-1.714634825
100.672,-1.716405735
100.673,-1.718169893
100.674,-1.719939872
100.675,-1.721702283
100.67599,-1.723465743
100.677,-1.725234673
100.678,-1.726982999
100.679,-1.728726784
100.68,-1.730470918
100.681,-1.73221936
100.682,-1.733956626
100.683,-1.735690166
100.684,-1.737418817
100.685,-1.739147119
100.686,-1.7408696
100.687,-1.742587192
100.688,-1.744301757
100.689,-1.746013528
100.68999,-1.747719361
100.691,-1.749443356
100.692,-1.751146396
100.693,-1.752838958
100.694,-1.754532568
100.695,-1.756227342
100.696,-1.757906633
100.697,-1.759591163
100.698,-1.761266962
100.699,-1.762950327
100.7,-1.764620887
100.701,-1.766286092
100.702,-1.767954556
100.703,-1.769610913
100.70399,-1.771272393
100.705,-1.772938878
100.706,-1.774592092
100.707,-1.776236692
100.708,-1.777879661
100.709,-1.77951809
100.71,-1.781161991
100.711,-1.782794134
100.712,-1.784417895
100.713,-1.786045032
100.714,-1.787669258
100.715,-1.789287431
100.716,-1.790903858
100.717,-1.792511088
100.71799,-1.794117503
100.719,-1.795734628
100.72,-1.79733499
100.721,-1.798926271
100.722,-1.800519531
100.723,-1.802102663
100.724,-1.803688356
100.725,-1.805271022
100.726,-1.806845539
100.727,-1.808422152
100.728,-1.809994457
100.729,-1.811561408
100.73,-1.813119627
100.731,-1.814678195
100.732,-1.816241303
100.733,-1.81780092
100.734,-1.819344587
100.735,-1.820889884
100.736,-1.822429127
100.737,-1.823966275
100.738,-1.825499698
100.739,-1.827024156
100.74,-1.828558045
100.741,-1.830083784
100.742,-1.831606845
100.743,-1.833113842
100.744,-1.834622701
100.745,-1.83612667
100.746,-1.837643562
100.747,-1.839148114
100.748,-1.840637648
100.749,-1.842133584
100.75,-1.843620208
100.751,-1.845103921
100.752,-1.846586587
100.753,-1.848060987
100.754,-1.849528984
100.755,-1.850994304
100.756,-1.852464746
100.757,-1.853929134
100.758,-1.855381881
100.759,-1.856835093
100.76,-1.858293195
100.761,-1.859748038
100.762,-1.861191122
100.763,-1.862628385
100.764,-1.86406367
100.765,-1.865488826
100.766,-1.866916427
100.767,-1.868335763
100.768,-1.869754284
100.769,-1.871177927
100.77,-1.872591441
100.771,-1.873997739
100.772,-1.875400776
100.77299,-1.8768023
100.774,-1.878205803
100.775,-1.879606512
100.776,-1.880988944
100.777,-1.88237126
100.778,-1.883753575
100.779,-1.885124831
100.78,-1.886493294
100.781,-1.887859195
100.782,-1.889221836
100.783,-1.89057854
100.784,-1.891939435
100.785,-1.893279725
100.786,-1.894620364
100.78699,-1.895947498
100.788,-1.897282782
100.789,-1.898609218
100.79,-1.899934374
100.791,-1.901259064
100.792,-1.902578282
100.793,-1.903905766
100.794,-1.905226149
100.795,-1.906547812
100.796,-1.907866332
100.797,-1.909182291
100.798,-1.91049953
100.799,-1.911826897
100.8,-1.913132961
100.80099,-1.914428663
100.802,-1.915726694
100.803,-1.917012385
100.804,-1.918313792
100.805,-1.919597038
100.806,-1.920871437
100.807,-1.922142459
100.808,-1.923414529
100.809,-1.924681012
100.81,-1.925946213
100.811,-1.927220263
100.812,-1.92848302
100.813,-1.929740654
100.814,-1.930994214
100.81499,-1.932231593
100.816,-1.933482592
100.817,-1.934707747
100.818,-1.935930341
100.819,-1.937135006
100.82,-1.938327332
100.821,-1.939515118
100.822,-1.940695453
100.823,-1.94188219
100.824,-1.943072421
100.825,-1.94426917
100.826,-1.945476281
100.827,-1.946681994
100.828,-1.947909943
100.82899,-1.94914022
100.83,-1.95037853
100.831,-1.951602986
100.832,-1.952820458
100.833,-1.95401418
100.834,-1.955176471
100.835,-1.95631478
100.836,-1.957427477
100.837,-1.958517358
100.838,-1.9595786
100.839,-1.960657537
100.84,-1.961756032
100.841,-1.962871989
100.842,-1.963990275
100.84299,-1.96513813
100.844,-1.966306707
100.845,-1.967478776
100.846,-1.968682511
100.847,-1.969886944
100.848,-1.971111866
100.849,-1.972262748
100.85,-1.973302569
100.851,-1.974358689
100.852,-1.975436462
100.853,-1.976527041
100.854,-1.977644395
100.855,-1.97876594
100.856,-1.979904482
100.857,-1.981003676
100.858,-1.981984591
100.859,-1.98295177
100.86,-1.983912662
100.861,-1.984859817
100.862,-1.985816751
100.863,-1.986801391
100.864,-1.987798838
100.865,-1.98881072
100.866,-1.989827957
100.867,-1.990844728
100.868,-1.991867088
100.869,-1.992885023
100.87,-1.99390552
100.871,-1.994934864
100.872,-1.995950937
100.873,-1.996967709
100.874,-1.997980522
100.875,-1.998996362
100.876,-2.000002423
100.877,-2.001010813
100.878,-2.002010122
100.879,-2.00300687
100.88,-2.004004782
100.881,-2.005001297
100.882,-2.005998045
100.883,-2.00698548
100.884,-2.007965697
100.885,-2.008948475
100.886,-2.009928459
100.887,-2.010896336
100.888,-2.011871664
100.889,-2.012832323
100.89,-2.013788326
100.891,-2.014747122
100.892,-2.01570848
100.893,-2.016651677
100.894,-2.017597435
100.895,-2.018533647
100.896,-2.019473352
100.897,-2.02040677
100.89799,-2.021331573
100.899,-2.022258705
100.9,-2.023184206
