Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
103.1,-4.969102331
103.101,-4.975304473
103.102,-4.981526639
103.103,-4.987743683
103.104,-4.993887618
103.105,-5.000086036
103.106,-5.006214604
103.107,-5.012454931
103.108,-5.018584896
103.109,-5.024696235
103.11,-5.030796397
103.111,-5.036908668
103.112,-5.043019541
103.113,-5.049084313
103.114,-5.05515933
103.115,-5.061212927
103.116,-5.067223217
103.117,-5.073248874
103.118,-5.079270806
103.119,-5.085282028
103.12,-5.091240164
103.121,-5.097292829
103.122,-5.103272386
103.123,-5.109240767
103.124,-5.11517236
103.125,-5.121112335
103.126,-5.126993172
103.127,-5.13289636
103.128,-5.138770677
103.129,-5.144655239
103.13,-5.150534213
103.131,-5.156401079
103.132,-5.162248388
103.133,-5.168077536
103.134,-5.173895974
103.135,-5.179701839
103.136,-5.185509566
103.137,-5.191289354
103.138,-5.197059829
103.139,-5.202837754
103.14,-5.208550487
103.141,-5.214310717
103.142,-5.22000948
103.143,-5.225707777
103.144,-5.231393036
103.145,-5.237064324
103.146,-5.242702551
103.147,-5.248364992
103.14799,-5.254014861
103.149,-5.259691738
103.15,-5.265316926
103.151,-5.270904396
103.152,-5.276481621
103.153,-5.282075144
103.154,-5.287609529
103.155,-5.293190479
103.156,-5.298701581
103.157,-5.304280668
103.158,-5.309757777
103.159,-5.315282848
103.16,-5.320744589
103.161,-5.326201208
103.16199,-5.331669934
103.163,-5.337148905
103.164,-5.342581309
103.165,-5.348040722
103.166,-5.353409331
103.167,-5.358824506
103.168,-5.364196375
103.169,-5.369586404
103.17,-5.374929402
103.171,-5.380269606
103.172,-5.385582335
103.173,-5.390906706
103.174,-5.396207329
103.175,-5.401494447
103.17599,-5.40678855
103.177,-5.412059836
103.178,-5.417323671
103.179,-5.422567949
103.18,-5.427787546
103.181,-5.433009937
103.182,-5.438210443
103.183,-5.443384871
103.184,-5.448556039
103.185,-5.453718361
103.186,-5.458861589
103.187,-5.464011338
103.188,-5.469108
103.189,-5.474242847
103.18999,-5.479322281
103.191,-5.48440218
103.192,-5.489514209
103.193,-5.494546611
103.194,-5.499578081
103.195,-5.50460862
103.196,-5.509605631
103.197,-5.514617078
103.198,-5.519597325
103.199,-5.52456826
103.2,-5.529498681
103.201,-5.534457043
103.202,-5.539375823
103.203,-5.54433465
103.20399,-5.549217574
103.205,-5.554145202
103.206,-5.559010897
103.207,-5.56388218
103.208,-5.568729714
103.209,-5.573560484
103.21,-5.578415934
103.211,-5.583212711
103.212,-5.588002503
103.213,-5.592789967
103.214,-5.597551819
103.215,-5.602308083
103.216,-5.607045721
103.217,-5.61177358
103.21799,-5.61645953
103.219,-5.621252116
103.22,-5.625921302
103.221,-5.630619358
103.222,-5.635240581
103.223,-5.639895797
103.224,-5.644523539
103.225,-5.649143364
103.226,-5.653729197
103.227,-5.658322945
103.228,-5.662898533
103.229,-5.667455494
103.23,-5.671999417
103.231,-5.676537752
103.232,-5.681101698
103.233,-5.685588811
103.234,-5.69008477
103.235,-5.694594234
103.236,-5.699033383
103.237,-5.70353074
103.238,-5.707946606
103.239,-5.712382961
103.24,-5.716784392
103.241,-5.721166264
103.242,-5.725549534
103.243,-5.729906261
103.244,-5.734274164
103.245,-5.738625303
103.246,-5.74294664
103.247,-5.747254472
103.248,-5.751559045
103.249,-5.755847786
103.25,-5.760112777
103.251,-5.764371715
103.252,-5.768606439
103.253,-5.772852805
103.254,-5.777020939
103.255,-5.781247281
103.256,-5.785430316
103.257,-5.789599381
103.258,-5.793733522
103.259,-5.797896069
103.26,-5.802017637
103.261,-5.806138273
103.262,-5.810214672
103.263,-5.814298522
103.264,-5.818370264
103.265,-5.822453182
103.266,-5.826465786
103.267,-5.830516573
103.268,-5.834508687
103.269,-5.83852455
103.27,-5.842485465
103.271,-5.846470129
103.272,-5.850391928
103.27299,-5.854353309
103.274,-5.858313758
103.275,-5.862235557
103.276,-5.86610008
103.277,-5.869978108
103.278,-5.87382121
103.279,-5.877661519
103.28,-5.881476682
103.281,-5.885283463
103.282,-5.889072083
103.283,-5.892906338
103.284,-5.896645598
103.285,-5.900395103
103.286,-5.904085469
103.28699,-5.907774903
103.288,-5.911473185
103.289,-5.915117916
103.29,-5.91878267
103.291,-5.922448356
103.292,-5.92611637
103.293,-5.929772276
103.294,-5.93338022
103.295,-5.937025417
103.296,-5.940650124
103.297,-5.944270175
103.298,-5.947866477
103.299,-5.951461848
103.3,-5.955039524
103.30099,-5.95858926
103.302,-5.962185096
103.303,-5.965709686
103.304,-5.969204474
103.305,-5.972695071
103.306,-5.976162385
103.307,-5.979617592
103.308,-5.983075593
103.309,-5.986503791
103.31,-5.989962257
103.311,-5.993388593
103.312,-5.99676976
103.313,-6.000179797
103.314,-6.003516261
103.31499,-6.006872281
103.316,-6.010185927
103.317,-6.01350842
103.318,-6.01674756
103.319,-6.019962486
103.32,-6.023124326
103.321,-6.026261486
103.322,-6.029379554
103.323,-6.032529753
103.324,-6.035660859
103.325,-6.038824562
103.326,-6.042009685
103.327,-6.045229267
103.328,-6.048464682
103.32899,-6.051772274
103.33,-6.055061705
103.331,-6.058348343
103.332,-6.061525084
103.333,-6.064652931
103.334,-6.0676625
103.335,-6.070597563
103.336,-6.073432043
103.337,-6.076270714
103.338,-6.079086103
103.339,-6.081951316
103.34,-6.084905472
103.341,-6.087903865
103.342,-6.090963725
103.34299,-6.094045006
103.344,-6.097066682
103.345,-6.100015715
103.346,-6.102846935
103.347,-6.105591543
103.348,-6.108263042
103.349,-6.110973656
103.35,-6.113721989
103.351,-6.116537843
103.352,-6.119394675
103.353,-6.122271065
103.354,-6.125064101
103.355,-6.127790548
103.356,-6.130448077
103.357,-6.133058574
103.358,-6.135597825
103.359,-6.138154306
103.36,-6.140736863
103.361,-6.143378094
103.362,-6.146013737
103.363,-6.148685701
103.364,-6.151327863
103.365,-6.153932307
103.366,-6.156532094
103.367,-6.159104407
103.368,-6.161645055
103.369,-6.164200604
103.37,-6.166712847
103.371,-6.16924325
103.372,-6.171759218
103.373,-6.174250506
103.374,-6.176715251
103.375,-6.179193966
103.376,-6.181617733
103.377,-6.184038706
103.378,-6.186429877
103.379,-6.188847125
103.38,-6.191208959
103.381,-6.193608977
103.382,-6.195942871
103.383,-6.198313087
103.384,-6.200616714
103.385,-6.202953402
103.386,-6.205248646
103.387,-6.207531784
103.388,-6.209785584
103.389,-6.212024484
103.39,-6.21421542
103.391,-6.216472946
103.392,-6.218641065
103.393,-6.22082781
103.394,-6.22296147
103.395,-6.225118414
103.396,-6.227234844
103.397,-6.229364313
103.39799,-6.231468637
103.399,-6.233585067
103.4,-6.235667039
103.401,-6.237733178
