Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [°/s²]
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [°/s²]

*Time (s),Line A (°/s²),Line B (°/s²),Line C (°/s²)
99.4,-8.55694990605116E-03,-6.83826732635498,.056471012532711
99.401,-8.66939406841993E-03,-6.82566404342651,5.67590594291687E-02
99.402,-8.78253951668739E-03,-6.81286859512329,5.70498816668987E-02
99.403,-8.89413710683584E-03,-6.80016326904297,5.73371313512325E-02
99.404,-9.0073999017477E-03,-6.78726387023926,5.76270185410976E-02
99.405,-9.11888666450977E-03,-6.77445459365845,5.79133406281471E-02
99.406,-9.23157017678022E-03,-6.76145076751709,5.82024455070496E-02
99.40701,-9.34444926679134E-03,-6.74839496612549,.058491051197052
99.408,-9.45703312754631E-03,-6.7352876663208,5.87792135775089E-02
99.409,-9.56876575946808E-03,-6.7222728729248,5.90637028217316E-02
99.41,-9.68168769031763E-03,-6.70906209945679,5.93510083854199E-02
99.411,-9.79345664381981E-03,-6.69594526290894,5.96346482634544E-02
99.412,-9.90630220621824E-03,-6.68263244628906,5.99211044609547E-02
99.413,-1.00178252905607E-02,-6.66941356658936,6.02038279175758E-02
99.414,-1.01308450102806E-02,-6.65599727630615,6.04893714189529E-02
99.415,-1.02427676320076E-02,-6.64267826080322,6.07713237404823E-02
99.416,-1.03556653484702E-02,-6.62916040420532,6.10559210181236E-02
99.417,-1.04676838964224E-02,-6.61574029922485,6.13369271159172E-02
99.418,-1.05814207345247E-02,-6.60212087631226,6.16205930709839E-02
99.419,-1.06932856142521E-02,-6.58860015869141,.061900682747364
99.42,-1.08067663386464E-02,-6.57487964630127,6.21835179626942E-02
99.42101,-1.09202740713954E-02,-6.56110715866089,6.24657496809959E-02
99.422,-.011034419760108,-6.54728269577026,.062747597694397
99.423,-1.11475856974721E-02,-6.5335636138916,6.30259141325951E-02
99.424,-1.12615488469601E-02,-6.51964139938354,6.33069351315498E-02
99.425,-1.13759813830256E-02,-6.50566625595093,6.35873526334763E-02
99.426,-1.14903496578336E-02,-6.49164342880249,6.38674050569534E-02
99.427,-1.16042559966445E-02,-6.47772455215454,6.41438812017441E-02
99.428,-1.17185926064849E-02,-6.46360206604004,6.44230619072914E-02
99.429,-1.18335234001279E-02,-6.44942951202393,6.47016316652298E-02
99.43,-1.19473980739713E-02,-6.43536329269409,6.49766400456429E-02
99.431,-1.20626129209995E-02,-6.42109298706055,6.52543157339096E-02
99.432,-1.21765295043588E-02,-6.40692663192749,6.55285492539406E-02
99.433,-1.22924614697695E-02,-6.3925576210022,6.58052414655685E-02
99.434,-1.24075459316373E-02,-6.37829732894897,6.60785213112831E-02
99.43501,-1.25248963013291E-02,-6.3636679649353,6.63573145866394E-02
99.436,-1.26411337405443E-02,-6.34915113449097,6.66326880455017E-02
99.437,-1.27580128610134E-02,-6.33458280563354,.066907562315464
99.438,-1.28740500658751E-02,-6.32012844085693,6.71788901090622E-02
99.439,-1.29916099831462E-02,-6.30546522140503,6.74528479576111E-02
99.44,-1.31085477769375E-02,-6.29091501235962,6.77232816815376E-02
99.441,-1.32269924506545E-02,-6.27615261077881,6.79963082075119E-02
99.442,-1.33443139493465E-02,-6.26150512695313,6.82659298181534E-02
99.443,-1.34654678404331E-02,-6.24648571014404,6.85410127043724E-02
99.444,-1.35840559378266E-02,-6.23174238204956,6.88095837831497E-02
99.445,-1.37043232098222E-02,-6.21678829193115,6.90808445215225E-02
99.446,-1.38242049142718E-02,-6.20195198059082,6.93484917283058E-02
99.447,-.013945247977972,-6.18690347671509,6.96187019348145E-02
99.448,-1.40684172511101E-02,-6.17163991928101,6.98914080858231E-02
99.44901,-1.41903385519981E-02,-6.15649509429932,.070160761475563
99.45,-1.43126836046577E-02,-6.14146947860718,7.04266205430031E-02
99.451,-1.44361965358257E-02,-6.12622928619385,7.06951096653938E-02
99.452,-1.45593024790287E-02,-6.11110925674438,7.09601268172264E-02
99.453,-.014685720205307,-6.09560966491699,7.12304413318634E-02
99.454,-1.48099232465029E-02,-6.08039617538452,7.14946016669273E-02
99.455,-.014936301857233,-6.06496715545654,7.17611089348793E-02
99.456,-1.50642963126302E-02,-6.04932308197021,.07203009724617
99.457,-1.51909831911325E-02,-6.03397083282471,7.22929611802101E-02
99.458,-1.53194712474942E-02,-6.01840162277222,7.25581124424934E-02
99.459,-1.54475700110197E-02,-6.00295925140381,7.28198662400246E-02
99.46,-1.55789460986853E-02,-5.98712635040283,7.30871334671974E-02
99.461,-1.57093573361635E-02,-5.97159051895142,7.33481124043465E-02
99.462,-1.58415194600821E-02,-5.95583724975586,7.36115947365761E-02
99.46301,-1.59756354987621E-02,-5.93986368179321,7.38775059580803E-02
99.464,-.016109885647893,-5.92401742935181,7.41399601101875E-02
99.465,-1.62456221878529E-02,-5.90812730789185,7.44021832942963E-02
99.466,-1.63823030889034E-02,-5.89218807220459,7.46639370918274E-02
99.467,-1.65193174034357E-02,-5.87638092041016,7.49225169420242E-02
99.468,-.016659514978528,-5.86017608642578,7.51862749457359E-02
99.469,-1.67987551540136E-02,-5.84427881240845,7.54439383745193E-02
99.47,-1.69415287673473E-02,-5.8279824256897,7.57069438695908E-02
99.471,-1.70838981866837E-02,-5.8119945526123,7.59638845920563E-02
99.472,-1.72301102429628E-02,-5.79560852050781,7.62260556221008E-02
99.473,-.017375947907567,-5.77953147888184,7.64822736382484E-02
99.474,-1.75256934016943E-02,-5.76305294036865,7.67438039183617E-02
99.475,-1.76761765033007E-02,-5.74670648574829,.07700215280056
99.476,-1.78289152681828E-02,-5.73031854629517,7.72601515054703E-02
99.47701,-1.79830566048622E-02,-5.71388626098633,7.75177627801895E-02
99.478,-1.81411653757095E-02,-5.69722557067871,7.77779743075371E-02
99.479,-1.82990431785583E-02,-5.68088436126709,7.80322700738907E-02
99.48,-1.84618085622787E-02,-5.66413593292236,7.82919228076935E-02
99.481,-1.86265837401152E-02,-5.64752388000488,7.85485431551933E-02
99.482,-1.87940802425146E-02,-5.63086843490601,7.88049772381783E-02
99.483,-1.89661923795938E-02,-5.61398506164551,7.90638774633408E-02
99.484,-1.91405043005943E-02,-5.59724044799805,.079319953918457
99.485,-1.93179305642843E-02,-5.58045434951782,7.95758813619614E-02
99.486,-1.95001736283302E-02,-5.56362295150757,7.98317044973373E-02
99.487,-.019687257707119,-5.54656267166138,8.00901800394058E-02
99.488,-1.98781918734312E-02,-5.52964353561401,8.03460776805878E-02
99.489,-2.00742613524199E-02,-5.5126805305481,8.06019008159637E-02
99.49,-2.02756337821484E-02,-5.49567461013794,8.08577314019203E-02
99.491,-2.04846113920212E-02,-5.4782509803772,8.11190605163574E-02
99.492,-2.06972174346447E-02,-5.46115827560425,8.13752636313439E-02
99.493,-2.09175162017345E-02,-5.44383430480957,8.16342607140541E-02
99.494,-2.11435575038195E-02,-5.42665386199951,8.18909034132957E-02
99.495,-.02137790620327,-5.40924072265625,8.21505486965179E-02
99.496,-2.16190610080957E-02,-5.3919734954834,8.24079737067223E-02
99.497,-2.18697804957628E-02,-5.3744740486145,8.26684609055519E-02
99.498,-2.21276637166739E-02,-5.35712146759033,8.29268544912338E-02
99.499,-2.23960634320974E-02,-5.33953380584717,8.31884071230888E-02
99.5,-2.26734410971403E-02,-5.32209205627441,8.34480747580528E-02
99.501,-2.29620393365622E-02,-5.30441951751709,.083711102604866
99.502,-2.32618525624275E-02,-5.28670120239258,8.39749500155449E-02
99.503,-2.35729981213808E-02,-5.2689414024353,.084239736199379
99.504,-2.38970220088959E-02,-5.25113725662231,8.45055729150772E-02
99.505,-2.42337472736835E-02,-5.2332878112793,8.47725123167038E-02
99.506,-2.45844554156065E-02,-5.21539545059204,8.50406140089035E-02
99.507,-2.49492973089218E-02,-5.19746208190918,8.53100419044495E-02
99.508,-2.53291670233011E-02,-5.17948293685913,8.55810344219208E-02
99.509,-2.57252566516399E-02,-5.16145992279053,8.58534574508667E-02
99.51,-2.61390004307032E-02,-5.14319801330566,8.61301422119141E-02
99.511,-2.65694502741098E-02,-5.12528514862061,8.64035189151764E-02
99.512,-.027019964531064,-5.10693597793579,8.66840034723282E-02
99.513,-2.74894181638956E-02,-5.08873748779297,8.69641080498695E-02
99.514,-2.79797539114952E-02,-5.0704984664917,8.72464552521706E-02
99.515,-2.84926518797874E-02,-5.05221366882324,8.75312611460686E-02
99.516,-2.90288813412189E-02,-5.03368616104126,8.78211855888367E-02
99.517,-2.95886192470789E-02,-5.01531410217285,8.81113857030869E-02
99.518,-3.01740821450949E-02,-4.99689626693726,8.84046331048012E-02
