Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]

*Time (s),Line A (mm/s²)
100,-23.2366863638163
100.001,-23.2503339648247
100.002,-23.2638772577047
100.003,-23.2773199677467
100.004,-23.2906639575958
100.005,-23.3038142323494
100.006,-23.3169589191675
100.007,-23.3300980180502
100.008,-23.3430415391922
100.009,-23.355882614851
100.01,-23.3685318380594
100.011,-23.3811773359776
100.012,-23.3937129378319
100.013,-23.4061535447836
100.014,-23.4184972941875
100.015,-23.4307330101728
100.016,-23.4427824616432
100.017,-23.4548207372427
100.018,-23.4667584300041
100.019,-23.4785955399275
100.02,-23.4903283417225
100.021,-23.5019605606794
100.022,-23.5134903341532
100.023,-23.524921387434
100.024,-23.5362481325865
100.025,-23.5474780201912
100.026,-23.5585235059261
100.027,-23.5695466399193
100.028,-23.5804729163647
100.029,-23.5912892967463
100.03,-23.6020889133215
100.031,-23.6127097159624
100.032,-23.6231461167336
100.033,-23.6335638910532
100.034,-23.6438736319542
100.035,-23.6541572958231
100.036,-23.664265871048
100.037,-23.6741974949837
100.038,-23.6841067671776
100.039,-23.6939061433077
100.04,-23.7036049365997
100.041,-23.7132031470537
100.042,-23.7226281315088
100.043,-23.7320251762867
100.044,-23.7413831055164
100.045,-23.7505715340376
100.046,-23.7596556544304
100.047,-23.76863732934
100.048,-23.7774513661861
100.049,-23.7862952053547
100.05,-23.7949714064598
100.051,-23.8036029040813
100.052,-23.8120779395103
100.053,-23.8203760236502
100.054,-23.8286387175322
100.055,-23.8367971032858
100.056,-23.8448604941368
100.057,-23.8528735935688
100.058,-23.8607227802277
100.059,-23.8684080541134
100.06,-23.8760598003864
100.061,-23.8836519420147
100.062,-23.8910876214504
100.063,-23.8984785974026
100.064,-23.9056535065174
100.065,-23.9128302782774
100.066,-23.9198468625546
100.067,-23.9267684519291
100.068,-23.9336304366589
100.069,-23.9402949810028
100.07,-23.9468980580568
100.071,-23.9534508436918
100.072,-23.9598490297794
100.073,-23.9661429077387
100.074,-23.9723734557629
100.075,-23.9784140139818
100.076,-23.9844378083944
100.077,-23.990361019969
100.078,-23.9961706101894
100.079,-24.0018367767334
100.08,-24.0073930472136
100.081,-24.0128468722105
100.082,-24.0182355046272
100.083,-24.023475125432
100.084,-24.0286495536566
100.085,-24.0336805582047
100.086,-24.0386053919792
100.087,-24.0434594452381
100.088,-24.0482073277235
100.089,-24.0528136491776
100.09,-24.0573417395353
100.091,-24.0617636591196
100.092,-24.0660719573498
100.093,-24.0702778100967
100.094,-24.0743700414896
100.095,-24.0783300250769
100.096,-24.0821726620197
100.097,-24.0859407931566
100.098,-24.0896213799715
100.099,-24.093160405755
100.1,-24.0965932607651
100.101,-24.0998826920986
100.102,-24.1030901670456
100.103,-24.1061877459288
100.104,-24.1091884672642
100.105,-24.1120737046003
100.106,-24.1148229688406
100.107,-24.1174623370171
100.108,-24.1199787706137
100.109,-24.1223964840174
100.11,-24.1246838122606
100.111,-24.1268631070852
100.112,-24.1288989782333
100.113,-24.130841717124
100.114,-24.1326633840799
100.115,-24.1343602538109
100.116,-24.1359230130911
100.117,-24.1373833268881
100.118,-24.1386983543634
100.119,-24.1399053484201
100.12,-24.1409745067358
100.121,-24.1419244557619
100.122,-24.142736569047
100.123,-24.1434164345264
100.124,-24.1439659148455
100.125,-24.1443775594234
100.126,-24.1446532309055
100.127,-24.1447910666466
100.128,-24.1447910666466
100.129,-24.1446457803249
100.13,-24.1443552076817
100.131,-24.143923074007
100.132,-24.1433326154947
100.133,-24.1425894200802
100.134,-24.1416990756989
100.135,-24.1406373679638
100.136,-24.1394210606813
100.137,-24.1380315274
100.138,-24.1364762187004
100.139,-24.1347495466471
100.14,-24.132838472724
100.141,-24.1307429969311
100.142,-24.1284612566233
100.143,-24.1259783506393
100.144,-24.1232980042696
100.145,-24.1204034537077
100.146,-24.1172779351473
100.147,-24.1139456629753
100.148,-24.1103656589985
100.149,-24.1065360605717
100.15,-24.102471768856
100.151,-24.0981187671423
100.152,-24.0934733301401
100.153,-24.0885391831398
100.154,-24.0832697600126
100.155,-24.0776967257261
100.156,-24.0717343986034
100.157,-24.0653809159994
100.158,-24.0586213767529
100.159,-24.0514036267996
100.16,-24.0436606109142
100.161,-24.0354519337416
100.162,-24.0266285836697
100.163,-24.0171495825052
100.164,-24.0069851279259
100.165,-23.9959917962551
100.166,-23.9841435104609
100.167,-23.9712540060282
100.168,-23.9572450518608
100.169,-23.9418931305408
100.17,-23.9250119775534
100.171,-23.906372487545
100.172,-23.8855965435505
100.173,-23.8622948527336
100.174,-23.8358769565821
100.175,-23.8057728856802
100.176,-23.771021515131
100.177,-23.7304326146841
100.178,-23.6822813749313
100.179,-23.6244630068541
100.18,-23.5539618879557
100.181,-23.4670247882605
100.182,-23.3593620359898
100.183,-23.2285298407078
100.184,-22.5273557007313
100.185,-21.5271916240454
100.186,-20.3364659100771
100.187,-19.1812049597502
100.188,-18.2911958545446
100.189,-17.9381296038628
100.19,-17.7728869020939
100.191,-17.6461786031723
100.192,-17.5471529364586
100.193,-17.468236386776
100.194,-17.4041092395782
100.195,-17.351146787405
100.196,-17.3067729920149
100.197,-17.2691866755486
100.198,-17.2370336949825
100.199,-17.2092653810978
100.2,-17.1851236373186
100.201,-17.1640459448099
100.202,-17.1454977244139
100.203,-17.12916046381
100.204,-17.1147435903549
100.205,-17.101963981986
100.206,-17.0906037092209
100.207,-17.0805379748344
100.208,-17.0715674757957
100.209,-17.0636549592018
100.21,-17.0565769076347
100.211,-17.0503258705139
100.212,-17.044797539711
100.213,-17.0398876070976
100.214,-17.0356165617704
100.215,-17.0318409800529
100.216,-17.028508707881
100.217,-17.0256271958351
100.218,-17.02312938869
100.219,-17.0209668576717
100.22,-17.01913587749
100.221,-17.0175284147263
100.222,-17.0161463320255
100.223,-17.0149933546782
100.224,-17.0139595866203
100.225,-17.0130860060453
100.226,-17.0122645795345
100.227,-17.0115400105715
100.228,-17.0108042657375
100.229,-17.010098323226
100.23,-17.0093141496181
100.231,-17.0084368437529
100.232,-17.0074738562107
100.233,-17.0063078403473
100.234,-17.0049667358398
100.235,-17.0033350586891
100.236,-17.0014947652817
100.237,-16.9992372393608
100.238,-16.9966574758291
100.239,-16.9936139136553
100.24,-16.9901587069035
100.241,-16.9862434267998
100.242,-16.9816948473454
100.243,-16.976572573185
100.244,-16.9707015156746
100.245,-16.9641952961683
100.246,-16.9569011777639
100.247,-16.94873906672
100.248,-16.9395934790373
100.249,-16.9294588267803
100.25,-16.9181544333696
100.251,-16.9056691229343
100.252,-16.8918389827013
100.253,-16.8765354901552
100.254,-16.8595556169748
100.255,-16.840847209096
100.256,-16.820115968585
100.257,-16.797261312604
