Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
101.1,-9.49E-03,-0.828490476,-3.116938053
101.101,-9.45E-03,-0.829190423,-3.116179723
101.102,-9.41E-03,-0.829889032,-3.115429776
101.103,-9.38E-03,-0.830589677,-3.114671446
101.104,-9.34E-03,-0.831288402,-3.11391335
101.105,-9.30E-03,-0.831988757,-3.113147337
101.106,-9.27E-03,-0.832687074,-3.112372011
101.107,-9.23E-03,-0.833389931,-3.111601109
101.108,-9.19E-03,-0.834084873,-3.110809019
101.109,-9.16E-03,-0.83478319,-3.110031597
101.11,-9.12E-03,-0.835477374,-3.109245794
101.111,-9.08E-03,-0.836175925,-3.108466044
101.112,-9.05E-03,-0.83686685,-3.107673023
101.113,-9.01E-03,-0.837561209,-3.1068807
101.114,-8.97E-03,-0.83825778,-3.106088843
101.115,-8.94E-03,-0.8389508,-3.105286509
101.116,-8.90E-03,-0.839644461,-3.104477655
101.117,-8.86E-03,-0.840335968,-3.103664378
101.118,-8.83E-03,-0.841027824,-3.102858085
101.119,-8.79E-03,-0.841719098,-3.102033865
101.12,-8.75E-03,-0.842407986,-3.101207782
101.121,-8.72E-03,-0.84310188,-3.100374248
101.122,-8.68E-03,-0.84379391,-3.099552123
101.123,-8.64E-03,-0.844481692,-3.098717658
101.124,-8.61E-03,-0.845170463,-3.097887617
101.125,-8.57E-03,-0.845855917,-3.09705385
101.126,-8.53E-03,-0.846542534,-3.096205415
101.127,-8.50E-03,-0.847230898,-3.095366992
101.128,-8.46E-03,-0.847914547,-3.094511339
101.129,-8.42E-03,-0.848599244,-3.093667096
101.13,-8.39E-03,-0.849284697,-3.09280795
101.131,-8.35E-03,-0.849965669,-3.09194345
101.132,-8.31E-03,-0.850648968,-3.091079416
101.133,-8.28E-03,-0.851330231,-3.09020537
101.134,-8.24E-03,-0.852011726,-3.089333884
101.135,-8.20E-03,-0.852698809,-3.088451689
101.136,-8.17E-03,-0.85337949,-3.087576246
101.137,-8.13E-03,-0.854057202,-3.086685669
101.138,-8.09E-03,-0.854735903,-3.085803473
101.139,-8.06E-03,-0.855414546,-3.084920812
101.14,-8.02E-03,-0.856089639,-3.08402814
101.141,-7.98E-03,-0.856772298,-3.083142452
101.142,-7.95E-03,-0.857445702,-3.082231386
101.143,-7.91E-03,-0.858118176,-3.081329167
101.144,-7.87E-03,-0.858794723,-3.080423456
101.145,-7.84E-03,-0.859465974,-3.079512855
101.146,-7.80E-03,-0.860139611,-3.078592708
101.147,-7.76E-03,-0.860811211,-3.077670466
101.14799,-7.73E-03,-0.861482986,-3.076756839
101.149,-7.69E-03,-0.862156798,-3.075814573
101.15,-7.65E-03,-0.86282799,-3.074894659
101.151,-7.62E-03,-0.863494934,-3.073956352
101.152,-7.58E-03,-0.864164031,-3.073020605
101.153,-7.54E-03,-0.864831032,-3.07208579
101.154,-7.51E-03,-0.865494483,-3.071147716
101.155,-7.47E-03,-0.866162009,-3.070201259
101.156,-7.43E-03,-0.866827555,-3.069256665
101.157,-7.40E-03,-0.867489667,-3.06829554
101.158,-7.36E-03,-0.868151197,-3.06734466
101.159,-7.33E-03,-0.868812378,-3.066387493
101.16,-7.29E-03,-0.869473151,-3.065416589
101.161,-7.25E-03,-0.870133983,-3.064450342
101.16199,-7.22E-03,-0.87079074,-3.063479206
101.163,-7.18E-03,-0.871454948,-3.062495962
101.164,-7.14E-03,-0.872109667,-3.061519703
101.165,-7.11E-03,-0.87276689,-3.060546005
101.166,-7.07E-03,-0.87341998,-3.059564624
101.167,-7.03E-03,-0.874073477,-3.058577655
101.168,-7.00E-03,-0.87472453,-3.057588823
101.169,-6.96E-03,-0.875375699,-3.056598827
101.17,-6.92E-03,-0.876021979,-3.055603942
101.171,-6.89E-03,-0.876671227,-3.054607427
101.172,-6.85E-03,-0.877318147,-3.053602297
101.173,-6.82E-03,-0.877965125,-3.052599728
101.174,-6.78E-03,-0.878606515,-3.051573411
101.175,-6.74E-03,-0.879247149,-3.05057154
101.17599,-6.71E-03,-0.87988883,-3.049551742
101.177,-6.67E-03,-0.880531501,-3.048527054
101.178,-6.63E-03,-0.881168817,-3.04749771
101.179,-6.60E-03,-0.881804095,-3.046479076
101.18,-6.56E-03,-0.882436638,-3.045449965
101.181,-6.52E-03,-0.88307017,-3.044430399
101.182,-6.49E-03,-0.883697241,-3.043393837
101.183,-6.45E-03,-0.88432763,-3.042359138
101.184,-0.00641462,-0.884950743,-3.041311866
101.185,-6.38E-03,-0.885574613,-3.040272743
101.186,-6.34E-03,-0.886194408,-3.039229894
101.187,-6.31E-03,-0.886812457,-3.038166091
101.188,-6.27E-03,-0.887427886,-3.037113464
101.189,-6.23E-03,-0.888045179,-3.036076901
101.18999,-6.20E-03,-0.888653798,-3.035017755
101.191,-6.16E-03,-0.889267016,-3.033946734
101.192,-6.12E-03,-0.889869174,-3.032884095
101.193,-6.09E-03,-0.890471973,-3.031817032
101.194,-6.05E-03,-0.891068194,-3.030747641
101.195,-6.01E-03,-0.891663425,-3.029685467
101.196,-5.98E-03,-0.892254815,-3.028612817
101.197,-5.94E-03,-0.892840093,-3.027538303
101.198,-5.91E-03,-0.893426652,-3.026462393
101.199,-5.87E-03,-0.894003431,-3.025379498
101.2,-5.83E-03,-0.894580327,-3.02430708
101.201,-5.80E-03,-0.895150588,-3.023210447
101.202,-5.76E-03,-0.895714446,-3.022117075
101.203,-5.72E-03,-0.89627679,-3.021039302
101.20399,-5.69E-03,-0.89682953,-3.01994849
101.205,-5.65E-03,-0.897386693,-3.018847434
101.206,-5.62E-03,-0.897927675,-3.017749637
101.207,-5.58E-03,-0.898469065,-3.016662085
101.208,-5.54E-03,-0.898997823,-3.015556606
101.209,-5.51E-03,-0.899525534,-3.014469519
101.21,-5.47E-03,-0.900041545,-3.013368696
101.211,-0.005434216,-0.900555227,-3.012274625
101.212,-5.40E-03,-0.901056046,-3.011176363
101.213,-5.36E-03,-0.901550346,-3.010061337
101.214,-5.33E-03,-0.902037893,-3.008964239
101.215,-5.29E-03,-0.902513159,-3.007843858
101.216,-5.25E-03,-0.902982312,-3.006744897
101.217,-5.22E-03,-0.903440116,-3.005633596
101.21799,-5.18E-03,-0.903889071,-3.004534636
101.219,-5.14E-03,-0.904332555,-3.003412858
101.22,-5.11E-03,-0.904759392,-3.002314363
101.221,-5.07E-03,-0.90517354,-3.001212142
101.222,-5.04E-03,-0.905575929,-3.000108292
101.223,-5.00E-03,-0.90596365,-2.999015385
101.224,-4.96E-03,-0.906337111,-2.997899894
101.225,-4.93E-03,-0.906699512,-2.996805822
101.226,-4.89E-03,-0.907041656,-2.995698247
101.227,-4.86E-03,-0.90737181,-2.994604874
101.228,-4.82E-03,-0.907684735,-2.993488451
101.229,-4.78E-03,-0.907978741,-2.99239438
101.23,-4.75E-03,-0.908254704,-2.99130124
101.231,-4.71E-03,-0.908512215,-2.9902237
101.232,-4.67E-03,-0.908751448,-2.98912148
101.233,-4.64E-03,-0.908965478,-2.98803905
101.234,-4.60E-03,-0.909156865,-2.986956853
101.235,-4.57E-03,-0.909322931,-2.985883271
101.236,-4.53E-03,-0.90946455,-2.984812949
101.237,-4.49E-03,-0.909575436,-2.98375031
101.238,-4.46E-03,-0.909659488,-2.982688602
101.239,-4.42E-03,-0.909714552,-2.981632249
101.24,-4.39E-03,-0.909742841,-2.980593825
101.241,-4.35E-03,-0.909726543,-2.979545621
101.242,-4.31E-03,-0.909677125,-2.978499047
101.243,-4.28E-03,-0.909592782,-2.977472031
101.244,-4.24E-03,-0.909465132,-2.976458753
101.245,-4.21E-03,-0.909293303,-2.975461073
101.246,-4.17E-03,-0.909077819,-2.974451054
101.247,-4.13E-03,-0.908812857,-2.97347689
101.248,-4.10E-03,-0.908486021,-2.972503891
101.249,-4.06E-03,-0.908108719,-2.971550683
101.25,-4.03E-03,-0.907662965,-2.970614936
101.251,-3.99E-03,-0.907153124,-2.969703637
101.252,-3.95E-03,-0.906566624,-2.968797693
