Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.3,-3.05E-03
103.301,-3.05E-03
103.302,-3.05E-03
103.303,-3.05E-03
103.304,-3.05E-03
103.305,-3.05E-03
103.306,-3.05E-03
103.30701,-3.05E-03
103.30801,-3.05E-03
103.30901,-3.06E-03
103.31001,-3.06E-03
103.311,-3.06E-03
103.312,-3.06E-03
103.313,-3.06E-03
103.314,-3.06E-03
103.315,-3.06E-03
103.316,-3.06E-03
103.317,-3.06E-03
103.318,-3.06E-03
103.319,-3.07E-03
103.32,-3.07E-03
103.32101,-3.07E-03
103.32201,-3.07E-03
103.32301,-3.07E-03
103.32401,-3.07E-03
103.325,-3.07E-03
103.326,-3.07E-03
103.327,-3.07E-03
103.328,-3.07E-03
103.329,-3.07E-03
103.33,-3.08E-03
103.331,-3.08E-03
103.332,-3.08E-03
103.333,-3.08E-03
103.334,-3.08E-03
103.33501,-3.08E-03
103.33601,-3.08E-03
103.33701,-3.08E-03
103.33801,-3.08E-03
103.339,-3.08E-03
103.34,-3.08E-03
103.341,-3.09E-03
103.342,-3.09E-03
103.343,-3.09E-03
103.344,-3.09E-03
103.345,-3.09E-03
103.346,-3.09E-03
103.347,-3.09E-03
103.348,-3.09E-03
103.34901,-3.09E-03
103.35001,-3.09E-03
103.35101,-3.09E-03
103.35201,-3.09E-03
103.353,-3.09E-03
103.354,-3.10E-03
103.355,-3.10E-03
103.356,-3.10E-03
103.357,-3.10E-03
103.358,-3.10E-03
103.359,-3.10E-03
103.36,-3.10E-03
103.361,-3.10E-03
103.362,-3.10E-03
103.36301,-3.10E-03
103.36401,-3.10E-03
103.36501,-3.10E-03
103.366,-3.10E-03
103.367,-3.10E-03
103.368,-3.10E-03
103.369,-3.11E-03
103.37,-3.11E-03
103.371,-3.11E-03
103.372,-3.11E-03
103.373,-3.11E-03
103.374,-3.11E-03
103.375,-3.11E-03
103.376,-3.11E-03
103.37701,-3.11E-03
103.37801,-3.11E-03
103.37901,-3.11E-03
103.38,-3.11E-03
103.381,-3.11E-03
103.382,-3.11E-03
103.383,-3.11E-03
103.384,-3.11E-03
103.385,-3.11E-03
103.386,-3.11E-03
103.387,-3.11E-03
103.388,-3.11E-03
103.389,-3.11E-03
103.39,-3.11E-03
103.39101,-3.11E-03
103.39201,-3.11E-03
103.39301,-3.11E-03
103.394,-3.11E-03
103.395,-3.11E-03
103.396,-3.11E-03
103.397,-3.11E-03
103.398,-3.11E-03
103.399,-3.11E-03
103.4,-3.11E-03
103.401,-3.11E-03
103.402,-3.11E-03
103.403,-3.11E-03
103.404,-3.11E-03
103.40501,-3.11E-03
103.40601,-3.11E-03
103.40701,-3.10E-03
103.408,-3.10E-03
103.409,-3.10E-03
103.41,-3.10E-03
103.411,-3.10E-03
103.412,-3.10E-03
103.413,-3.10E-03
103.414,-3.09E-03
103.415,-3.09E-03
103.416,-3.09E-03
103.417,-3.09E-03
103.418,-3.09E-03
103.41901,-3.08E-03
103.42001,-3.08E-03
103.42101,-3.08E-03
103.422,-3.07E-03
103.423,-3.07E-03
103.424,-3.07E-03
103.425,-3.06E-03
103.426,-3.06E-03
103.427,-3.06E-03
103.428,-3.05E-03
103.429,-3.05E-03
103.43,-3.04E-03
103.431,-3.04E-03
103.43201,-3.03E-03
103.43301,-3.02E-03
103.43401,-3.02E-03
103.43501,-3.01E-03
103.436,-3.00E-03
103.437,-3.00E-03
103.438,-2.99E-03
103.439,-2.98E-03
103.44,-2.97E-03
103.441,-2.96E-03
103.442,-2.95E-03
103.443,-2.94E-03
103.444,-2.93E-03
103.445,-2.92E-03
103.44601,-2.90E-03
103.44701,-2.89E-03
103.44801,-2.88E-03
103.44901,-2.86E-03
103.45,-2.85E-03
103.451,-2.83E-03
103.452,-2.81E-03
103.453,-2.79E-03
103.454,-2.77E-03
103.455,-2.75E-03
103.456,-2.72E-03
103.457,-2.70E-03
103.458,-2.67E-03
103.459,-2.64E-03
103.46001,-2.61E-03
103.46101,-2.58E-03
103.46201,-2.54E-03
103.46301,-2.50E-03
103.464,-2.45E-03
103.465,-2.40E-03
103.466,-2.35E-03
103.467,-2.29E-03
103.468,-2.22E-03
103.469,-2.15E-03
103.47,-2.07E-03
103.471,-1.97E-03
103.472,-1.86E-03
103.473,-1.73E-03
103.47401,-1.57E-03
103.47501,-1.38E-03
103.47601,-1.15E-03
103.47701,-8.53E-04
103.478,-4.60E-04
103.479,8.65E-05
103.48,9.04E-04
103.481,2.27E-03
103.482,5.03E-03
103.483,1.34E-02
103.484,3.80E-02
103.485,0.013811863
103.486,8.15E-03
103.487,5.70E-03
103.48801,4.23E-03
103.48901,3.21E-03
103.49001,2.59E-03
103.491,2.23E-03
103.492,2.05E-03
103.493,1.98E-03
103.494,2.00E-03
103.495,2.09E-03
103.496,2.22E-03
103.497,2.40E-03
103.498,2.60E-03
103.499,2.84E-03
103.5,0.003102065
103.501,3.38E-03
103.50201,3.68E-03
103.50301,3.98E-03
103.50401,4.23E-03
103.505,4.42E-03
103.506,4.55E-03
103.507,4.63E-03
103.508,4.68E-03
103.509,4.68E-03
103.51,4.65E-03
103.511,4.59E-03
103.512,4.51E-03
103.513,4.40E-03
103.514,4.27E-03
103.515,4.12E-03
103.51601,3.96E-03
103.51701,3.83E-03
103.51801,3.73E-03
103.519,0.003671168
103.52,3.64E-03
103.521,3.63E-03
103.522,3.64E-03
103.523,3.67E-03
103.524,3.72E-03
103.525,3.78E-03
103.526,3.85E-03
103.527,3.92E-03
103.528,3.97E-03
103.529,4.00E-03
103.53001,4.02E-03
103.53101,4.03E-03
103.53201,4.03E-03
103.533,4.03E-03
103.534,4.04E-03
103.535,4.05E-03
103.536,4.07E-03
103.537,4.11E-03
103.538,4.15E-03
103.539,4.19E-03
103.54,4.21E-03
103.541,4.23E-03
103.542,4.23E-03
103.543,4.20E-03
103.54401,4.15E-03
103.54501,4.06E-03
103.54601,3.95E-03
103.547,3.84E-03
103.548,3.74E-03
103.549,3.67E-03
103.55,3.62E-03
103.551,3.60E-03
103.552,3.61E-03
103.553,3.67E-03
103.554,3.78E-03
103.555,3.96E-03
103.556,4.21E-03
103.55701,4.49E-03
103.55801,4.79E-03
103.55901,5.13E-03
103.56001,5.54E-03
103.561,6.13E-03
103.562,7.34E-03
103.563,1.61E-02
103.564,-1.83E-03
103.565,-3.97E-03
103.566,-4.57E-03
103.567,-4.85E-03
103.568,-5.01E-03
103.569,-5.11E-03
103.57,-5.19E-03
103.57101,-5.24E-03
103.57201,-5.28E-03
103.57301,-5.31E-03
103.57401,-5.33E-03
103.575,-5.35E-03
103.576,-5.37E-03
103.577,-5.38E-03
103.578,-5.39E-03
103.579,-5.40E-03
103.58,-5.41E-03
103.581,-5.41E-03
103.582,-5.42E-03
103.583,-5.42E-03
103.584,-5.42E-03
103.58501,-5.42E-03
103.58601,-5.42E-03
103.58701,-5.43E-03
103.58801,-5.43E-03
103.589,-5.43E-03
103.59,-5.43E-03
103.591,-5.43E-03
103.592,-5.43E-03
103.593,-5.43E-03
103.594,-5.43E-03
103.595,-5.43E-03
103.596,-5.43E-03
103.597,-5.43E-03
103.598,-5.43E-03
103.59901,-5.43E-03
103.60001,-5.43E-03
103.60101,-5.43E-03
103.60201,-5.42E-03
103.603,-5.42E-03
103.604,-5.41E-03
103.605,-5.40E-03
103.606,-5.39E-03
103.607,-5.38E-03
103.608,-5.36E-03
103.609,-5.34E-03
103.61,-5.32E-03
103.611,-5.29E-03
103.612,-5.26E-03
103.61301,-5.22E-03
103.61401,-5.17E-03
103.61501,-5.11E-03
103.616,-5.04E-03
103.617,-4.96E-03
103.618,-4.87E-03
103.619,-4.75E-03
103.62,-4.60E-03
103.621,-4.42E-03
103.622,-4.17E-03
103.623,-3.84E-03
103.624,-3.36E-03
103.625,-2.58E-03
103.626,-1.10E-03
103.62701,2.94E-03
103.62801,3.41E-02
103.62901,1.30E-02
103.63,8.16E-03
103.631,6.43E-03
