Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²]
,
*Time (s),Line A (?s?
99.9,-1.69E-03
99.901,-1.69E-03
99.902,-1.70E-03
99.903,-1.70E-03
99.904,-1.71E-03
99.905,-1.71E-03
99.906,-1.71E-03
99.90701,-1.72E-03
99.908,-1.72E-03
99.909,-1.73E-03
99.91,-1.73E-03
99.911,-1.74E-03
99.912,-1.74E-03
99.913,-1.75E-03
99.914,-1.75E-03
99.915,-1.76E-03
99.916,-1.76E-03
99.917,-1.77E-03
99.918,-1.77E-03
99.919,-1.78E-03
99.92,-1.78E-03
99.92101,-1.79E-03
99.922,-1.79E-03
99.923,-1.80E-03
99.924,-1.80E-03
99.925,-1.81E-03
99.926,-1.81E-03
99.927,-1.82E-03
99.928,-1.82E-03
99.929,-1.83E-03
99.93,-1.83E-03
99.931,-1.84E-03
99.932,-1.84E-03
99.933,-1.85E-03
99.934,-1.85E-03
99.93501,-1.86E-03
99.936,-1.86E-03
99.937,-1.87E-03
99.938,-1.87E-03
99.939,-1.88E-03
99.94,-1.88E-03
99.941,-1.89E-03
99.942,-1.89E-03
99.943,-1.89E-03
99.944,-1.90E-03
99.945,-1.90E-03
99.946,-1.91E-03
99.947,-1.91E-03
99.948,-1.92E-03
99.94901,-1.92E-03
99.95,-1.93E-03
99.951,-1.93E-03
99.952,-1.94E-03
99.953,-1.94E-03
99.954,-1.95E-03
99.955,-1.95E-03
99.956,-1.96E-03
99.957,-1.96E-03
99.958,-1.97E-03
99.959,-1.97E-03
99.96,-1.98E-03
99.961,-1.98E-03
99.962,-1.99E-03
99.96301,-0.001990698
99.964,-2.00E-03
99.965,-2.00E-03
99.966,-2.00E-03
99.967,-2.01E-03
99.968,-2.01E-03
99.969,-2.02E-03
99.97,-2.02E-03
99.971,-2.03E-03
99.972,-2.03E-03
99.973,-2.04E-03
99.974,-2.04E-03
99.975,-2.05E-03
99.976,-2.05E-03
99.97701,-2.06E-03
99.978,-2.06E-03
99.979,-2.07E-03
99.98,-2.07E-03
99.981,-2.07E-03
99.982,-2.08E-03
99.983,-2.08E-03
99.984,-2.09E-03
99.985,-2.09E-03
99.986,-2.10E-03
99.987,-2.10E-03
99.988,-2.11E-03
99.989,-2.11E-03
99.99,-2.11E-03
99.991,-2.12E-03
99.992,-2.12E-03
99.993,-2.13E-03
99.994,-2.13E-03
99.995,-2.14E-03
99.996,-2.14E-03
99.997,-2.14E-03
99.998,-2.15E-03
99.999,-2.15E-03
100,-2.16E-03
100.001,-2.16E-03
100.002,-2.16E-03
100.003,-2.17E-03
100.004,-2.17E-03
100.005,-2.18E-03
100.006,-2.18E-03
100.007,-2.18E-03
100.008,-2.19E-03
100.009,-2.19E-03
100.01,-2.19E-03
100.011,-2.20E-03
100.012,-0.002201043
100.013,-2.20E-03
100.014,-2.21E-03
100.015,-2.21E-03
100.016,-2.21E-03
100.017,-2.22E-03
100.018,-2.22E-03
100.019,-2.22E-03
100.02,-2.22E-03
100.021,-2.23E-03
100.022,-2.23E-03
100.023,-2.23E-03
100.024,-2.23E-03
100.025,-2.23E-03
100.026,-2.24E-03
100.027,-2.24E-03
100.028,-2.24E-03
100.029,-2.24E-03
100.03,-2.24E-03
100.031,-2.24E-03
100.03201,-2.24E-03
100.033,-2.24E-03
100.034,-2.24E-03
100.035,-2.24E-03
100.036,-2.24E-03
100.037,-0.002238555
100.038,-2.24E-03
100.039,-2.24E-03
100.04,-2.23E-03
100.041,-2.23E-03
100.042,-2.23E-03
100.043,-2.22E-03
100.044,-2.22E-03
100.045,-2.22E-03
100.04601,-2.21E-03
100.047,-2.21E-03
100.048,-2.20E-03
100.049,-2.19E-03
100.05,-2.19E-03
100.051,-2.18E-03
100.052,-2.17E-03
100.053,-2.16E-03
100.054,-0.002148692
100.055,-2.14E-03
100.056,-2.12E-03
100.057,-2.11E-03
100.058,-2.09E-03
100.059,-2.08E-03
100.06001,-2.06E-03
100.061,-2.04E-03
100.062,-2.01E-03
100.063,-1.99E-03
100.064,-1.96E-03
100.065,-1.93E-03
100.066,-1.89E-03
100.067,-1.85E-03
100.068,-1.81E-03
100.069,-1.75E-03
100.07,-1.70E-03
100.071,-1.63E-03
100.072,-1.55E-03
100.073,-1.45E-03
100.07401,-1.34E-03
100.075,-1.20E-03
100.076,-1.02E-03
100.077,-7.98E-04
100.078,-4.95E-04
100.079,-6.45E-05
100.08,5.94E-04
100.081,1.74E-03
100.082,4.21E-03
100.083,1.30E-02
100.084,2.19E-02
100.085,9.03E-03
100.086,5.74E-03
100.087,4.18E-03
100.08801,3.22E-03
100.089,2.67E-03
100.09,2.38E-03
100.091,2.23E-03
100.092,2.19E-03
100.093,2.21E-03
100.094,2.29E-03
100.095,2.40E-03
100.096,2.55E-03
100.097,2.72E-03
100.098,2.91E-03
100.099,3.12E-03
100.1,3.34E-03
100.101,3.51E-03
100.10201,3.62E-03
100.103,3.70E-03
100.104,3.74E-03
100.105,3.75E-03
100.106,3.72E-03
100.107,3.67E-03
100.108,3.60E-03
100.109,3.51E-03
100.11,3.41E-03
100.111,3.33E-03
100.112,3.28E-03
100.113,3.26E-03
100.114,3.26E-03
100.115,3.29E-03
100.116,3.34E-03
100.117,3.40E-03
100.118,3.48E-03
100.119,3.53E-03
100.12,3.57E-03
100.121,3.58E-03
100.122,3.58E-03
100.123,3.57E-03
100.124,3.55E-03
100.125,3.52E-03
100.126,3.50E-03
100.127,3.49E-03
100.128,3.50E-03
100.129,3.51E-03
100.13,3.53E-03
100.131,3.55E-03
100.132,3.56E-03
100.133,3.57E-03
100.134,3.58E-03
100.135,3.59E-03
100.136,3.60E-03
100.137,3.63E-03
100.138,3.65E-03
100.139,3.67E-03
100.14,3.67E-03
100.141,3.66E-03
100.142,3.64E-03
100.143,3.63E-03
100.144,3.63E-03
100.145,3.65E-03
100.146,3.68E-03
100.147,3.72E-03
100.148,3.74E-03
100.149,3.74E-03
100.15,3.71E-03
100.151,3.65E-03
100.152,3.61E-03
100.153,3.59E-03
100.154,3.59E-03
100.155,3.64E-03
100.156,3.74E-03
100.15701,3.89E-03
100.158,4.04E-03
100.159,4.19E-03
100.16,4.34E-03
100.161,4.47E-03
100.162,4.57E-03
100.163,4.47E-03
100.164,-5.01E-03
100.165,-4.92E-03
100.166,-4.89E-03
100.167,-4.87E-03
100.168,-4.86E-03
100.169,-0.004854757
100.17,-4.85E-03
100.17101,-4.84E-03
100.172,-4.84E-03
100.173,-4.83E-03
100.174,-4.83E-03
100.175,-4.82E-03
100.176,-4.82E-03
100.177,-4.81E-03
100.178,-4.81E-03
100.179,-4.81E-03
100.18,-4.80E-03
100.181,-4.80E-03
100.182,-4.80E-03
100.183,-4.80E-03
100.184,-4.80E-03
100.18501,-4.79E-03
100.186,-4.79E-03
100.187,-4.79E-03
100.188,-4.79E-03
100.189,-4.79E-03
100.19,-4.79E-03
100.191,-4.79E-03
100.192,-4.79E-03
100.193,-4.80E-03
100.194,-4.80E-03
100.195,-4.80E-03
100.196,-4.80E-03
100.197,-4.80E-03
100.198,-4.80E-03
100.19901,-4.80E-03
100.2,-4.80E-03
100.201,-4.80E-03
100.202,-4.80E-03
100.203,-4.79E-03
100.204,-4.79E-03
100.205,-4.78E-03
100.206,-4.77E-03
100.207,-4.75E-03
100.208,-4.74E-03
100.209,-4.71E-03
100.21,-4.69E-03
100.211,-4.65E-03
100.212,-4.61E-03
100.21301,-4.57E-03
100.214,-4.51E-03
100.215,-4.44E-03
100.216,-4.36E-03
100.217,-4.26E-03
100.218,-4.14E-03
100.219,-4.00E-03
100.22,-3.82E-03
100.221,-3.59E-03
100.222,-3.28E-03
100.223,-2.86E-03
100.224,-2.23E-03
100.225,-1.20E-03
100.226,8.75E-04
100.22701,7.14E-03
100.228,0.029752791
100.229,1.23E-02
100.23,8.21E-03
100.231,6.58E-03
100.232,5.73E-03
100.233,5.21E-03
100.234,4.88E-03
100.235,4.65E-03
100.236,4.50E-03
100.237,4.41E-03
100.238,4.35E-03
