Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²]
,
*Time (s),Line A (?s?
100.6,0.132558316
100.601,0.132603064
100.602,0.132647544
100.603,0.132691979
100.604,0.132735997
100.605,0.132779926
100.606,0.132823095
100.607,0.132867292
100.608,0.132909983
100.609,0.132952929
100.61,0.132995516
100.611,0.133037999
100.612,0.133079469
100.613,0.133121729
100.614,0.133163288
100.615,0.13320522
100.616,0.133245796
100.617,0.133287311
100.618,0.133327916
100.619,0.133368209
100.62,0.133408368
100.621,0.133448258
100.622,0.133487999
100.623,0.133527473
100.624,0.133566216
100.625,0.133605167
100.626,0.133643791
100.627,0.133682221
100.628,0.133720264
100.629,0.13375856
100.63,0.13379617
100.631,0.133833215
100.632,0.133870363
100.633,0.13390699
100.634,0.133943453
100.635,0.133980572
100.636,0.134016514
100.637,0.134052038
100.638,0.134087667
100.639,0.134122953
100.64,0.134158432
100.641,0.134193242
100.642,0.134227738
100.643,0.134262249
100.644,0.134296268
100.645,0.13432999
100.646,0.134363607
100.647,0.134397075
100.64799,0.134429917
100.649,0.134462908
100.65,0.134495437
100.651,0.134528428
100.652,0.134559914
100.653,0.134592041
100.654,0.134623751
100.655,0.134655133
100.656,0.134685919
100.657,0.134716615
100.658,0.134747043
100.659,0.134777278
100.66,0.134807244
100.661,0.134836867
100.66199,0.134866297
100.663,0.134896055
100.664,0.134925053
100.665,0.134953767
100.666,0.134982347
100.667,0.135010451
100.668,0.135038093
100.669,0.135065898
100.67,0.135093093
100.671,0.135120884
100.672,0.135147318
100.673,0.135174066
100.674,0.135200649
100.675,0.135226697
100.67599,0.135252804
100.677,0.135278657
100.678,0.135303691
100.679,0.135328934
100.68,0.135353655
100.681,0.135378733
100.682,0.135402799
100.683,0.135426849
100.684,0.135450646
100.685,0.135474548
100.686,0.135497913
100.687,0.135520577
100.688,0.135543242
100.689,0.135565549
100.68999,0.135587871
100.691,0.135610327
100.692,0.135631919
100.693,0.135652825
100.694,0.13567394
100.695,0.135695145
100.696,0.135715604
100.697,0.13573575
100.698,0.135755762
100.699,0.135776162
100.7,0.135795638
100.701,0.135814756
100.702,0.135833263
100.703,0.135852084
100.70399,0.135870397
100.705,0.13588883
100.706,0.135906845
100.707,0.13592425
100.708,0.135941565
100.709,0.135958448
100.71,0.135975763
100.711,0.135992423
100.712,0.136008069
100.713,0.136023998
100.714,0.136039793
100.715,0.136055097
100.716,0.136070088
100.717,0.136084735
100.71799,0.136098891
100.719,0.136113375
100.72,0.13612707
100.721,0.13614063
100.722,0.136154011
100.723,0.136166632
100.724,0.136179119
100.725,0.136191338
100.726,0.136203304
100.727,0.136214569
100.728,0.136226371
100.729,0.136237279
100.73,0.136248037
100.731,0.136258021
100.732,0.136268005
100.733,0.136277765
100.734,0.136287108
100.735,0.13629587
100.736,0.136304513
100.737,0.136312544
100.738,0.136320189
100.739,0.13632755
100.74,0.136335105
100.741,0.136341721
100.742,0.136347905
100.743,0.136353612
100.744,0.136359081
100.745,0.13636367
100.746,0.136368483
100.747,0.136372551
100.748,0.13637574
100.749,0.13637878
100.75,0.136381373
100.751,0.136383176
100.752,0.136384487
100.753,0.136384994
100.754,0.136384919
100.755,0.136384293
100.756,0.136383057
100.757,0.136380792
100.758,0.136377767
100.759,0.136373997
100.76,0.136369064
100.761,0.136363611
100.762,0.136356518
100.763,0.136347771
100.764,0.136337817
100.765,0.136326239
100.766,0.1363125
100.767,0.136296615
100.768,0.136277437
100.769,0.136256382
100.77,0.13623108
100.771,0.136200845
100.772,0.136163726
100.77299,0.136119395
100.774,0.136064202
100.775,0.135994941
100.776,0.135904506
100.777,0.135781899
100.778,0.135608107
100.779,0.135343865
100.78,0.134899244
100.781,0.134017497
100.782,0.131665573
100.783,0.118894868
100.784,-9.03E-02
100.785,-0.134856343
100.786,-0.136704028
100.78699,-0.136812955
100.788,-0.136671111
100.789,-0.136521608
100.79,-0.13641879
100.791,-0.13635999
100.792,-0.136336476
100.793,-0.136338621
100.794,-0.136359558
100.795,-0.136393324
100.796,-0.136435077
100.797,-0.136480778
100.798,-0.136528566
100.799,-0.136574745
100.8,-0.136614203
100.80099,-0.136638775
100.802,-0.136650056
100.803,-0.136652917
100.804,-0.136651069
100.805,-0.136643052
100.806,-0.136630803
100.807,-0.136614755
100.808,-0.136594176
100.809,-0.136570096
100.81,-0.136541218
100.811,-0.136509269
100.812,-0.13648051
100.813,-0.136456907
100.814,-0.136438206
100.81499,-0.136424467
100.816,-0.136414587
100.817,-0.136408255
100.818,-0.136404246
100.819,-0.136401087
100.82,-0.136397764
100.821,-0.136392847
100.822,-0.136384398
100.823,-0.136372566
100.824,-0.136359721
100.825,-0.136346042
100.826,-0.136333331
100.827,-0.136320576
100.828,-0.136311173
100.82899,-0.136303753
100.83,-0.136298731
100.831,-0.136293352
100.832,-0.136285707
100.833,-0.136274233
100.834,-0.136257827
100.835,-0.136235058
100.836,-0.136205822
100.837,-0.136169046
100.838,-0.13612555
100.839,-0.136084765
100.84,-0.136050269
100.841,-0.136021733
100.842,-0.136000097
100.84299,-0.135986507
100.844,-0.135981351
100.845,-0.135984913
100.846,-0.135998115
100.847,-0.136018842
100.848,-0.136044949
100.849,-0.136051387
100.85,-0.136024728
100.851,-0.136001214
100.852,-0.135980681
100.853,-0.135963097
100.854,-0.135949731
100.855,-0.135939717
100.856,-0.135932833
100.857,-0.135911793
100.858,-0.135856792
100.859,-0.135782257
100.86,-0.135657668
100.861,-0.135366842
100.862,-0.1343472
100.863,-0.121392809
100.864,0.126911238
100.865,0.134375334
100.866,0.13511385
100.867,0.135297939
100.868,0.135353506
100.869,0.135365188
100.87,0.135358125
100.871,0.135342091
100.872,0.135321543
100.873,0.135298505
100.874,0.135273695
100.875,0.135248199
100.876,0.13522242
100.877,0.135195762
100.878,0.135168791
100.879,0.13514179
100.88,0.135114461
100.881,0.135087147
100.882,0.135059983
100.883,0.135031775
100.884,0.13500376
100.885,0.134975046
100.886,0.134946346
100.887,0.134917885
100.888,0.134889603
100.889,0.134859785
100.89,0.134830371
