Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [°/s²]

*Time (s),Line A (°/s²)
99.9,5.25014363229275E-02
99.901,5.24940639734268E-02
99.902,5.24865426123142E-02
99.903,5.24786747992039E-02
99.904,5.24709932506084E-02
99.905,5.24631626904011E-02
99.906,5.24549372494221E-02
99.90701,.052446860820055
99.908,5.24383895099163E-02
99.909,5.24299964308739E-02
99.91,5.24214208126068E-02
99.911,5.24126514792442E-02
99.912,5.24040535092354E-02
99.913,5.23953028023243E-02
99.914,5.23862615227699E-02
99.915,5.23770563304424E-02
99.916,5.23679777979851E-02
99.917,5.23585416376591E-02
99.918,5.23492619395256E-02
99.919,5.23399114608765E-02
99.92,5.23300990462303E-02
99.92101,5.23202605545521E-02
99.922,5.23103661835194E-02
99.923,5.23005612194538E-02
99.924,5.22905886173248E-02
99.925,5.22801578044891E-02
99.926,5.22698685526848E-02
99.927,5.22595159709454E-02
99.928,5.22487834095955E-02
99.929,5.22381514310837E-02
99.93,5.22274635732174E-02
99.931,5.22166006267071E-02
99.932,5.22056370973587E-02
99.933,.052194606512785
99.934,5.21830953657627E-02
99.93501,5.21718859672546E-02
99.936,5.21602593362331E-02
99.937,5.21488711237907E-02
99.938,5.21372929215431E-02
99.939,5.21253235638142E-02
99.94,5.21134920418262E-02
99.941,5.21014891564846E-02
99.942,5.20893260836601E-02
99.943,5.20771704614163E-02
99.944,5.20649142563343E-02
99.945,5.20524755120277E-02
99.946,5.20400330424309E-02
99.947,5.20273372530937E-02
99.948,5.20143061876297E-02
99.94901,5.20015880465508E-02
99.95,5.19882775843144E-02
99.951,5.19751273095608E-02
99.952,5.19619919359684E-02
99.953,5.19485771656036E-02
99.954,5.19352033734322E-02
99.955,5.19216358661652E-02
99.956,5.19078224897385E-02
99.957,5.18942512571812E-02
99.958,5.18803969025612E-02
99.959,.05186627805233
99.96,5.18521517515182E-02
99.961,5.18381334841251E-02
99.962,5.18235489726067E-02
99.96301,5.18091581761837E-02
99.964,5.17944805324078E-02
99.965,5.17799966037273E-02
99.966,5.17651177942753E-02
99.967,5.17502278089523E-02
99.968,5.17350770533085E-02
99.969,5.17200417816639E-02
99.97,5.17047978937626E-02
99.971,5.16894944012165E-02
99.972,5.16742318868637E-02
99.973,5.16584515571594E-02
99.974,5.16427978873253E-02
99.975,5.16270510852337E-02
99.976,5.16111813485622E-02
99.97701,5.15950247645378E-02
99.978,5.15788532793522E-02
99.979,.051562711596489
99.98,5.15464507043362E-02
99.981,5.15300109982491E-02
99.982,5.15135191380978E-02
99.983,.051496971398592
99.984,5.14802858233452E-02
99.985,5.14633804559708E-02
99.986,.051446545869112
99.987,5.14292679727077E-02
99.988,5.14120757579803E-02
99.989,5.13947792351246E-02
99.99,5.13771809637547E-02
99.991,5.13597764074802E-02
99.992,5.13421036303043E-02
99.993,5.13245835900307E-02
99.994,5.13065755367279E-02
99.995,5.12886382639408E-02
99.996,5.12708760797978E-02
99.997,5.12527376413345E-02
99.998,5.12342602014542E-02
99.999,5.12162148952484E-02
100,5.11977896094322E-02
100.001,5.11791706085205E-02
100.002,5.11605441570282E-02
100.003,5.11418618261814E-02
100.004,5.11230751872063E-02
100.005,5.11038415133953E-02
100.006,5.10848164558411E-02
100.007,5.10657541453838E-02
100.008,5.10467663407326E-02
100.009,5.10270483791828E-02
100.01,5.10077960789204E-02
100.011,.050988033413887
100.012,5.09684793651104E-02
100.013,5.09488396346569E-02
100.014,.050929170101881
100.015,5.09091839194298E-02
100.016,5.08893094956875E-02
100.017,5.08692227303982E-02
100.018,5.08488528430462E-02
100.019,5.08285574615002E-02
100.02,5.08082211017609E-02
100.021,5.07878847420216E-02
100.022,5.07675409317017E-02
100.023,5.07467575371265E-02
100.024,5.07261529564857E-02
100.025,5.07054142653942E-02
100.026,5.06845451891422E-02
100.027,5.06636761128902E-02
100.028,5.06424754858017E-02
100.029,5.06213530898094E-02
100.03,5.06002381443977E-02
100.031,5.05791567265987E-02
100.03201,5.05576729774475E-02
100.033,5.05362488329411E-02
100.034,5.05148842930794E-02
100.035,5.04936017096043E-02
100.036,5.04721365869045E-02
100.037,.050450474023819
100.038,5.04287555813789E-02
100.039,5.04073798656464E-02
100.04,5.03853559494019E-02
100.041,5.03636226058006E-02
100.042,5.03419600427151E-02
100.043,.050319992005825
100.044,5.02983145415783E-02
100.045,5.02763465046883E-02
100.04601,5.02541847527027E-02
100.047,5.02324067056179E-02
100.048,5.02103567123413E-02
100.049,5.01880645751953E-02
100.05,5.01662828028202E-02
100.051,5.01442775130272E-02
100.052,5.01225739717484E-02
100.053,5.01007921993732E-02
100.054,5.00787794589996E-02
100.055,5.00571131706238E-02
100.056,5.00354133546352E-02
100.057,5.00136502087116E-02
100.058,4.99923378229141E-02
100.059,4.99711632728577E-02
100.06001,4.99497726559639E-02
100.061,4.99288253486156E-02
100.062,4.99077513813972E-02
100.063,4.98874597251415E-02
100.064,4.98672127723694E-02
100.065,4.98471818864346E-02
100.066,4.98278550803661E-02
100.067,4.98091466724873E-02
100.068,4.97904047369957E-02
100.069,4.97726872563362E-02
100.07,4.97559793293476E-02
100.071,.049740131944418
100.072,4.97256219387054E-02
100.073,.049712810665369
100.07401,4.97015714645386E-02
100.075,4.96929027140141E-02
100.076,4.96870540082455E-02
100.077,4.96844537556171E-02
100.078,4.96858581900597E-02
100.079,4.96897846460342E-02
100.08,4.96883615851402E-02
100.081,.049637958407402
100.082,4.92050051689148E-02
100.083,4.07653972506523E-02
100.084,-.040778998285532
100.085,-4.74189445376396E-02
100.086,-4.84718270599842E-02
100.087,-4.88509386777878E-02
100.08801,-4.90285940468311E-02
100.089,-4.91010248661041E-02
100.09,-4.91219609975815E-02
100.091,-4.91162426769733E-02
100.092,-4.90946397185326E-02
100.093,-4.90619502961636E-02
100.094,-4.90211322903633E-02
100.095,-4.89736199378967E-02
100.096,-.048919603228569
100.097,-4.88598644733429E-02
100.098,-4.87943738698959E-02
100.099,-4.87228408455849E-02
100.1,-4.86455522477627E-02
100.101,-.048565037548542
