Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.3,1.23E-02
103.301,1.23E-02
103.302,1.23E-02
103.303,1.23E-02
103.304,0.012288112
103.305,1.23E-02
103.306,1.23E-02
103.30701,0.012301954
103.30801,1.23E-02
103.30901,1.23E-02
103.31001,1.23E-02
103.311,1.23E-02
103.312,1.23E-02
103.313,1.23E-02
103.314,1.23E-02
103.315,1.23E-02
103.316,1.23E-02
103.317,1.23E-02
103.318,1.24E-02
103.319,1.24E-02
103.32,1.24E-02
103.32101,1.24E-02
103.32201,1.24E-02
103.32301,1.24E-02
103.32401,1.24E-02
103.325,1.24E-02
103.326,1.24E-02
103.327,1.24E-02
103.328,1.24E-02
103.329,1.24E-02
103.33,0.012402294
103.331,1.24E-02
103.332,1.24E-02
103.333,1.24E-02
103.334,1.24E-02
103.33501,1.24E-02
103.33601,1.24E-02
103.33701,1.24E-02
103.33801,1.24E-02
103.339,0.012438828
103.34,0.012442815
103.341,1.24E-02
103.342,1.25E-02
103.343,1.25E-02
103.344,1.25E-02
103.345,1.25E-02
103.346,1.25E-02
103.347,1.25E-02
103.348,0.012473626
103.34901,0.012477433
103.35001,1.25E-02
103.35101,0.012484866
103.35201,1.25E-02
103.353,1.25E-02
103.354,1.25E-02
103.355,1.25E-02
103.356,0.012503283
103.357,1.25E-02
103.358,1.25E-02
103.359,1.25E-02
103.36,1.25E-02
103.361,0.012521238
103.362,1.25E-02
103.36301,1.25E-02
103.36401,1.25E-02
103.36501,1.25E-02
103.366,1.25E-02
103.367,1.25E-02
103.368,1.25E-02
103.369,1.25E-02
103.37,0.012552205
103.371,1.26E-02
103.372,1.26E-02
103.373,1.26E-02
103.374,1.26E-02
103.375,1.26E-02
103.376,1.26E-02
103.37701,1.26E-02
103.37801,1.26E-02
103.37901,1.26E-02
103.38,1.26E-02
103.381,1.26E-02
103.382,1.26E-02
103.383,1.26E-02
103.384,1.26E-02
103.385,1.26E-02
103.386,1.26E-02
103.387,1.26E-02
103.388,1.26E-02
103.389,1.26E-02
103.39,1.26E-02
103.39101,1.26E-02
103.39201,1.26E-02
103.39301,1.26E-02
103.394,1.26E-02
103.395,1.26E-02
103.396,1.26E-02
103.397,1.26E-02
103.398,1.26E-02
103.399,1.26E-02
103.4,1.26E-02
103.401,1.26E-02
103.402,1.26E-02
103.403,1.27E-02
103.404,1.27E-02
103.40501,1.27E-02
103.40601,1.27E-02
103.40701,1.27E-02
103.408,1.27E-02
103.409,1.27E-02
103.41,0.012670168
103.411,1.27E-02
103.412,1.27E-02
103.413,1.27E-02
103.414,0.012680123
103.415,1.27E-02
103.416,1.27E-02
103.417,1.27E-02
103.418,1.27E-02
103.41901,1.27E-02
103.42001,1.27E-02
103.42101,1.27E-02
103.422,1.27E-02
103.423,0.012701478
103.424,1.27E-02
103.425,1.27E-02
103.426,1.27E-02
103.427,1.27E-02
103.428,1.27E-02
103.429,1.27E-02
103.43,1.27E-02
103.431,1.27E-02
103.43201,0.012720956
103.43301,1.27E-02
103.43401,1.27E-02
103.43501,0.01272701
103.436,1.27E-02
103.437,1.27E-02
103.438,1.27E-02
103.439,1.27E-02
103.44,1.27E-02
103.441,1.27E-02
103.442,0.012740433
103.443,0.012742237
103.444,1.27E-02
103.445,1.27E-02
103.44601,1.27E-02
103.44701,1.27E-02
103.44801,1.28E-02
103.44901,1.28E-02
103.45,1.28E-02
103.451,1.28E-02
103.452,1.28E-02
103.453,1.28E-02
103.454,1.28E-02
103.455,1.28E-02
103.456,1.28E-02
103.457,1.28E-02
103.458,0.012765578
103.459,1.28E-02
103.46001,1.28E-02
103.46101,1.28E-02
103.46201,1.28E-02
103.46301,1.28E-02
103.464,1.28E-02
103.465,1.28E-02
103.466,0.012774559
103.467,0.012775476
103.468,1.28E-02
103.469,1.28E-02
103.47,1.28E-02
103.471,1.28E-02
103.472,1.28E-02
103.473,1.28E-02
103.47401,1.28E-02
103.47501,1.28E-02
103.47601,1.28E-02
103.47701,0.012781773
103.478,1.28E-02
103.479,0.012782228
103.48,1.28E-02
103.481,1.28E-02
103.482,1.28E-02
103.483,1.28E-02
103.484,1.28E-02
103.485,1.28E-02
103.486,1.28E-02
103.487,1.28E-02
103.48801,1.28E-02
103.48901,1.28E-02
103.49001,1.28E-02
103.491,1.28E-02
103.492,1.28E-02
103.493,1.28E-02
103.494,1.28E-02
103.495,1.28E-02
103.496,1.28E-02
103.497,1.28E-02
103.498,1.28E-02
103.499,1.28E-02
103.5,1.28E-02
103.501,1.28E-02
103.50201,1.28E-02
103.50301,1.28E-02
103.50401,1.28E-02
103.505,1.28E-02
103.506,1.28E-02
103.507,1.28E-02
103.508,1.28E-02
103.509,1.28E-02
103.51,1.28E-02
103.511,1.28E-02
103.512,1.28E-02
103.513,1.28E-02
103.514,1.28E-02
103.515,1.28E-02
103.51601,1.28E-02
103.51701,1.28E-02
103.51801,1.28E-02
103.519,0.012793549
103.52,1.28E-02
103.521,1.28E-02
103.522,1.28E-02
103.523,1.28E-02
103.524,1.28E-02
103.525,1.28E-02
103.526,1.28E-02
103.527,1.28E-02
103.528,1.28E-02
103.529,1.28E-02
103.53001,1.28E-02
103.53101,1.28E-02
103.53201,1.28E-02
103.533,1.28E-02
103.534,1.28E-02
103.535,1.28E-02
103.536,1.28E-02
103.537,1.28E-02
103.538,0.012799128
103.539,1.28E-02
103.54,1.28E-02
103.541,1.28E-02
103.542,1.28E-02
103.543,1.28E-02
103.54401,1.28E-02
103.54501,1.28E-02
103.54601,1.28E-02
103.547,1.28E-02
103.548,1.28E-02
103.549,0.012800214
103.55,1.28E-02
103.551,1.28E-02
103.552,1.28E-02
103.553,1.28E-02
103.554,1.28E-02
103.555,1.28E-02
103.556,1.28E-02
103.55701,1.28E-02
103.55801,1.28E-02
103.55901,1.28E-02
103.56001,1.28E-02
103.561,1.28E-02
103.562,1.28E-02
103.563,1.28E-02
103.564,1.28E-02
103.565,1.28E-02
103.566,0.01277947
103.567,1.28E-02
103.568,0.01278045
103.569,1.28E-02
103.57,1.28E-02
103.57101,0.01278118
103.57201,1.28E-02
103.57301,1.28E-02
103.57401,1.28E-02
103.575,1.28E-02
103.576,1.28E-02
103.577,1.28E-02
103.578,1.28E-02
103.579,1.28E-02
103.58,1.28E-02
103.581,1.28E-02
103.582,1.28E-02
103.583,1.28E-02
103.584,1.28E-02
103.58501,1.28E-02
103.58601,1.28E-02
103.58701,1.28E-02
103.58801,1.28E-02
103.589,1.28E-02
103.59,1.28E-02
103.591,1.28E-02
103.592,1.28E-02
103.593,1.28E-02
103.594,1.28E-02
103.595,1.28E-02
103.596,1.28E-02
103.597,1.28E-02
103.598,1.28E-02
103.59901,1.28E-02
103.60001,0.012766627
103.60101,1.28E-02
103.60201,1.28E-02
103.603,1.28E-02
103.604,1.28E-02
103.605,1.28E-02
103.606,1.28E-02
103.607,1.28E-02
103.608,1.28E-02
103.609,1.28E-02
103.61,1.28E-02
103.611,1.28E-02
103.612,1.28E-02
103.61301,1.28E-02
103.61401,1.28E-02
103.61501,0.012755168
103.616,1.28E-02
103.617,1.28E-02
103.618,1.28E-02
103.619,1.28E-02
103.62,1.28E-02
103.621,1.28E-02
103.622,0.012751043
103.623,1.27E-02
103.624,0.01274879
103.625,1.27E-02
103.626,1.27E-02
103.62701,1.27E-02
103.62801,1.27E-02
103.62901,1.27E-02
103.63,1.27E-02
103.631,1.27E-02
103.632,1.27E-02
103.633,1.27E-02
103.634,1.27E-02
103.635,1.27E-02
103.636,1.27E-02
103.637,1.27E-02
103.638,1.27E-02
103.639,1.27E-02
103.64,1.27E-02
103.64101,1.27E-02
103.64201,1.27E-02
103.64301,0.01269075
103.644,1.27E-02
103.645,1.27E-02
103.646,1.27E-02
103.647,1.27E-02
103.648,1.27E-02
103.649,1.27E-02
103.65,0.012675742
103.651,1.27E-02
103.652,1.27E-02
103.653,1.27E-02
103.654,1.27E-02
103.65501,1.26E-02
103.65601,1.26E-02
103.65701,1.26E-02
103.658,1.26E-02
103.659,1.26E-02
103.66,1.26E-02
103.661,1.26E-02
103.662,1.26E-02
103.663,1.26E-02
103.664,1.26E-02
103.665,1.26E-02
103.666,1.26E-02
103.667,1.26E-02
103.668,1.26E-02
103.66901,1.26E-02
103.67001,1.26E-02
103.67101,1.26E-02
103.672,1.26E-02
103.673,1.26E-02
103.674,1.26E-02
103.675,1.27E-02
103.676,1.27E-02
103.677,1.27E-02
103.678,1.27E-02
103.679,1.27E-02
103.68,1.27E-02
103.681,1.27E-02
103.68201,1.27E-02
103.68301,1.27E-02
103.68401,1.27E-02
103.68501,1.27E-02
103.686,1.27E-02
103.687,1.27E-02
