Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²]
,
*Time (s),Line A (?s?
103.2,0.015943881
103.201,1.60E-02
103.202,1.60E-02
103.203,1.60E-02
103.20399,1.60E-02
103.20499,1.60E-02
103.20599,1.60E-02
103.207,1.60E-02
103.208,1.60E-02
103.209,1.60E-02
103.21,1.60E-02
103.211,1.60E-02
103.212,1.60E-02
103.213,1.61E-02
103.214,1.61E-02
103.215,0.01607525
103.216,1.61E-02
103.217,1.61E-02
103.21799,1.61E-02
103.21899,1.61E-02
103.21999,1.61E-02
103.221,1.61E-02
103.222,1.61E-02
103.223,1.61E-02
103.224,1.62E-02
103.225,1.62E-02
103.226,1.62E-02
103.227,1.62E-02
103.228,1.62E-02
103.229,1.62E-02
103.23,1.62E-02
103.231,1.62E-02
103.23199,1.62E-02
103.23299,1.62E-02
103.23399,1.62E-02
103.235,1.62E-02
103.236,1.63E-02
103.237,1.63E-02
103.238,1.63E-02
103.239,1.63E-02
103.24,1.63E-02
103.241,1.63E-02
103.242,1.63E-02
103.243,1.63E-02
103.244,0.016313748
103.245,1.63E-02
103.24599,1.63E-02
103.24699,1.63E-02
103.24799,1.63E-02
103.249,0.016352842
103.25,0.016360542
103.251,1.64E-02
103.252,1.64E-02
103.253,1.64E-02
103.254,1.64E-02
103.255,1.64E-02
103.256,1.64E-02
103.257,1.64E-02
103.258,1.64E-02
103.259,1.64E-02
103.25999,1.64E-02
103.26099,1.64E-02
103.26199,1.65E-02
103.263,1.65E-02
103.264,1.65E-02
103.265,0.016473489
103.266,1.65E-02
103.267,1.65E-02
103.268,1.65E-02
103.269,1.65E-02
103.27,1.65E-02
103.271,1.65E-02
103.272,1.65E-02
103.27299,1.65E-02
103.27399,1.65E-02
103.27499,1.65E-02
103.27599,1.66E-02
103.277,1.66E-02
103.278,1.66E-02
103.279,1.66E-02
103.28,1.66E-02
103.281,1.66E-02
103.282,1.66E-02
103.283,1.66E-02
103.284,1.66E-02
103.285,1.66E-02
103.286,1.66E-02
103.28699,1.66E-02
103.28799,1.66E-02
103.28899,1.66E-02
103.28999,1.66E-02
103.291,0.016655657
103.292,0.016662298
103.293,1.67E-02
103.294,1.67E-02
103.295,1.67E-02
103.296,1.67E-02
103.297,1.67E-02
103.298,1.67E-02
103.299,1.67E-02
103.3,1.67E-02
103.30099,1.67E-02
103.30199,1.67E-02
103.30299,1.67E-02
103.30399,1.67E-02
103.305,1.67E-02
103.306,1.68E-02
103.307,1.68E-02
103.308,1.68E-02
103.309,1.68E-02
103.31,1.68E-02
103.311,1.68E-02
103.312,0.016790047
103.313,1.68E-02
103.314,1.68E-02
103.31499,1.68E-02
103.31599,1.68E-02
103.31699,1.68E-02
103.31799,0.016826281
103.319,1.68E-02
103.32,1.68E-02
103.321,1.68E-02
103.322,1.68E-02
103.323,1.69E-02
103.324,1.69E-02
103.325,1.69E-02
103.326,1.69E-02
103.327,1.69E-02
103.328,1.69E-02
103.32899,1.69E-02
103.32999,1.69E-02
103.33099,0.016901471
103.332,1.69E-02
103.333,1.69E-02
103.334,1.69E-02
103.335,0.016923513
103.336,1.69E-02
103.337,1.69E-02
103.338,1.69E-02
103.339,0.016945057
103.34,1.70E-02
103.341,1.70E-02
103.342,1.70E-02
103.34299,1.70E-02
103.34399,1.70E-02
103.34499,1.70E-02
103.346,1.70E-02
103.347,1.70E-02
103.348,0.016991263
103.349,1.70E-02
103.35,1.70E-02
103.351,0.017005768
103.352,1.70E-02
103.353,1.70E-02
103.354,0.017019797
103.355,1.70E-02
103.356,0.017028896
103.35699,1.70E-02
103.35799,1.70E-02
103.35899,1.70E-02
103.36,1.70E-02
103.361,1.71E-02
103.362,1.71E-02
103.363,1.71E-02
103.364,0.017062584
103.365,1.71E-02
103.366,1.71E-02
103.367,1.71E-02
103.368,1.71E-02
103.369,1.71E-02
103.37,0.017084552
103.37099,1.71E-02
103.37199,1.71E-02
103.37299,1.71E-02
103.374,1.71E-02
103.375,1.71E-02
103.376,1.71E-02
103.377,1.71E-02
103.378,1.71E-02
103.379,1.71E-02
103.38,1.71E-02
103.381,1.71E-02
103.382,1.71E-02
103.383,1.71E-02
103.384,1.71E-02
103.38499,1.71E-02
103.38599,0.017111525
103.38699,1.71E-02
103.388,1.71E-02
103.389,1.71E-02
103.39,1.71E-02
103.391,1.71E-02
103.392,1.71E-02
103.393,1.71E-02
103.394,1.71E-02
103.395,1.71E-02
103.396,1.71E-02
103.397,1.71E-02
103.39799,1.71E-02
103.39899,1.71E-02
103.39999,1.71E-02
103.40099,1.72E-02
103.402,1.72E-02
103.403,1.72E-02
103.404,0.017169414
103.405,1.72E-02
103.406,1.72E-02
103.407,1.72E-02
103.408,1.72E-02
103.409,1.72E-02
103.41,1.72E-02
103.411,1.72E-02
103.41199,1.72E-02
103.41299,1.72E-02
103.41399,1.72E-02
103.41499,1.72E-02
103.416,1.72E-02
103.417,1.72E-02
103.418,1.72E-02
103.419,1.72E-02
103.42,1.72E-02
103.421,1.72E-02
103.422,1.72E-02
103.423,1.72E-02
103.424,1.72E-02
103.425,1.72E-02
103.42599,1.72E-02
103.42699,1.72E-02
103.42799,1.72E-02
103.42899,1.72E-02
103.43,1.73E-02
103.431,0.017294081
103.432,1.73E-02
103.433,0.017320242
103.434,1.73E-02
103.435,1.73E-02
103.436,1.73E-02
103.437,1.73E-02
103.438,1.72E-02
103.439,1.72E-02
103.43999,1.72E-02
103.44099,1.72E-02
103.44199,1.72E-02
103.44299,1.72E-02
103.444,0.017195551
103.445,1.72E-02
103.446,1.73E-02
103.447,1.73E-02
103.448,1.73E-02
103.449,1.74E-02
103.45,1.74E-02
103.451,1.74E-02
103.452,0.01744361
103.453,1.74E-02
103.45399,0.017440602
103.45499,1.74E-02
103.45599,1.74E-02
103.457,1.74E-02
103.458,0.017347103
103.459,1.73E-02
103.46,1.73E-02
103.461,1.72E-02
103.462,1.72E-02
103.463,1.71E-02
103.464,0.017124206
103.465,1.71E-02
103.466,0.017102089
103.467,1.71E-02
103.46799,1.71E-02
103.46899,1.71E-02
103.46999,1.71E-02
103.471,1.71E-02
103.472,1.71E-02
103.473,1.71E-02
103.474,1.71E-02
103.475,0.017104497
103.476,1.71E-02
103.477,1.71E-02
103.478,1.71E-02
103.479,1.71E-02
103.48,1.71E-02
103.481,1.71E-02
103.48199,0.017150292
103.48299,1.72E-02
103.48399,1.72E-02
103.485,1.72E-02
103.486,1.72E-02
103.487,1.72E-02
103.488,1.72E-02
103.489,1.72E-02
103.49,1.72E-02
103.491,0.017211614
103.492,0.017217768
103.493,1.72E-02
103.494,1.72E-02
103.495,1.72E-02
103.49599,1.72E-02
103.49699,1.72E-02
103.49799,0.017252155
103.499,1.73E-02
103.5,1.73E-02
103.501,1.73E-02
103.502,0.017276781
103.503,1.73E-02
103.504,1.73E-02
103.505,1.73E-02
103.506,1.73E-02
103.507,1.73E-02
103.508,1.73E-02
103.509,1.73E-02
103.50999,1.74E-02
103.51099,1.74E-02
103.51199,1.74E-02
103.513,1.74E-02
103.514,1.74E-02
103.515,0.017438356
103.516,1.75E-02
103.517,1.75E-02
103.518,1.75E-02
103.519,1.75E-02
103.52,0.01755733
103.521,0.017584627
103.522,1.76E-02
103.52299,1.76E-02
103.52399,0.01766929
103.52499,1.77E-02
103.52599,1.77E-02
103.527,1.77E-02
103.528,1.77E-02
103.529,1.77E-02
103.53,1.77E-02
103.531,1.77E-02
103.532,1.76E-02
103.533,1.76E-02
103.534,1.76E-02
103.535,1.76E-02
103.536,1.75E-02
103.53699,1.75E-02
103.53799,1.75E-02
103.53899,1.75E-02
103.53999,1.75E-02
103.541,1.75E-02
103.542,1.75E-02
103.543,1.75E-02
103.544,0.017468786
103.545,1.75E-02
103.546,0.017482815
103.547,1.75E-02
103.548,1.75E-02
103.549,0.017525865
103.55,1.75E-02
103.55099,0.017567515
103.55199,1.76E-02
103.55299,1.76E-02
103.55399,1.76E-02
103.555,1.77E-02
103.556,1.77E-02
103.557,1.77E-02
103.558,1.78E-02
103.559,1.78E-02
103.56,0.017820792
103.561,1.78E-02
103.562,1.79E-02
103.563,1.79E-02
103.564,1.79E-02
103.56499,1.79E-02
103.56599,1.79E-02
103.56699,1.79E-02
103.56799,1.79E-02
103.569,1.78E-02
103.57,1.78E-02
103.571,1.77E-02
103.572,0.017628375
103.573,0.017564109
103.574,1.75E-02
103.575,1.75E-02
103.576,1.74E-02
103.577,1.74E-02
103.578,0.017329317
103.57899,1.73E-02
103.57999,0.0172808
103.58099,1.73E-02
103.582,1.73E-02
103.583,1.72E-02
103.584,1.72E-02
103.585,1.73E-02
103.586,1.73E-02
103.587,1.73E-02
103.588,0.01727446
103.589,1.73E-02
