engw, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
101,-0.805106363
101.001,-0.805308868
101.002,-0.805505959
101.003,-0.805702817
101.004,-0.805898162
101.005,-0.806093914
101.006,-0.806286349
101.007,-0.806481985
101.008,-0.806670112
101.009,-0.806857774
101.01,-0.807044213
101.011,-0.807229837
101.012,-0.807413307
101.013,-0.807595265
101.014,-0.807774893
101.015,-0.807957957
101.016,-0.808134617
101.017,-0.808311102
101.018,-0.808483805
101.019,-0.808657089
101.02,-0.808828452
101.021,-0.809002784
101.022,-0.80917048
101.023,-0.809336721
101.024,-0.809502904
101.025,-0.809666119
101.026,-0.809829507
101.027,-0.809991616
101.028,-0.810151978
101.029,-0.810314552
101.03,-0.810466765
101.031,-0.810625555
101.032,-0.810777303
101.033,-0.810927653
101.034,-0.811078062
101.035,-0.811230741
101.036,-0.811377016
101.037,-0.811525737
101.038,-0.811670732
101.039,-0.811811304
101.04,-0.811954378
101.041,-0.81209332
101.042,-0.812233018
101.043,-0.812371145
101.044,-0.812502578
101.045,-0.812637503
101.046,-0.812771847
101.047,-0.81290165
101.048,-0.813030114
101.049,-0.813164457
101.05,-0.813288381
101.051,-0.813413295
101.052,-0.813538267
101.053,-0.813660561
101.054,-0.813778373
101.055,-0.813895778
101.056,-0.814013532
101.057,-0.814134139
101.058,-0.814246479
101.059,-0.814361731
101.06,-0.814473722
101.061,-0.814582745
101.062,-0.814692699
101.063,-0.814799452
101.064,-0.814909406
101.065,-0.81501127
101.066,-0.815112086
101.067,-0.815214007
101.068,-0.815312902
101.069,-0.8154104
101.07,-0.815507898
101.071,-0.815607083
101.072,-0.815697014
101.073,-0.815790205
101.074,-0.815879554
101.075,-0.815967796
101.076,-0.816055632
101.077,-0.816145679
101.078,-0.816227286
101.079,-0.816312677
101.08,-0.816392072
101.081,-0.816473039
101.082,-0.816553249
101.083,-0.816629676
101.084,-0.816703308
101.085,-0.816779735
101.086,-0.816851563
101.087,-0.816924148
101.088,-0.816993241
101.089,-0.817059714
101.09,-0.817129679
101.091,-0.817193184
101.092,-0.817259308
101.093,-0.817320717
101.094,-0.817381719
101.095,-0.817442604
101.096,-0.817502907
101.097,-0.817558903
101.098,-0.817613269
101.099,-0.817663851
101.1,-0.817717344
101.101,-0.817768392
101.102,-0.817817112
101.103,-0.817863736
101.104,-0.817909022
101.105,-0.81795681
101.106,-0.818000524
101.107,-0.818041211
101.108,-0.81808219
101.109,-0.818121072
101.11,-0.81815751
101.111,-0.818192901
101.112,-0.818228233
101.113,-0.818255474
101.114,-0.818290922
101.115,-0.818318687
101.116,-0.818347267
101.117,-0.818374974
101.118,-0.818400527
101.119,-0.818426604
101.12,-0.818449829
101.121,-0.818469445
101.122,-0.818488246
101.123,-0.818506989
101.124,-0.818523695
101.125,-0.818536151
101.126,-0.818549073
101.127,-0.818562636
101.128,-0.818576198
101.129,-0.81858784
101.13,-0.81859401
101.131,-0.818600645
101.132,-0.81860373
101.133,-0.818609376
101.134,-0.818612287
101.135,-0.818611996
101.136,-0.818611647
101.137,-0.818605418
101.138,-0.818603556
101.139,-0.818598084
101.14,-0.81859075
101.141,-0.81858004
101.142,-0.818573288
101.143,-0.818561413
101.144,-0.818547385
101.145,-0.818533706
101.146,-0.818516011
101.147,-0.818500295
101.148,-0.818483008
101.149,-0.818463275
101.15,-0.818441738
101.151,-0.818417873
101.152,-0.81839395
101.153,-0.81836764
101.154,-0.818341621
101.155,-0.818304834
101.156,-0.818280852
101.157,-0.818248081
101.158,-0.818218337
101.159,-0.818184111
101.16,-0.818142027
101.161,-0.818104309
101.162,-0.818066997
101.163,-0.818030327
101.164,-0.81798766
101.165,-0.817944936
101.166,-0.817897788
101.167,-0.817850931
101.168,-0.81780355
101.169,-0.817750813
101.17,-0.817702385
101.171,-0.817650231
101.172,-0.817596156
101.173,-0.817539636
101.174,-0.817482709
101.175,-0.817421824
101.176,-0.817366119
101.177,-0.817303371
101.178,-0.817241787
101.179,-0.817175081
101.18,-0.817109889
101.181,-0.817039574
101.182,-0.816971879
101.183,-0.816897838
101.184,-0.816827
101.185,-0.816750515
101.186,-0.81667112
101.187,-0.816589803
101.188,-0.816505752
101.189,-0.816422631
101.19,-0.816341024
101.191,-0.816258485
101.192,-0.816172687
101.193,-0.816090498
101.194,-0.8160086
101.195,-0.815924199
101.196,-0.815836363
101.197,-0.815745909
101.198,-0.815663021
101.199,-0.815573789
101.2,-0.81548345
101.201,-0.815389212
101.202,-0.815294858
101.203,-0.815196196
101.204,-0.815104344
101.205,-0.815002655
101.206,-0.814902422
101.207,-0.814797299
101.208,-0.814692932
101.209,-0.814591302
101.21,-0.814484898
101.211,-0.814376865
101.212,-0.814269064
101.213,-0.814159052
101.214,-0.81404706
101.215,-0.813932682
101.216,-0.813810911
101.217,-0.813689432
101.218,-0.813565159
101.219,-0.813438324
101.22,-0.813315506
101.221,-0.813190883
101.222,-0.813066843
101.223,-0.812944549
101.224,-0.812824583
101.225,-0.812707818
101.226,-0.812587037
101.227,-0.812459737
101.228,-0.812328013
101.229,-0.812189304
101.23,-0.812039361
101.231,-0.811890466
101.232,-0.811742852
101.233,-0.811595062
101.234,-0.811454142
101.235,-0.811316306
101.236,-0.811187783
101.237,-0.811057573
101.238,-0.810920494
101.239,-0.810777943
101.24,-0.810627418
101.241,-0.810469675
101.242,-0.81030064
101.243,-0.810135854
101.244,-0.809973746
101.245,-0.809820136
101.246,-0.809672929
101.247,-0.809517747
101.248,-0.809352321
101.249,-0.809178746
101.25,-0.80901233
101.251,-0.808847893
101.252,-0.808681012
101.253,-0.808517914
101.254,-0.80834952
101.255,-0.808176177
101.256,-0.807996315
101.257,-0.807812787
101.258,-0.807635952
101.259,-0.807460165
101.26,-0.807283388
101.261,-0.807103934
101.262,-0.806918426
101.263,-0.806731521
101.264,-0.806546246
101.265,-0.8063594
101.266,-0.806168828
101.267,-0.805979129
101.268,-0.805787626
101.269,-0.805600721
101.27,-0.805410964
101.271,-0.805216376
101.272,-0.805024232
101.273,-0.80482976
101.274,-0.804632553
101.275,-0.804439886
101.276,-0.804242853
101.277,-0.804042327
101.278,-0.80384122
101.279,-0.803639356
101.28,-0.803435163
101.281,-0.803231902
101.282,-0.803027418
101.283,-0.802822178
101.284,-0.802615541
101.285,-0.802405004
101.286,-0.802196038
101.287,-0.801984977
101.288,-0.801773218
101.289,-0.80156012
101.29,-0.801344519
101.291,-0.801126531
101.292,-0.800911686
101.293,-0.800691312
101.294,-0.800465874
101.295,-0.80024323
101.296,-0.800022855
101.297,-0.799800153
101.298,-0.799574249
101.299,-0.79934235
101.3,-0.799113535
101.301,-0.798885536
101.302,-0.798653346
