Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
103.2,-3.065932309
103.201,-3.068688093
103.202,-3.071422223
103.203,-3.074149834
103.20399,-3.076859051
103.20499,-3.079566639
103.20599,-3.082274692
103.207,-3.084987402
103.208,-3.087674035
103.209,-3.090370912
103.21,-3.093050793
103.211,-3.095714143
103.212,-3.098378424
103.213,-3.101016395
103.214,-3.10367858
103.215,-3.106303979
103.216,-3.10894521
103.217,-3.111562459
103.21799,-3.114182968
103.21899,-3.116787411
103.21999,-3.119391855
103.221,-3.121991875
103.222,-3.124572337
103.223,-3.127150005
103.224,-3.12972581
103.225,-3.132273909
103.226,-3.134841099
103.227,-3.137380583
103.228,-3.139938461
103.229,-3.142454196
103.23,-3.144990653
103.231,-3.147496143
103.23199,-3.150015138
103.23299,-3.152508521
103.23399,-3.155012615
103.235,-3.157509957
103.236,-3.159996122
103.237,-3.162458539
103.238,-3.164914669
103.239,-3.16736754
103.24,-3.169810632
103.241,-3.172251862
103.242,-3.174681915
103.243,-3.177097766
103.244,-3.1795213
103.245,-3.181925975
103.24599,-3.184336703
103.24699,-3.18671274
103.24799,-3.189116251
103.249,-3.191515338
103.25,-3.193886019
103.251,-3.196237376
103.252,-3.198591992
103.253,-3.200939391
103.254,-3.203265369
103.255,-3.20560555
103.256,-3.207931295
103.257,-3.210246796
103.258,-3.212539479
103.259,-3.214835189
103.25999,-3.217128804
103.26099,-3.219416132
103.26199,-3.221685998
103.263,-3.223973792
103.264,-3.226249712
103.265,-3.228495596
103.266,-3.230736125
103.267,-3.232977819
103.268,-3.235190874
103.269,-3.23742209
103.27,-3.23963468
103.271,-3.241825616
103.272,-3.24402377
103.27299,-3.246214939
103.27399,-3.248395398
103.27499,-3.250563052
103.27599,-3.252744209
103.277,-3.254907904
103.278,-3.257059492
103.279,-3.259188263
103.28,-3.261332167
103.281,-3.263454419
103.282,-3.265578765
103.283,-3.267683322
103.284,-3.26978974
103.285,-3.271882888
103.286,-3.273961134
103.28699,-3.276031232
103.28799,-3.27810715
103.28899,-3.280151403
103.28999,-3.28221987
103.291,-3.284269944
103.292,-3.286307678
103.293,-3.288336564
103.294,-3.290371969
103.295,-3.292372683
103.296,-3.294392256
103.297,-3.296362702
103.298,-3.298371565
103.299,-3.300339216
103.3,-3.302317811
103.30099,-3.304283367
103.30199,-3.306254046
103.30299,-3.308192361
103.30399,-3.31013184
103.305,-3.312074812
103.306,-3.313997993
103.307,-3.315906506
103.308,-3.317821771
103.309,-3.319726326
103.31,-3.321624827
103.311,-3.323497251
103.312,-3.325375961
103.313,-3.327228595
103.314,-3.329103347
103.31499,-3.330947598
103.31599,-3.332787193
103.31699,-3.334634937
103.31799,-3.336447524
103.319,-3.338296898
103.32,-3.340099007
103.321,-3.341899253
103.322,-3.343695309
103.323,-3.345476696
103.324,-3.347260412
103.325,-3.349021077
103.326,-3.350784536
103.327,-3.352539148
103.328,-3.354286077
103.32899,-3.35602439
103.32999,-3.357752692
103.33099,-3.359465161
103.332,-3.361191601
103.333,-3.362889634
103.334,-3.364596516
103.335,-3.366276622
103.336,-3.367953002
103.337,-3.369624028
103.338,-3.371299244
103.339,-3.372938139
103.34,-3.374594962
103.341,-3.376226639
103.342,-3.377860179
103.34299,-3.379465779
103.34399,-3.381093265
103.34499,-3.382683499
103.346,-3.384293523
103.347,-3.385882359
103.348,-3.387476085
103.349,-3.389041405
103.35,-3.390603
103.351,-3.392158775
103.352,-3.393713851
103.353,-3.39523633
103.354,-3.396761836
103.355,-3.398278961
103.356,-3.399796784
103.35699,-3.401308088
103.35799,-3.402793081
103.35899,-3.404282033
103.36,-3.405779833
103.361,-3.407248529
103.362,-3.408712102
103.363,-3.41016287
103.364,-3.411599668
103.365,-3.413040191
103.366,-3.414466511
103.367,-3.415890969
103.368,-3.417297266
103.369,-3.418706823
103.37,-3.420088207
103.37099,-3.421477275
103.37199,-3.422848647
103.37299,-3.42420279
103.374,-3.425578121
103.375,-3.426943207
103.376,-3.428278258
103.377,-3.429610748
103.378,-3.430933924
103.379,-3.432252677
103.38,-3.433552338
103.381,-3.434846411
103.382,-3.436131403
103.383,-3.437393345
103.384,-3.438675543
103.38499,-3.439916763
103.38599,-3.441163804
103.38699,-3.442370333
103.388,-3.443578258
103.389,-3.444778733
103.39,-3.445985029
103.391,-3.447199473
103.392,-3.448413685
103.393,-3.449594369
103.394,-3.45080439
103.395,-3.451990662
103.396,-3.453189274
103.397,-3.454363672
103.39799,-3.455535509
103.39899,-3.456702689
103.39999,-3.457872896
103.40099,-3.459009808
103.402,-3.460149048
103.403,-3.461270826
103.404,-3.462383524
103.405,-3.463495057
103.406,-3.464597976
103.407,-3.465676913
103.408,-3.466771916
103.409,-3.467832692
103.41,-3.468931187
103.411,-3.469998017
103.41199,-3.471059026
103.41299,-3.472104669
103.41399,-3.473138902
103.41499,-3.474167781
103.416,-3.475181526
103.417,-3.476161277
103.418,-3.477128688
103.419,-3.478073748
103.42,-3.478986444
103.421,-3.479887266
103.422,-3.480788786
103.423,-3.48169147
103.424,-3.482598113
103.425,-3.483515
103.42599,-3.484434448
103.42699,-3.485377645
103.42799,-3.486341564
103.42899,-3.487342037
103.43,-3.48834414
103.431,-3.489324125
103.432,-3.49025731
103.433,-3.491150681
103.434,-3.491996322
103.435,-3.492798423
103.436,-3.493506229
103.437,-3.494196804
103.438,-3.494855715
103.439,-3.495531157
103.43999,-3.496248042
103.44099,-3.496974939
103.44199,-3.49776051
103.44299,-3.49854026
103.444,-3.499392187
103.445,-3.500263439
103.446,-3.501147497
103.447,-3.502074396
103.448,-3.503016895
103.449,-3.50384065
103.45,-3.50444694
103.451,-3.505059518
103.452,-3.505723085
103.453,-3.506402951
103.45399,-3.507122165
103.45499,-3.507861402
103.45599,-3.508649999
103.457,-3.509324044
103.458,-3.50979669
103.459,-3.51022603
103.46,-3.510636277
103.461,-3.511037445
103.462,-3.511449322
103.463,-3.511910094
103.464,-3.51240905
103.465,-3.512936411
103.466,-3.513470525
103.467,-3.513991134
103.46799,-3.514529206
103.46899,-3.515063087
103.46999,-3.515594173
103.471,-3.516099649
103.472,-3.516629571
103.473,-3.51715507
103.474,-3.517664969
103.475,-3.518187441
103.476,-3.518677549
103.477,-3.519176506
103.478,-3.519662656
103.479,-3.520168597
103.48,-3.520654747
103.481,-3.521116218
103.48199,-3.521578619
103.48299,-3.522037994
103.48399,-3.522487357
103.485,-3.522928106
103.486,-3.523332765
103.487,-3.523774911
103.488,-3.524181899
103.489,-3.524572123
103.49,-3.52496421
103.491,-3.525345353
103.492,-3.525731387
103.493,-3.526088782
103.494,-3.526452929
103.495,-3.526800312
