Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
103,-3.25E-02
103.001,-3.25E-02
103.002,-3.25E-02
103.003,-3.25E-02
103.004,-3.25E-02
103.005,-3.25E-02
103.006,-3.26E-02
103.007,-3.26E-02
103.008,-3.26E-02
103.009,-3.26E-02
103.01,-3.26E-02
103.011,-3.26E-02
103.012,-3.26E-02
103.013,-3.27E-02
103.014,-3.27E-02
103.015,-0.032687956
103.016,-3.27E-02
103.017,-3.27E-02
103.018,-3.27E-02
103.019,-3.27E-02
103.02,-3.28E-02
103.021,-3.28E-02
103.022,-3.28E-02
103.023,-3.28E-02
103.024,-0.032809086
103.025,-0.03282191
103.026,-3.28E-02
103.027,-3.28E-02
103.028,-3.29E-02
103.029,-3.29E-02
103.03,-3.29E-02
103.031,-3.29E-02
103.032,-3.29E-02
103.033,-3.29E-02
103.034,-3.29E-02
103.035,-3.29E-02
103.036,-3.30E-02
103.037,-0.032973552
103.038,-3.30E-02
103.039,-3.30E-02
103.04,-3.30E-02
103.041,-3.30E-02
103.042,-3.30E-02
103.043,-3.30E-02
103.044,-3.31E-02
103.045,-3.31E-02
103.046,-3.31E-02
103.047,-3.31E-02
103.048,-3.31E-02
103.049,-3.31E-02
103.05,-3.31E-02
103.051,-0.033137527
103.052,-3.31E-02
103.053,-3.32E-02
103.054,-3.32E-02
103.055,-0.033181826
103.056,-3.32E-02
103.057,-3.32E-02
103.058,-3.32E-02
103.059,-0.033224824
103.06,-3.32E-02
103.061,-3.32E-02
103.062,-3.33E-02
103.063,-3.33E-02
103.064,-3.33E-02
103.065,-3.33E-02
103.066,-3.33E-02
103.067,-0.033307311
103.068,-3.33E-02
103.069,-3.33E-02
103.07,-3.33E-02
103.071,-3.33E-02
103.072,-3.34E-02
103.073,-0.033366112
103.074,-3.34E-02
103.075,-3.34E-02
103.076,-3.34E-02
103.077,-3.34E-02
103.078,-3.34E-02
103.079,-3.34E-02
103.08,-3.34E-02
103.081,-3.34E-02
103.082,-3.34E-02
103.083,-3.35E-02
103.084,-3.35E-02
103.085,-3.35E-02
103.086,-3.35E-02
103.087,-3.35E-02
103.088,-3.35E-02
103.089,-3.35E-02
103.09,-3.35E-02
103.091,-3.35E-02
103.092,-3.35E-02
103.093,-3.35E-02
103.094,-0.033550059
103.095,-3.36E-02
103.096,-3.36E-02
103.097,-3.36E-02
103.098,-3.36E-02
103.099,-3.36E-02
103.1,-3.36E-02
103.101,-3.36E-02
103.102,-3.36E-02
103.103,-3.36E-02
103.104,-0.033626002
103.105,-3.36E-02
103.106,-3.36E-02
103.107,-3.36E-02
103.108,-3.37E-02
103.109,-3.37E-02
103.11,-3.37E-02
103.111,-3.37E-02
103.112,-0.033680655
103.113,-0.033687462
103.114,-3.37E-02
103.115,-3.37E-02
103.116,-3.37E-02
103.117,-3.37E-02
103.118,-3.37E-02
103.119,-3.37E-02
103.12,-3.37E-02
103.121,-3.37E-02
103.122,-3.37E-02
103.123,-3.37E-02
103.124,-3.38E-02
103.125,-3.38E-02
103.126,-3.38E-02
103.127,-3.38E-02
103.128,-3.38E-02
103.129,-3.38E-02
103.13,-3.38E-02
103.131,-3.38E-02
103.132,-3.38E-02
103.133,-3.38E-02
103.134,-3.38E-02
103.135,-3.38E-02
103.136,-3.38E-02
103.137,-3.38E-02
103.138,-3.38E-02
103.139,-3.38E-02
103.14,-3.38E-02
103.141,-0.033836823
103.142,-3.38E-02
103.143,-3.38E-02
103.144,-3.38E-02
103.145,-3.39E-02
103.146,-0.033856737
103.147,-3.39E-02
103.148,-3.39E-02
103.149,-3.39E-02
103.15,-3.39E-02
103.151,-3.39E-02
103.152,-3.39E-02
103.153,-3.39E-02
103.154,-3.39E-02
103.155,-3.39E-02
103.156,-3.39E-02
103.157,-0.033893455
103.158,-3.39E-02
103.159,-3.39E-02
103.16,-0.033902263
103.161,-3.39E-02
103.162,-3.39E-02
103.163,-3.39E-02
103.164,-3.39E-02
103.165,-3.39E-02
103.166,-3.39E-02
103.167,-3.39E-02
103.168,-3.39E-02
103.169,-3.39E-02
103.17,-3.39E-02
103.171,-3.39E-02
103.172,-0.033927212
103.173,-3.39E-02
103.174,-3.39E-02
103.175,-3.39E-02
103.176,-0.03393268
103.177,-3.39E-02
103.178,-3.39E-02
103.179,-3.39E-02
103.18,-3.39E-02
103.181,-0.03393798
103.182,-0.033938188
103.183,-3.39E-02
103.184,-3.39E-02
103.185,-0.033939828
103.186,-0.033940338
103.187,-3.39E-02
103.188,-3.39E-02
103.189,-3.39E-02
103.19,-3.39E-02
103.191,-3.39E-02
103.192,-3.39E-02
103.193,-3.39E-02
103.194,-3.39E-02
103.195,-3.39E-02
103.196,-3.39E-02
103.197,-3.39E-02
103.198,-0.033938017
103.199,-3.39E-02
103.2,-3.39E-02
103.201,-3.39E-02
103.202,-3.39E-02
103.203,-3.39E-02
103.204,-3.39E-02
103.205,-3.39E-02
103.206,-3.39E-02
103.207,-3.39E-02
103.208,-3.39E-02
103.209,-3.39E-02
103.21,-3.39E-02
103.211,-0.033921893
103.212,-3.39E-02
103.213,-3.39E-02
103.214,-3.39E-02
103.215,-3.39E-02
103.216,-3.39E-02
103.217,-3.39E-02
103.218,-3.39E-02
103.219,-3.39E-02
103.22,-3.39E-02
103.221,-3.39E-02
103.222,-3.39E-02
103.223,-3.39E-02
103.224,-3.39E-02
103.225,-3.39E-02
103.226,-3.39E-02
103.227,-3.39E-02
103.228,-3.39E-02
103.229,-3.39E-02
103.23,-3.39E-02
103.231,-3.39E-02
103.232,-3.39E-02
103.233,-3.39E-02
103.234,-3.39E-02
103.235,-3.39E-02
103.236,-3.38E-02
103.237,-3.38E-02
103.238,-0.033841934
103.239,-3.38E-02
103.24,-3.38E-02
103.241,-3.38E-02
103.242,-3.38E-02
103.243,-3.38E-02
103.244,-3.38E-02
103.245,-3.38E-02
103.246,-3.38E-02
103.247,-3.38E-02
103.248,-3.38E-02
103.249,-0.033785735
103.25,-3.38E-02
103.251,-3.38E-02
103.252,-3.38E-02
103.253,-3.38E-02
103.254,-3.38E-02
103.255,-0.033753749
103.256,-3.37E-02
103.257,-3.37E-02
103.258,-3.37E-02
103.259,-3.37E-02
103.26,-3.37E-02
103.261,-3.37E-02
103.262,-3.37E-02
103.263,-3.37E-02
103.264,-3.37E-02
103.265,-0.033690932
103.266,-0.033683144
103.267,-3.37E-02
103.268,-3.37E-02
103.269,-3.37E-02
103.27,-3.37E-02
103.271,-3.36E-02
103.272,-3.36E-02
103.273,-3.36E-02
103.274,-3.36E-02
103.275,-3.36E-02
103.276,-3.36E-02
103.277,-3.36E-02
103.278,-3.36E-02
103.279,-3.36E-02
