Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [?s²],,
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
,,,
*Time (s),Line A (?s?,Line B (?s?,Line C (?s?
99.7,-7.69E-02,2.6815207,8.43E-02
99.701,-7.69E-02,2.681851149,8.43E-02
99.702,-7.70E-02,2.682173967,8.44E-02
99.703,-0.076972984,2.682485104,8.44E-02
99.70399,-7.70E-02,2.682789087,8.44E-02
99.70499,-7.70E-02,2.68308115,8.44E-02
99.70599,-7.70E-02,2.683366299,8.44E-02
99.707,-7.71E-02,2.683641911,8.44E-02
99.708,-0.077081487,2.683904409,8.45E-02
99.709,-7.71E-02,2.684160948,0.084481493
99.71,-7.71E-02,2.684405565,8.45E-02
99.711,-7.71E-02,2.684643269,8.45E-02
99.712,-7.72E-02,2.684868813,8.45E-02
99.713,-7.72E-02,2.685087919,8.45E-02
99.714,-7.72E-02,2.685293913,8.46E-02
99.715,-7.72E-02,2.685492754,0.084575281
99.716,-7.72E-02,2.685680866,8.46E-02
99.717,-7.73E-02,2.68585968,8.46E-02
99.71799,-7.73E-02,2.686028481,0.084617905
99.71899,-7.73E-02,2.686190605,8.46E-02
99.71999,-7.73E-02,2.686340332,8.46E-02
99.721,-7.73E-02,2.686480999,8.47E-02
99.722,-7.74E-02,2.686612606,0.08467079
99.723,-7.74E-02,2.6867342,8.47E-02
99.724,-7.74E-02,2.686847687,8.47E-02
99.725,-7.74E-02,2.686948776,8.47E-02
99.726,-7.74E-02,2.687041998,8.47E-02
99.727,-7.75E-02,2.687125921,8.47E-02
99.728,-7.75E-02,2.687199831,8.47E-02
99.729,-7.75E-02,2.687263727,8.48E-02
99.73,-7.75E-02,2.687319279,8.48E-02
99.731,-7.75E-02,2.687363386,8.48E-02
99.73199,-7.76E-02,2.687399149,0.084781177
99.73299,-7.76E-02,2.687425137,8.48E-02
99.73399,-7.76E-02,2.687441587,8.48E-02
99.735,-7.76E-02,2.687447786,8.48E-02
99.736,-7.76E-02,2.687443972,8.48E-02
99.737,-7.76E-02,2.687432766,8.48E-02
99.738,-7.77E-02,2.687409878,8.48E-02
99.739,-7.77E-02,2.687378645,8.48E-02
99.74,-7.77E-02,2.687337637,8.48E-02
99.741,-7.77E-02,2.687285423,8.49E-02
99.742,-7.77E-02,2.687226295,8.49E-02
99.743,-7.77E-02,2.68715477,8.49E-02
99.744,-7.78E-02,2.68707633,8.49E-02
99.745,-0.077773705,2.686986446,8.49E-02
99.74599,-7.78E-02,2.686887026,8.49E-02
99.74699,-7.78E-02,2.686779022,8.49E-02
99.74799,-7.78E-02,2.686660528,8.49E-02
99.749,-7.78E-02,2.686531305,8.49E-02
99.75,-7.79E-02,2.686393261,8.49E-02
99.751,-7.79E-02,2.686246157,0.08490628
99.752,-7.79E-02,2.686088562,8.49E-02
99.753,-7.79E-02,2.685923815,8.49E-02
99.754,-7.79E-02,2.685746908,8.49E-02
99.755,-7.79E-02,2.685562372,8.49E-02
99.756,-7.79E-02,2.6853652,8.49E-02
99.757,-0.077956349,2.685160637,8.49E-02
99.758,-0.077970415,2.684947968,8.49E-02
99.759,-7.80E-02,2.684721947,8.49E-02
99.75999,-7.80E-02,2.684487343,8.49E-02
99.76099,-7.80E-02,2.684244394,8.49E-02
99.76199,-7.80E-02,2.683991671,8.49E-02
99.763,-7.80E-02,2.683724642,8.49E-02
99.764,-7.81E-02,2.683454275,8.49E-02
99.765,-0.078065425,2.683170795,8.49E-02
99.766,-7.81E-02,2.682879448,8.49E-02
99.767,-7.81E-02,2.682577848,8.49E-02
99.768,-0.078103743,2.682266235,8.49E-02
99.769,-7.81E-02,2.681944132,8.49E-02
99.77,-7.81E-02,2.681613922,8.49E-02
99.771,-7.81E-02,2.681276798,8.49E-02
99.772,-7.82E-02,2.680925369,8.49E-02
99.77299,-7.82E-02,2.680566549,8.49E-02
99.77399,-7.82E-02,2.680195332,8.49E-02
99.77499,-7.82E-02,2.679817438,8.49E-02
99.77599,-7.82E-02,2.679426432,8.49E-02
99.777,-7.82E-02,2.679028749,8.49E-02
99.778,-7.82E-02,2.678618431,0.08489275
99.779,-7.82E-02,2.678201914,8.49E-02
99.78,-7.82E-02,2.677772045,8.49E-02
99.781,-7.83E-02,2.677336931,8.49E-02
99.782,-7.83E-02,2.676887035,8.49E-02
99.783,-7.83E-02,2.676432133,8.49E-02
99.784,-7.83E-02,2.675967455,8.49E-02
99.785,-7.83E-02,2.675489426,8.49E-02
99.786,-7.83E-02,2.675005913,8.48E-02
99.78699,-7.83E-02,2.674512386,8.48E-02
99.78799,-7.83E-02,2.674009085,8.48E-02
99.78899,-7.83E-02,2.673492908,8.48E-02
99.78999,-7.83E-02,2.672970772,8.48E-02
99.791,-7.84E-02,2.672430754,8.48E-02
99.792,-7.84E-02,2.671889067,8.48E-02
99.793,-7.84E-02,2.671333551,8.48E-02
99.794,-7.84E-02,2.670768023,8.48E-02
99.795,-7.84E-02,2.670197487,8.48E-02
99.796,-0.078392431,2.669612885,8.48E-02
99.797,-7.84E-02,2.669023752,8.47E-02
99.798,-7.84E-02,2.668420315,8.47E-02
99.799,-7.84E-02,2.667811394,8.47E-02
99.8,-7.84E-02,2.667187929,8.47E-02
99.80099,-7.84E-02,2.666558743,8.47E-02
99.80199,-7.84E-02,2.665917635,8.47E-02
99.80299,-7.84E-02,2.665270567,0.084679939
99.80399,-7.85E-02,2.664603233,8.47E-02
99.805,-7.85E-02,2.663932085,8.47E-02
99.806,-7.85E-02,2.663249969,0.084641196
99.807,-0.078471839,2.662564516,8.46E-02
99.808,-7.85E-02,2.661869287,8.46E-02
99.809,-7.85E-02,2.661159754,0.084600031
99.81,-7.85E-02,2.660439491,0.084585615
99.811,-0.078496054,2.65970993,8.46E-02
99.812,-7.85E-02,2.658976555,8.46E-02
99.813,-7.85E-02,2.658227682,8.45E-02
99.814,-7.85E-02,2.657469273,0.084525004
99.81499,-7.85E-02,2.656701565,8.45E-02
99.81599,-7.85E-02,2.655929089,0.084492914
99.81699,-7.85E-02,2.65513587,8.45E-02
99.81799,-7.85E-02,2.654345274,8.45E-02
99.819,-0.078535721,2.653532028,8.44E-02
99.82,-7.85E-02,2.652715683,0.084424727
99.821,-7.85E-02,2.651896,8.44E-02
99.822,-7.85E-02,2.651060104,8.44E-02
99.823,-7.86E-02,2.650214911,8.44E-02
99.824,-7.86E-02,2.649359941,8.44E-02
99.825,-7.86E-02,2.648503065,8.43E-02
99.826,-7.86E-02,2.647621393,8.43E-02
99.827,-7.86E-02,2.646744967,8.43E-02
99.828,-7.86E-02,2.645844221,0.084273987
99.82899,-7.86E-02,2.644948244,8.43E-02
99.82999,-7.86E-02,2.644035101,0.084233359
99.83099,-0.078574114,2.643113136,8.42E-02
99.832,-7.86E-02,2.642174006,8.42E-02
99.833,-7.86E-02,2.641231775,8.42E-02
99.834,-7.86E-02,2.640288353,8.41E-02
99.835,-7.86E-02,2.639320135,8.41E-02
99.836,-7.86E-02,2.638357162,8.41E-02
99.837,-7.86E-02,2.637370586,8.41E-02
99.838,-7.86E-02,2.636388063,0.084058054
99.839,-7.86E-02,2.63538146,8.40E-02
99.84,-7.86E-02,2.63437295,0.084011011
99.841,-7.86E-02,2.633354187,8.40E-02
99.842,-7.86E-02,2.632326126,8.40E-02
99.84299,-7.86E-02,2.631289482,8.39E-02
99.84399,-7.86E-02,2.630242348,8.39E-02
99.84499,-7.86E-02,2.629177094,8.39E-02
99.846,-0.078586534,2.628111124,0.083862841
99.847,-7.86E-02,2.627035618,8.38E-02
99.848,-7.86E-02,2.625950336,8.38E-02
99.849,-7.86E-02,2.624855995,8.38E-02
99.85,-7.86E-02,2.62374115,8.38E-02
99.851,-7.86E-02,2.622628212,0.083731011
99.852,-7.86E-02,2.621504307,8.37E-02
99.853,-7.86E-02,2.620371819,8.37E-02
99.854,-7.86E-02,2.61921978,8.36E-02
99.855,-7.86E-02,2.618076563,8.36E-02
99.856,-7.86E-02,2.616906166,8.36E-02
99.85699,-7.86E-02,2.615733147,8.36E-02
99.85799,-7.86E-02,2.614543676,8.35E-02
99.85899,-7.86E-02,2.613363028,0.083504431
99.86,-7.86E-02,2.61215353,8.35E-02
99.861,-0.078556515,2.610934496,8.34E-02
99.862,-7.86E-02,2.609716177,8.34E-02
99.863,-7.85E-02,2.608477354,8.34E-02
99.864,-0.078545406,2.607239246,8.34E-02
99.865,-7.85E-02,2.605991364,8.33E-02
99.866,-7.85E-02,2.604734659,8.33E-02
99.867,-0.078532912,2.603457689,8.33E-02
99.868,-7.85E-02,2.602181911,8.32E-02
99.869,-7.85E-02,2.600886106,8.32E-02
99.87,-7.85E-02,2.599591732,0.083160438
99.87099,-7.85E-02,2.598276615,8.31E-02
99.87199,-7.85E-02,2.596962929,8.31E-02
99.87299,-7.85E-02,2.595639706,8.31E-02
99.874,-7.85E-02,2.594286203,8.30E-02
99.875,-0.07849025,2.59294343,8.30E-02
99.876,-7.85E-02,2.591581106,8.30E-02
99.877,-0.078477755,2.590219021,8.29E-02
99.878,-0.078470916,2.588837385,8.29E-02
99.879,-7.85E-02,2.587457657,8.29E-02
99.88,-7.85E-02,2.586055756,8.28E-02
99.881,-7.85E-02,2.584657192,8.28E-02
99.882,-7.84E-02,2.583237886,8.27E-02
99.883,-7.84E-02,2.581820011,0.082706593
99.884,-7.84E-02,2.580391884,8.27E-02
99.88499,-7.84E-02,2.578943491,8.26E-02
99.88599,-7.84E-02,2.577497959,8.26E-02
99.88699,-7.84E-02,2.576029778,8.26E-02
99.888,-7.84E-02,2.57455349,8.25E-02
99.889,-7.84E-02,2.573067904,0.082479827
99.89,-7.84E-02,2.571571589,8.24E-02
99.891,-7.84E-02,2.570065975,8.24E-02
99.892,-7.84E-02,2.568562984,8.24E-02
99.893,-7.83E-02,2.567039013,8.23E-02
99.894,-7.83E-02,2.565517664,8.23E-02
99.895,-7.83E-02,2.56396246,8.22E-02
99.896,-7.83E-02,2.562422276,8.22E-02
99.897,-7.83E-02,2.560872793,8.22E-02
99.89799,-7.83E-02,2.559301138,8.21E-02
99.89899,-7.83E-02,2.557720661,8.21E-02
99.89999,-7.83E-02,2.556130648,8.20E-02
99.90099,-7.83E-02,2.554542542,0.081994042
99.902,-7.83E-02,2.552921295,8.20E-02
99.903,-7.82E-02,2.551302671,8.19E-02
99.904,-7.82E-02,2.549674034,8.19E-02
99.905,-7.82E-02,2.548050404,8.18E-02
99.906,-7.82E-02,2.546390057,8.18E-02
99.907,-7.82E-02,2.544746876,8.17E-02
99.908,-7.82E-02,2.543081284,8.17E-02
99.909,-7.82E-02,2.541406631,8.16E-02
99.91,-7.82E-02,2.539735079,8.16E-02
99.911,-7.81E-02,2.538028717,8.16E-02
99.91199,-0.078126922,2.536337614,8.15E-02
99.91299,-0.078112818,2.534626007,8.15E-02
99.91399,-7.81E-02,2.532904148,8.14E-02
