Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]

*Time (s),Line A (mm/s²)
99.7,-23.4584957361221
99.701,-23.4817862510681
99.702,-23.5051810741425
99.703,-23.5283058136702
99.70399,-23.5515348613262
99.70499,-23.5744938254356
99.70599,-23.5975533723831
99.707,-23.6205328255892
99.708,-23.6432328820229
99.709,-23.6660446971655
99.71,-23.6885845661163
99.711,-23.7112268805504
99.712,-23.7335972487926
99.713,-23.7562470138073
99.714,-23.7784497439861
99.715,-23.8007493317127
99.716,-23.8227862864733
99.717,-23.844912648201
99.71799,-23.866780102253
99.71899,-23.8889176398516
99.71999,-23.9106174558401
99.721,-23.9324029535055
99.722,-23.9541083574295
99.723,-23.9757243543863
99.724,-23.9972583949566
99.725,-24.0185298025608
99.726,-24.0398906171322
99.727,-24.0611638873816
99.728,-24.0823514759541
99.729,-24.1032857447863
99.73,-24.1244714707136
99.731,-24.1452306509018
99.73199,-24.166077375412
99.73299,-24.1868328303099
99.73399,-24.2073405534029
99.735,-24.228086695075
99.736,-24.2485795170069
99.737,-24.2689978331327
99.738,-24.2893155664206
99.739,-24.3095587939024
99.74,-24.3295449763536
99.741,-24.3497658520937
99.742,-24.3695862591267
99.743,-24.3896320462227
99.744,-24.4092755019665
99.745,-24.4289897382259
99.74599,-24.4486164301634
99.74699,-24.4681555777788
99.74799,-24.4876053184271
99.749,-24.507125839591
99.75,-24.5264004915953
99.751,-24.5455894619226
99.752,-24.5648454874754
99.753,-24.5837066322565
99.754,-24.6027857065201
99.755,-24.6214661747217
99.756,-24.6403645724058
99.757,-24.6590245515108
99.758,-24.6774461120367
99.759,-24.6960800141096
99.75999,-24.714469909668
99.76099,-24.7327797114849
99.76199,-24.7509963810444
99.763,-24.76941421628
99.764,-24.7873086482286
99.765,-24.8054061084986
99.766,-24.8232707381248
99.767,-24.8410385102034
99.768,-24.858720600605
99.769,-24.8764604330063
99.77,-24.8939618468285
99.771,-24.9112397432327
99.772,-24.9287076294422
99.77299,-24.9459445476532
99.77399,-24.9632317572832
99.77499,-24.9802898615599
99.77599,-24.9973963946104
99.777,-25.0142756849527
99.778,-25.0311978161335
99.779,-25.0478964298964
99.78,-25.0646378844976
99.781,-25.0811595469713
99.782,-25.097718462348
99.783,-25.1140594482422
99.784,-25.1303054392338
99.785,-25.146596133709
99.786,-25.1626670360565
99.78699,-25.1786410808563
99.78799,-25.1945294439793
99.78899,-25.2104550600052
99.78999,-25.2261627465487
99.791,-25.242030620575
99.792,-25.2575613558292
99.793,-25.2731181681156
99.794,-25.2885818481445
99.795,-25.3038350492716
99.796,-25.319118052721
99.797,-25.3341887146235
99.798,-25.3492873162031
99.799,-25.3641791641712
99.8,-25.3790933638811
99.80099,-25.3937970846891
99.80199,-25.4085343331099
99.80299,-25.4230555146933
99.80399,-25.4377238452435
99.805,-25.4521798342466
99.806,-25.4665408283472
99.807,-25.4806969314814
99.808,-25.4947617650032
99.809,-25.508850812912
99.81,-25.522843003273
99.811,-25.5367439240217
99.812,-25.5504436790943
99.813,-25.5641583353281
99.814,-25.5777798593044
99.81499,-25.5913138389587
99.81599,-25.6046410650015
99.81699,-25.6180912256241
99.81799,-25.6312377750874
99.819,-25.6444998085499
99.82,-25.6575662642717
99.821,-25.6704315543175
99.822,-25.6833117455244
99.823,-25.6960969418287
99.824,-25.7087871432304
99.825,-25.7212873548269
99.826,-25.7338937371969
99.827,-25.7462039589882
99.828,-25.7586184889078
99.82899,-25.7707443088293
99.82999,-25.7828738540411
99.83099,-25.7949158549309
99.832,-25.8069522678852
99.833,-25.8188024163246
99.834,-25.8304607123137
99.835,-25.8422140032053
99.836,-25.8536878973246
99.837,-25.8652605116367
99.838,-25.8765444159508
99.839,-25.8879233151674
99.84,-25.8991122245789
99.841,-25.9102061390877
99.842,-25.9212125092745
99.84299,-25.9321220219135
99.84399,-25.94293653965
99.84499,-25.9537417441607
99.846,-25.9643644094467
99.847,-25.9748958051205
99.848,-25.9853359311819
99.849,-25.9956773370504
99.85,-26.0059963911772
99.851,-26.0161571204662
99.852,-26.0262098163366
99.853,-26.0361731052399
99.854,-26.0461233556271
99.855,-26.0558165609837
99.856,-26.0655730962753
99.85699,-26.0751508176327
99.85799,-26.0847173631191
99.85899,-26.0940343141556
99.86,-26.1034071445465
99.861,-26.1126831173897
99.862,-26.1217933148146
99.863,-26.1308755725622
99.864,-26.1397939175367
99.865,-26.1486116796732
99.866,-26.1573400348425
99.867,-26.1660367250443
99.868,-26.1745750904083
99.869,-26.1830780655146
99.87,-26.1914283037186
99.87099,-26.1997412890196
99.87199,-26.2078940868378
99.87299,-26.2159537523985
99.874,-26.2240469455719
99.875,-26.231911033392
99.876,-26.2397453188896
99.877,-26.2474175542593
99.878,-26.2550562620163
99.879,-26.2625403702259
99.88,-26.2699853628874
99.881,-26.2772757560015
99.882,-26.2845307588577
99.883,-26.2916292995214
99.884,-26.2986309826374
99.88499,-26.3055935502052
99.88599,-26.312405243516
99.88699,-26.3191722333431
99.888,-26.3258460909128
99.889,-26.3324212282896
99.89,-26.3388976454735
99.891,-26.3452753424644
99.892,-26.3515114784241
99.893,-26.3576991856098
99.894,-26.3637434691191
99.895,-26.3697821646929
99.896,-26.3756308704615
99.897,-26.3813827186823
99.89799,-26.3870824128389
99.89899,-26.3926908373833
99.89999,-26.3981949537992
99.90099,-26.4035612344742
99.902,-26.4089163392782
99.903,-26.4141317456961
99.904,-26.4192447066307
99.905,-26.4242254197598
99.906,-26.4291856437922
99.907,-26.4339726418257
99.908,-26.4386981725693
99.909,-26.4433287084103
99.91,-26.4478214085102
99.911,-26.4522954821587
99.91199,-26.4565907418728
99.91299,-26.460837572813
99.91399,-26.4649763703346
99.91499,-26.4690183103085
99.916,-26.4729969203472
99.917,-26.4768414199352
99.918,-26.4805927872658
99.919,-26.4842417091131
99.92,-26.4878012239933
99.921,-26.4912545681
99.922,-26.4946147799492
99.923,-26.4978520572186
99.924,-26.5010390430689
99.925,-26.5040993690491
99.92599,-26.5070684254169
99.92699,-26.5099387615919
99.92799,-26.512710377574
99.92899,-26.5153851360083
99.93,-26.5179965645075
99.931,-26.5204552561045
99.932,-26.5228506177664
99.933,-26.5251342207193
99.934,-26.5272967517376
99.935,-26.5293996781111
99.936,-26.5313889831305
99.937,-26.5332739800215
99.938,-26.5350602567196
99.939,-26.5367683023214
99.93999,-26.5383645892143
99.94099,-26.5398565679789
99.94199,-26.5412572771311
99.94299,-26.542566716671
99.944,-26.5437737107277
99.945,-26.5448838472366
99.946,-26.5458896756172
99.947,-26.5467911958694
99.948,-26.5476033091545
99.949,-26.5483092516661
99.95,-26.5489257872105
99.951,-26.5494380146265
99.952,-26.5498533844948
