Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]

*Time (s),Line A (mm/s²)
99.8,-378.452301025391
99.801,-378.564953804016
99.802,-378.676682710648
99.803,-378.787487745285
99.804,-378.897339105606
99.805,-379.006266593933
99.806,-379.114270210266
99.80701,-379.221349954605
99.80801,-379.32750582695
99.80901,-379.432678222656
99.81001,-379.536926746368
99.811,-379.640251398087
99.812,-379.742622375488
99.813,-379.844009876251
99.814,-379.944562911987
99.815,-380.04407286644
99.816,-380.141764879227
99.817,-380.239456892014
99.818,-380.336225032806
99.819,-380.432039499283
99.82,-380.526840686798
99.82101,-380.621701478958
99.82201,-380.714684724808
99.82301,-380.805850028992
99.82401,-380.896955728531
99.825,-380.987077951431
99.826,-381.076276302338
99.827,-381.164520978928
99.828,-381.251931190491
99.829,-381.338268518448
99.83,-381.422877311707
99.831,-381.507396697998
99.832,-381.590187549591
99.833,-381.672859191895
99.834,-381.754457950592
99.83501,-381.836026906967
99.83601,-381.915718317032
99.83701,-381.994634866714
99.83801,-382.072538137436
99.839,-382.148683071136
99.84,-382.224768400192
99.841,-382.299780845642
99.842,-382.373869419098
99.843,-382.447063922882
99.844,-382.519364356995
99.845,-382.590562105179
99.846,-382.660865783691
99.847,-382.72961974144
99.848,-382.797986268997
99.84901,-382.866024971008
99.85001,-382.9325735569
99.85101,-382.998138666153
99.85201,-383.062750101089
99.853,-383.12703371048
99.854,-383.189022541046
99.855,-383.250832557678
99.856,-383.311569690704
99.857,-383.371382951736
99.858,-383.430302143097
99.859,-383.488148450851
99.86,-383.545011281967
99.861,-383.601009845734
99.862,-383.655995130539
99.86301,-383.710026741028
99.86401,-383.7631046772
99.86501,-383.815079927444
99.866,-383.866220712662
99.867,-383.916795253754
99.868,-383.965969085693
99.869,-384.014099836349
99.87,-384.060740470886
99.871,-384.107053279877
99.872,-384.152233600616
99.873,-384.196430444717
99.874,-384.240031242371
99.875,-384.282261133194
99.876,-384.323447942734
99.87701,-384.363502264023
99.87801,-384.402692317963
99.87901,-384.441167116165
99.88,-384.478151798248
99.881,-384.51412320137
99.882,-384.549170732498
99.883,-384.583383798599
99.884,-384.616106748581
99.885,-384.647816419601
99.886,-384.678363800049
99.887,-384.707868099213
99.888,-384.736508131027
99.889,-384.7636282444
99.89,-384.789884090424
99.89101,-384.815037250519
99.89201,-384.838700294495
99.89301,-384.860664606094
99.894,-384.882003068924
99.895,-384.90155339241
99.896,-384.919911623001
99.897,-384.936839342117
99.898,-384.952217340469
99.899,-384.96607542038
99.9,-384.978115558624
99.901,-384.988486766815
99.902,-384.99641418457
99.903,-385.002762079239
99.904,-385.006695985794
99.90501,-385.008275508881
99.90601,-385.007172822952
99.90701,-385.003000497818
99.908,-384.996563196182
99.909,-384.987890720367
99.91,-384.980767965317
99.911,-384.986191987991
99.912,-385.043442249298
99.913,-384.695768356323
99.914,-383.673310279846
99.915,-374.473929405212
99.916,-365.161895751953
99.917,-363.463491201401
99.918,-363.001763820648
99.91901,-362.951159477234
99.92001,-362.906068563461
99.92101,-362.873017787933
99.922,-362.850397825241
99.923,-362.836122512817
99.924,-362.828075885773
99.925,-362.824410200119
99.926,-362.824469804764
99.927,-362.82742023468
99.928,-362.832129001617
99.929,-362.838566303253
99.93,-362.867593765259
99.931,-362.911343574524
99.93201,-362.952619791031
99.93301,-362.991601228714
99.93401,-363.028079271317
99.93501,-363.062918186188
99.936,-363.095641136169
99.937,-363.126695156097
99.938,-363.156527280807
99.939,-363.184690475464
99.94,-363.211572170258
99.941,-363.236844539642
99.942,-363.260865211487
99.943,-363.283812999725
99.944,-363.305419683456
99.945,-363.326251506805
99.94601,-363.345831632614
99.94701,-363.364100456238
99.94801,-363.381505012512
99.94901,-363.397806882858
99.95,-363.413125276566
99.951,-363.427489995956
99.952,-363.440811634064
99.953,-363.453298807144
99.954,-363.464862108231
99.955,-363.475441932678
99.956,-363.485127687454
99.957,-363.494098186493
99.958,-363.502264022827
99.959,-363.509386777878
99.96001,-363.515853881836
99.96101,-363.521754741669
99.96201,-363.526821136475
99.96301,-363.53126168251
99.964,-363.534837961197
99.965,-363.538146018982
99.966,-363.540440797806
99.967,-363.542586565018
99.968,-363.544046878815
99.969,-363.545060157776
99.97,-363.545715808868
99.971,-363.546192646027
99.972,-363.546341657639
99.973,-363.546550273895
99.97401,-363.546460866928
99.97501,-363.54672908783
99.97601,-363.547295331955
99.97701,-363.548308610916
99.978,-363.550156354904
99.979,-363.552749156952
99.98,-363.55596780777
99.981,-363.559186458588
99.982,-363.55921626091
99.983,-363.702893257141
99.984,-364.173710346222
99.985,-364.927172660828
99.986,-368.919610977173
99.987,-380.593448877335
99.98801,-382.592171430588
99.98901,-382.752567529678
99.99001,-382.711917161942
99.991,-382.711052894592
99.992,-382.705599069595
99.993,-382.675141096115
99.994,-382.570564746857
99.995,-382.477104663849
99.996,-382.388591766357
99.997,-382.302820682526
99.998,-382.219254970551
99.999,-382.136851549149
100,-382.05498456955
100.001,-381.972819566727
100.00201,-381.890386343002
100.00301,-381.807744503021
100.00401,-381.724894046783
100.005,-381.640553474426
100.006,-381.5558552742
100.007,-381.469577550888
100.008,-381.382763385773
100.009,-381.295055150986
100.01,-381.206750869751
100.011,-381.117790937424
100.012,-381.026476621628
100.013,-380.935221910477
100.014,-380.842655897141
100.015,-380.7492852211
100.01601,-380.653947591782
100.01701,-380.55944442749
100.01801,-380.465358495712
100.019,-380.37183880806
100.02,-380.282610654831
100.021,-380.204498767853
100.022,-380.171597003937
100.023,-379.894554615021
100.024,-363.095819950104
100.025,-361.806094646454
100.026,-361.682683229446
100.027,-361.584156751633
100.028,-361.497819423676
100.029,-361.417710781097
100.03001,-361.340999603271
100.03101,-361.266732215881
100.03201,-361.194044351578
100.033,-361.122101545334
100.034,-361.050993204117
100.035,-360.979795455933
100.036,-360.90874671936
100.037,-360.837250947952
100.038,-360.765933990479
100.039,-360.693752765656
100.04,-360.62154173851
100.041,-360.54915189743
100.042,-360.477387905121
100.043,-360.40398478508
100.04401,-360.330373048782
100.04501,-360.255867242813
100.04601,-360.181927680969
100.047,-360.107034444809
100.048,-360.032677650452
100.049,-359.958440065384
100.05,-359.883099794388
100.051,-359.806925058365
100.052,-359.731674194336
100.053,-359.655767679214
100.054,-359.580218791962
100.055,-359.505504369736
100.056,-359.433203935623
100.05701,-359.372675418854
100.05801,-375.997126102448
100.05901,-375.871807336807
100.06001,-375.754833221436
100.061,-375.636756420135
100.062,-375.517159700394
100.063,-375.395536422729
100.064,-375.271856784821
100.065,-375.147730112076
100.066,-375.020056962967
100.067,-374.890297651291
100.068,-374.758362770081
100.069,-374.62306022644
100.07,-374.486774206161
100.07101,-374.345272779465
