Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
100.2,-153.5242349
100.201,-153.5375565
100.202,-153.5508484
100.203,-153.5639018
100.20399,-153.5769403
100.20499,-153.5897106
100.20599,-153.6024511
100.207,-153.6150873
100.208,-153.6275446
100.209,-153.6397785
100.21,-153.6518782
100.211,-153.663829
100.212,-153.6757797
100.213,-153.6874771
100.214,-153.6990404
100.215,-153.710559
100.216,-153.7217498
100.217,-153.7329853
100.21799,-153.744027
100.21899,-153.7549645
100.21999,-153.7657231
100.221,-153.776437
100.222,-153.7868977
100.223,-153.7973136
100.224,-153.8075209
100.225,-153.8175046
100.226,-153.827548
100.227,-153.8373381
100.228,-153.8469791
100.229,-153.8565159
100.23,-153.8659632
100.231,-153.8751572
100.23199,-153.8843364
100.23299,-153.8933367
100.23399,-153.9022028
100.235,-153.9109647
100.236,-153.9195478
100.237,-153.9279819
100.238,-153.9362371
100.239,-153.9445072
100.24,-153.9525092
100.241,-153.9604515
100.242,-153.9682597
100.243,-153.9758891
100.244,-153.983295
100.245,-153.9907306
100.24599,-153.9979279
100.24699,-154.0050656
100.24799,-154.0120095
100.249,-154.0189534
100.25,-154.0255994
100.251,-154.0321112
100.252,-154.0386081
100.253,-154.0448815
100.254,-154.05114
100.255,-154.0571004
100.256,-154.0630311
100.257,-154.0688127
100.258,-154.0744603
100.259,-154.0799737
100.25999,-154.0853679
100.26099,-154.090628
100.26199,-154.0957987
100.263,-154.1008204
100.264,-154.1056484
100.265,-154.1105211
100.266,-154.1151553
100.267,-154.1197002
100.268,-154.1241109
100.269,-154.1284323
100.27,-154.1326195
100.271,-154.1367769
100.272,-154.1407257
100.27299,-154.1446447
100.27399,-154.1484743
100.27499,-154.1522294
100.27599,-154.1558504
100.277,-154.1594565
100.278,-154.1630179
100.279,-154.16646
100.28,-154.1699767
100.281,-154.1734189
100.282,-154.1769207
100.283,-154.1805118
100.284,-154.1842222
100.285,-154.1881859
100.286,-154.1924626
100.28699,-154.1971564
100.28799,-154.2026401
100.28899,-154.2092115
100.28999,-154.2176008
100.291,-154.2291343
100.292,-154.2463154
100.293,-154.275611
100.294,-154.3360949
100.295,-154.5601636
100.296,-156.4921439
100.297,-166.3774997
100.298,-167.6034778
100.299,-167.7556932
100.3,-167.8132862
100.30099,-167.8476185
100.30199,-167.87301
100.30299,-167.8937674
100.30399,-167.9123491
100.305,-167.929396
100.306,-167.9454744
100.307,-167.9607332
100.308,-167.9734141
100.309,-167.9845601
100.31,-167.9957658
100.311,-168.0068672
100.312,-168.0179387
100.313,-168.0289358
100.314,-168.0399179
100.31499,-168.0508107
100.31599,-168.0615097
100.31699,-168.0722088
100.31799,-168.0826545
100.319,-168.0933088
100.32,-168.103531
100.321,-168.1137383
100.322,-168.1237668
100.323,-168.1337655
100.324,-168.1434363
100.325,-168.1531072
100.326,-168.1624651
100.327,-168.1718677
100.328,-168.1810021
100.32899,-168.1899279
100.32999,-168.1988537
100.33099,-168.207407
100.332,-168.2159603
100.333,-168.2242453
100.334,-168.2322919
100.335,-168.2400703
100.336,-168.2477295
100.337,-168.2550311
100.338,-168.2621986
100.339,-168.2689488
100.34,-168.2753861
100.341,-168.2815701
100.342,-168.2873219
100.34299,-168.2926565
100.34399,-168.2973951
100.34499,-168.3015972
100.346,-168.305099
100.347,-168.3076173
100.348,-168.3089584
100.349,-168.3085859
100.35,-168.3059335
100.351,-168.299675
100.352,-168.2873815
100.353,-168.264091
100.354,-168.2160497
100.355,-168.0495888
100.356,-167.2834456
100.35699,-157.8080505
100.35799,-154.1478634
100.35899,-153.9764851
100.36,-153.9349258
100.361,-153.9490372
100.362,-153.9579183
100.363,-153.9633423
100.364,-153.9663076
100.365,-153.9673507
100.366,-153.9672315
100.367,-153.9660245
100.368,-153.9642662
100.369,-153.9618224
100.37,-153.9589167
100.37099,-153.9556831
100.37199,-153.9522409
100.37299,-153.9485753
100.374,-153.9447904
100.375,-153.9409906
100.376,-153.9372504
100.377,-153.9336294
100.378,-153.930068
100.379,-153.9268494
100.38,-153.923735
100.381,-153.9211869
100.382,-153.9188623
100.383,-153.9172083
100.384,-153.9159864
100.38499,-153.9156139
100.38599,-153.9158225
100.38699,-153.9170146
100.388,-153.9206058
100.389,-153.9339274
100.39,-153.9491862
100.391,-153.966397
100.392,-153.986156
100.393,-154.0081352
100.394,-154.0328413
100.395,-154.0601701
100.396,-154.0903002
100.397,-154.1229188
100.39799,-154.1579813
100.39899,-154.1950405
100.39999,-154.2337537
100.40099,-154.2732418
100.402,-154.3129832
100.403,-154.3519795
100.404,-154.3892324
100.405,-154.4240266
100.406,-154.4552594
100.407,-154.4905156
100.408,-154.5224041
100.409,-154.5483172
100.41,-154.5680463
100.411,-154.5820534
100.41199,-154.5902491
100.41299,-154.5934975
100.41399,-154.5923352
100.41499,-154.5873582
100.416,-154.5792967
100.417,-154.5686871
100.418,-154.556185
100.419,-154.5422524
100.42,-154.527694
100.421,-154.5124352
100.422,-154.4973701
100.423,-154.4830799
100.424,-154.471606
100.425,-154.4657499
100.42599,-154.4732451
100.42699,-154.5173377
100.42799,-154.7475457
100.42899,-168.0847853
100.43,-167.425707
100.431,-167.2931463
100.432,-167.227149
100.433,-167.1824157
100.434,-167.147845
100.435,-167.1198606
100.436,-167.0968831
100.437,-167.0785993
100.438,-167.0643985
100.439,-167.054221
100.43999,-167.0477241
100.44099,-167.0445055
100.44199,-167.0437455
100.44299,-167.0441031
100.444,-167.0437604
100.445,-167.0404077
100.446,-167.0315266
100.447,-167.0134366
100.448,-166.9816375
100.449,-166.9289917
100.45,-166.8432504
100.451,-166.6981876
100.452,-166.4275825
100.453,-165.7547206
100.45399,-162.590906
100.45499,-152.6273787
100.45599,-152.7872384
100.457,-153.149873
100.458,-153.329879
100.459,-153.4319222
100.46,-153.4971297
100.461,-153.5438895
100.462,-153.5663903
100.463,-153.5722613
100.464,-153.5670608
100.465,-153.5584778
100.466,-153.5539925
100.467,-153.5626799
100.46799,-153.597191
100.46899,-153.6744386
100.46999,-153.8259089
100.471,-154.1171372
100.472,-154.7665745
100.473,-156.6841304
100.474,-163.5680646
100.475,-167.9406762
100.476,-167.8783149
100.477,-167.6029861
100.478,-167.378366
100.479,-167.2269553
100.48,-167.1212912
100.481,-167.045787
100.48199,-166.9880897
100.48299,-166.9366658
100.48399,-166.8781787
100.485,-166.7814702
100.486,-166.6257828
100.487,-166.3668603
100.488,-165.9032702
100.489,-164.8666114
100.49,-161.9836092
100.491,-155.1836878
100.492,-151.8414319
100.493,-151.5414566
100.494,-151.6601592
100.495,-151.7478079
100.49599,-151.8516093
100.49699,-151.9163251
100.49799,-151.9535184
