Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
100.1,-224.9226421
100.101,-225.045383
100.102,-225.1675278
100.103,-225.2891362
100.104,-225.4102081
100.105,-225.5306989
100.106,-225.6495059
100.107,-225.7700562
100.108,-225.8888781
100.109,-226.0071486
100.11,-226.1248529
100.111,-226.2420356
100.112,-226.3574749
100.113,-226.4723927
100.114,-226.5879065
100.115,-226.7028093
100.116,-226.8171906
100.117,-226.9309908
100.118,-227.0442545
100.119,-227.1569371
100.12,-227.2690535
100.121,-227.3795307
100.122,-227.4905592
100.123,-227.6009917
100.124,-227.7109027
100.125,-227.8202027
100.126,-227.9289812
100.127,-228.0361205
100.128,-228.1437665
100.129,-228.2497883
100.13,-228.3563167
100.131,-228.462249
100.132,-228.5666317
100.133,-228.6714613
100.134,-228.7757248
100.135,-228.879407
100.136,-228.9815843
100.137,-229.0841341
100.138,-229.1861624
100.139,-229.2875797
100.14,-229.387477
100.141,-229.4878066
100.142,-229.58754
100.143,-229.6867371
100.144,-229.7834456
100.145,-229.8814654
100.146,-229.9789637
100.147,-230.0749719
100.14799,-230.1713079
100.149,-230.2680314
100.15,-230.3623259
100.151,-230.4560542
100.152,-230.5501401
100.153,-230.6427658
100.154,-230.7357043
100.155,-230.8281064
100.156,-230.9190184
100.157,-231.0102731
100.158,-231.1009616
100.159,-231.1901748
100.16,-231.2788665
100.161,-231.3678414
100.16199,-231.4553857
100.163,-231.5440774
100.164,-231.6313237
100.165,-231.7171842
100.166,-231.8033278
100.167,-231.8871915
100.168,-231.9721878
100.169,-232.0566177
100.17,-232.139647
100.171,-232.2228998
100.172,-232.3048264
100.173,-232.3869318
100.174,-232.4685156
100.175,-232.5487137
100.17599,-232.6283455
100.177,-232.7081859
100.178,-232.7874601
100.179,-232.8661382
100.18,-232.943505
100.181,-233.0210805
100.182,-233.0973148
100.183,-233.172968
100.184,-233.2480848
100.185,-233.3233356
100.186,-233.3980203
100.187,-233.4713936
100.188,-233.5449606
100.189,-233.6172312
100.18999,-233.6896062
100.191,-233.7607145
100.192,-233.8319868
100.193,-233.9026481
100.194,-233.9720577
100.195,-234.0415716
100.196,-234.1098189
100.197,-234.1782004
100.198,-234.2453301
100.199,-234.3118936
100.2,-234.3778908
100.201,-234.4439626
100.202,-234.5094532
100.203,-234.5737517
100.20399,-234.6380651
100.205,-234.7017974
100.206,-234.7643822
100.207,-234.826386
100.208,-234.8884046
100.209,-234.949857
100.21,-235.0101471
100.211,-235.0704074
100.212,-235.1295352
100.213,-235.1886779
100.214,-235.2466732
100.215,-235.3041023
100.216,-235.3615016
100.217,-235.4177833
100.21799,-235.4740202
100.219,-235.5296761
100.22,-235.5847657
100.221,-235.6392741
100.222,-235.6921583
100.223,-235.7454896
100.224,-235.797748
100.225,-235.8499616
100.226,-235.9015644
100.227,-235.9520793
100.228,-236.0025197
100.229,-236.0523939
100.23,-236.1007035
100.231,-236.1494154
100.232,-236.1980379
100.233,-236.2450957
100.234,-236.2920493
100.235,-236.3384068
100.236,-236.3837808
100.237,-236.4285588
100.238,-236.4731878
100.239,-236.5168184
100.24,-236.5603149
100.241,-236.6032004
100.242,-236.6455048
100.243,-236.6868109
100.244,-236.7279679
100.245,-236.7685288
100.246,-236.8085384
100.247,-236.8475497
100.248,-236.8863672
100.249,-236.9246334
100.25,-236.9622588
100.251,-236.9993329
100.252,-237.0354682
100.253,-237.0710224
100.254,-237.1063381
100.255,-237.1410728
100.256,-237.1752113
100.257,-237.2088432
100.258,-237.2418344
100.259,-237.2742593
100.26,-237.3057604
100.261,-237.337023
100.262,-237.3676598
100.263,-237.39779
100.264,-237.4273092
100.265,-237.4562472
100.266,-237.4846637
100.267,-237.5124395
100.268,-237.5396788
100.269,-237.5663072
100.27,-237.5923991
100.271,-237.6179248
100.272,-237.6428545
100.27299,-237.6672924
100.274,-237.691462
100.275,-237.7147377
100.276,-237.7375811
100.277,-237.759769
100.278,-237.7815843
100.279,-237.8028482
100.28,-237.8238291
100.281,-237.8441244
100.282,-237.8639877
100.283,-237.883687
100.284,-237.9028052
100.285,-237.9216552
100.286,-237.9402667
100.28699,-237.9588336
100.288,-237.9773855
100.289,-237.9959822
100.29,-238.0147576
100.291,-238.0341291
100.292,-238.0541265
100.293,-238.0757332
100.294,-238.0993366
100.295,-238.1257117
100.296,-238.1565869
100.297,-238.1938398
100.298,-238.2408381
100.299,-238.3028567
100.3,-238.3889258
100.30099,-238.5147065
100.302,-238.7106121
100.303,-239.0360534
100.304,-239.6194339
100.305,-240.7446206
100.306,-242.9855764
100.307,-246.9228804
100.308,-251.5760362
100.309,-254.9497485
100.31,-256.8267584
100.311,-257.8358054
100.312,-258.4080696
100.313,-258.7548196
100.314,-258.9772642
100.31499,-259.1267824
100.316,-259.2306733
100.317,-259.3046725
100.318,-259.3582273
100.319,-259.3972385
100.32,-259.4256699
100.321,-259.4459355
100.322,-259.4600618
100.323,-259.4693601
100.324,-259.4745159
100.325,-259.4764233
100.326,-259.4755292
100.327,-259.4721913
100.328,-259.4668865
100.32899,-259.459734
100.33,-259.4508529
100.331,-259.4405413
100.332,-259.4288588
100.333,-259.4159544
100.334,-259.4020963
100.335,-259.3869269
100.336,-259.3707442
100.337,-259.3537867
100.338,-259.3357265
100.339,-259.3171597
100.34,-259.2973113
100.341,-259.2768967
100.342,-259.2554092
100.34299,-259.2334151
100.344,-259.2103183
100.345,-259.1868043
100.346,-259.1624558
100.347,-259.1374516
100.348,-259.111613
100.349,-259.085238
100.35,-259.0579689
100.351,-259.0301037
100.352,-259.0016127
100.353,-258.9723468
100.354,-258.9423656
100.355,-258.9121163
100.356,-258.8808835
100.357,-258.8489652
100.358,-258.8163614
100.359,-258.7831616
100.36,-258.7496042
100.361,-258.7150633
100.362,-258.680582
100.363,-258.6447299
100.364,-258.6086094
100.365,-258.5715353
100.366,-258.5341334
100.367,-258.4961653
100.368,-258.4572434
100.369,-258.4180236
100.37,-258.3781183
100.371,-258.3376467
100.372,-258.2966685
100.373,-258.2550645
100.374,-258.212775
100.375,-258.1699491
100.376,-258.1265271
100.377,-258.082509
100.378,-258.0388784
100.379,-257.9937577
100.38,-257.9481006
100.381,-257.9022646
100.382,-257.8555644
100.383,-257.8087747
100.384,-257.761389
100.385,-257.7130497
100.386,-257.6647997
100.387,-257.6159537
100.388,-257.5666904
100.389,-257.5168908
100.39,-257.4667037
100.391,-257.4160695
100.392,-257.3648691
100.393,-257.3132813
100.394,-257.2617233
100.395,-257.2095394
100.396,-257.1560442
100.397,-257.101655
100.39799,-257.0462227
100.399,-256.9879889
100.4,-256.9256723
,-259.4764233
