Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
104.1,-131.186232
104.101,-131.220758
104.102,-131.2550008
104.103,-131.2888712
104.104,-131.3223988
104.105,-131.3552856
104.106,-131.3882023
104.107,-131.4210892
104.108,-131.4533204
104.109,-131.4852387
104.11,-131.5168142
104.111,-131.5480769
104.112,-131.5786988
104.113,-131.6093206
104.114,-131.6395849
104.115,-131.6695213
104.116,-131.6991448
104.117,-131.7284405
104.118,-131.7574233
104.119,-131.7860782
104.12,-131.8140924
104.121,-131.842345
104.122,-131.8699867
104.123,-131.8973154
104.124,-131.9243014
104.125,-131.9509745
104.126,-131.977275
104.127,-132.0030689
104.128,-132.0287436
104.129,-132.0540756
104.13,-132.0791245
104.131,-132.1038008
104.132,-132.1281642
104.133,-132.1521848
104.134,-132.1758777
104.135,-132.1992725
104.136,-132.2222948
104.137,-132.2450042
104.138,-132.2673708
104.139,-132.2893947
104.14,-132.3111057
104.141,-132.3324889
104.142,-132.3535442
104.143,-132.3740482
104.144,-132.3944181
104.145,-132.4144304
104.146,-132.4341595
104.147,-132.453531
104.14799,-132.4725747
104.149,-132.4914843
104.15,-132.5096488
104.151,-132.5276792
104.152,-132.5453818
104.153,-132.5627118
104.154,-132.5797588
104.155,-132.5964332
104.156,-132.6127946
104.157,-132.6289773
104.158,-132.6446682
104.159,-132.6598376
104.16,-132.674858
104.161,-132.6895207
104.16199,-132.7038854
104.163,-132.7180415
104.164,-132.7317208
104.165,-132.7450573
104.166,-132.758081
104.167,-132.7707469
104.168,-132.7831447
104.169,-132.7951699
104.17,-132.8068823
104.171,-132.8184009
104.172,-132.8294575
104.173,-132.8401864
104.174,-132.850647
104.175,-132.8606755
104.17599,-132.8706145
104.177,-132.8802109
104.178,-132.8894496
104.179,-132.8983754
104.18,-132.9070479
104.181,-132.9154223
104.182,-132.9233944
104.183,-132.9312772
104.184,-132.9388171
104.185,-132.9461783
104.186,-132.953167
104.187,-132.9599619
104.188,-132.9665929
104.189,-132.9729259
104.18999,-132.9790503
104.191,-132.9849809
104.192,-132.9907179
104.193,-132.9962909
104.194,-133.0017447
104.195,-133.00699
104.196,-133.0121458
104.197,-133.0171674
104.198,-133.0222934
104.199,-133.0274194
104.2,-133.0324858
104.201,-133.0376118
104.202,-133.0426931
104.203,-133.0478638
104.20399,-133.0530941
104.205,-133.0584437
104.206,-133.0639124
104.207,-133.0695897
104.208,-133.0754757
104.209,-133.081615
104.21,-133.0880225
104.211,-133.0947727
104.212,-133.1019253
104.213,-133.1095546
104.214,-133.1175864
104.215,-133.1261992
104.216,-133.1354231
104.217,-133.1452727
104.21799,-133.1558526
104.219,-133.1671774
104.22,-133.1794411
104.221,-133.1925541
104.222,-133.2067251
104.223,-133.2219541
104.224,-133.2383454
104.225,-133.256048
104.226,-133.2750767
104.227,-133.2955807
104.228,-133.3176047
104.229,-133.3413869
104.23,-133.3669424
104.231,-133.3943009
104.232,-133.4236115
104.233,-133.4551424
104.234,-133.4889531
104.235,-133.5251927
104.236,-133.564055
104.237,-133.60551
104.238,-133.649826
104.239,-133.6971223
104.24,-133.7476075
104.241,-133.8012666
104.242,-133.8584721
104.243,-133.9192241
104.244,-133.9838356
104.245,-134.0524107
104.246,-134.1249347
104.247,-134.2017204
104.248,-134.2828572
104.249,-134.368524
104.25,-134.4587505
104.251,-134.5537752
104.252,-134.6537322
104.253,-134.7584128
104.254,-134.8680705
104.255,-134.9826753
104.256,-135.1020336
104.257,-135.2264583
104.258,-135.3554875
104.259,-135.4894042
104.26,-135.6277019
104.261,-135.7702166
104.262,-135.9167844
104.263,-136.0672861
104.264,-136.2209916
104.265,-136.3776922
104.266,-136.5369409
104.267,-136.6980076
104.268,-136.8609369
104.269,-137.0246112
104.27,-137.1885985
104.271,-137.3521537
104.272,-137.514919
104.27299,-137.6759261
104.274,-137.8346533
104.275,-137.990728
104.276,-138.0636096
104.277,-138.1139457
104.278,-138.1619871
104.279,-138.2075846
104.28,-138.2499635
104.281,-138.2889301
104.282,-138.3242756
104.283,-138.3558512
104.284,-138.3833289
104.285,-138.4062767
104.286,-138.425082
104.28699,-138.4393126
104.288,-138.4490579
104.289,-138.4546757
104.29,-138.4557933
104.291,-138.4532303
104.292,-138.4464502
104.293,-138.4359002
104.294,-138.421759
104.295,-138.4043992
104.296,-138.3843124
104.297,-138.361305
104.298,-138.3362561
104.299,-138.3092999
104.3,-138.2811069
104.30099,-138.2514983
104.302,-138.2212341
104.303,-138.1910443
104.304,-138.1608546
104.305,-138.1317079
104.306,-138.1042302
104.307,-138.0786002
104.308,-138.0554587
104.309,-138.0353719
104.31,-138.0192935
104.311,-138.0071342
104.312,-138.0002499
104.313,-137.9989386
104.314,-138.0040199
104.31499,-138.0160749
104.316,-138.034597
104.317,-138.0607337
104.318,-138.0943805
104.319,-138.1356865
104.32,-138.183862
104.321,-138.2385492
104.322,-138.2981241
104.323,-138.361007
104.324,-138.425082
104.325,-138.4878606
104.326,-138.5467499
104.327,-138.5978162
104.328,-138.6383921
104.32899,-138.6644691
104.33,-138.672173
104.331,-138.6588216
104.332,-138.6209726
104.333,-138.5560632
104.334,-138.4626627
104.335,-138.3406371
104.336,-138.1919682
104.337,-138.0218565
104.338,-137.8376782
104.339,-137.6502812
104.34,-137.4731064
104.341,-137.3198032
104.342,-137.203753
104.34299,-137.1362358
104.344,-137.1250749
104.345,-137.1723264
104.346,-137.2701973
104.347,-137.4029666
104.348,-137.5438422
104.349,-137.6609951
104.35,-137.7242208
104.351,-137.7103925
104.352,-137.6097053
104.353,-137.4294162
104.354,-137.1980608
104.355,-136.9605958
104.356,-136.7714703
104.357,-136.6761625
104.358,-136.6981417
104.359,-136.8253231
104.36,-137.0052546
104.361,-137.1594369
104.362,-137.2083873
104.363,-137.1127665
104.364,-136.8880719
104.365,-136.6119981
104.366,-136.3966465
104.367,-136.3344938
104.368,-136.4459693
104.369,-136.654675
104.37,-136.8146837
104.371,-136.7975175
104.372,-136.5825236
104.373,-136.2794489
104.374,-136.0772252
104.375,-136.1023337
104.376,-136.3153309
104.377,-136.5116537
104.378,-136.4839971
104.379,-136.2140477
104.38,-135.9118819
104.381,-135.8377635
104.382,-136.0372901
104.383,-136.262089
104.384,-136.2141818
104.385,-135.8964443
104.386,-135.6407255
104.387,-135.7246041
104.388,-135.9996796
104.389,-136.0388696
104.39,-135.7281506
104.391,-135.459587
104.392,-135.5890185
104.393,-135.8631849
104.394,-135.7725859
104.395,-135.4021281
104.396,-135.3317052
104.397,-135.6306374
104.39799,-135.6756091
104.399,-135.3058219
104.4,-135.1824999
,-138.672173
